A: 	rood 
B: 	oké dit dit zijn het voet met spiraal 
A: 	ja 
B: 	ja 
A: 	en dan met een driehoek onderaan 
B: 	ja driehoek onderaan en een vierkant bovenop ja 
A: 	oké 
A: 	oké welk zijn die 
B: 	C 
A: 	C vier 
B: 	en hij staan helemaal rechts rechts in de hoek 
A: 	helemaal rechts 
B: 	rechts ja rechts rechts in de hoek zeggen maar rechtsboven sorry 
B: 	ja 
A: 	oké ja bij mij dus niet 
A: 	bij mij bij mij kunnen kunnen er nog één tussen 
A: 	omdraaien 
A: 	met het draaien draaien been voet 
B: 	de de de spiraal 
A: 	de spiraal ja 
B: 	ja 
A: 	acht 
B: 	A achten 
A: 	middel rij qua hoogte halverwege van het midden naar links 
B: 	en er past nog iets iets naast 
A: 	ja 
B: 	bij mij niet dus niet dezelfde plek 
B: 	dit zijn een spiraal op het driehoekig voe 
A: 	ja 
B: 	en dan zo omhoog 
B: 	ja K bij mij 
A: 	K tien 
B: 	en hij staan helemaal onderin 
B: 	en dan links 
B: 	in het midden dus er zullen er nog twee link langs kunnen 
A: 	en niks veel onder 
B: 	wat zeggen je 
A: 	en niks veel onder 
B: 	nee niks veel onder 
A: 	zelfde plek 
A: 	draaien voet 
B: 	even kijken 
A: 	twee 
B: 	L twee 
A: 	yes 
A: 	rechts bovenin staat niks veel anders boven kunnen er misschien nog net één boven kunnen er misschien nog net één rechts van 
B: 	ja zelfde plek 
B: 	de spiraal met het voe 
A: 	ja 
B: 	E 
A: 	E vier 
B: 	en deze staat ook weer ongeveer in het midden dan iets link van het midden en iets ja daaronder ja iets daaronder 
A: 	schuin links boven de drie op een rij 
B: 	de drie 
B: 	ja 
A: 	oké 
A: 	spiraalvoet 
B: 	F 
A: 	twee 
B: 	F twee 
A: 	net wat naar rechts net wat naar boven van het midden 
B: 	naar rechts 
A: 	ja en maar echt heel echt een heel klein beetje 
B: 	ja nee dat zijn bij mij denken ik zullen er nog iets iets naar boven of ? hoeveel zullen er nog ? staan er nog iets boven 
A: 	ja er er staan er één boven 
B: 	nee nee dan zijn het niet dezelfde 
A: 	oké 
A: 	oké voor ja 
