B: 	hij hebben zeggen maar van die verrekijker naar links en dan hebben die 
A: 	ja ik weten welk je bedoelen dat zijn twee 
A: 	en zo'n vierkant 
A: 	zo'n plat vierkant erop plakken en een antenne 
B: 	ja 
A: 	ja dat zijn twee 
B: 	hij zitten links en dan helemaal naar onder 
B: 	en dan maar op een kwart ongeveer 
A: 	niet helemaal naar onder wel helemaal naar links maar niet helemaal naar onder 
B: 	wel helemaal naar onder maar niet helemaal naar links hij zitten op een kwart van links 
A: 	oké dan zitten die niet op dezelfde plek 
A: 	dit zijn degeen met de twee verrekijker 
A: 	en zo'n antenne bovenop 
B: 	ja en het vlak ervoor 
A: 	ja 
B: 	G 
A: 	en het zijn van dat vierkantje in het midden zijn het de link onderin 
B: 	ja bij mij ook 
B: 	dit zijn die verrekijker met die blok en dan dat vlak ervoor 
A: 	wachten even ja twee verrekijker 
B: 	ja 
A: 	ja negen 
B: 	en die staan bij mij in die slinger aan de onderkant 
B: 	en dan hebben je daaronder zo'n rij en daar zitten er dan één boven 
A: 	oké nou weten ik even niet wat je bedoelen best wel in het midden 
B: 	je hebben zeggen maar 
B: 	ja 
B: 	je hebben twee rij zeggen maar drie en dan één Erboven en dan nog drie 
B: 	en dan zijn het 
A: 	wachten even je hebben zeggen maar de één de twee en dan de drie zijn er twee toch 
A: 	vanaf links 
B: 	ja 
A: 	de drie zijn er twee bij mij zijn het de bovenste van die twee 
B: 	ja bij mij zijn dat ook de boven 
A: 	oké 
A: 	ja 
A: 	dit zijn degeen met de twee verrekijker en de antenne 
B: 	d 
A: 	even kijken dus je bedoelen drie drie drie en dan zijn het oké wacht dat zijn moeilijk 
B: 	misschien kunnen we vanaf gewoon rij één rij twee rij drie rij vier en dan 
A: 	hebben ja dan hebben je gewoon horizontaal en dan hebben je er vijf vier vier drie 
B: 	gewoon 
B: 	ja en dan kunnen we gewoon de zoveel 
A: 	oké 
A: 	dan zijn het de twee rij het en dan gaan we van links naar rechts praten goed 
B: 	ja 
A: 	dan zijn het de twee 
B: 	ja 
A: 	twee rij de twee 
B: 	dit zijn die met dat vlak aan de voorkant en twee verrekijker 
A: 	ja één 
B: 	en die zitten in het midden en dan een klein beetje naar rechts 
A: 	nee bij mij zitten die wel echt echt in het rechtervlak zeggen maar rechts bovenin 
B: 	maar wel nog op de 
B: 	hij zitten bij mij op de middellijn en dan nog wel boven de Q van het logo 
A: 	dan zijn het denken ik niet hetzelfde 
A: 	nee dan zijn het niet hetzelfde 
A: 	dit zijn degeen met de twee verrekijker 
B: 	ja B 
A: 	bij mij zitten die dus als je aan de rechterkant zijn het de alleronder 
B: 	ja bij mij ook 
