B: 	deze dit zijn hebben echt de kort uitsteeksel er liggen zo'n balk boven op het op dat ding 
A: 	even kijken hoor 
B: 	en aan de voorkant opsteken er een dinge uit met dan een rond ding daar weer op 
B: 	ik vinden deze echt vaag 
A: 	even kijken de kort laten maar zeggen de veel compact 
B: 	ja hij zijn heel compact inderdaad 
A: 	ja met die horizontaal balk bovenop 
B: 	ja 
A: 	ja dat zijn bij mij nummer acht 
B: 	en hij staan ja eigenlijk bijna helemaal in het midden 
A: 	ja 
B: 	maar net iets link van de middellijn zullen ik zeggen en net iets boven 
A: 	ja ik hebben precies dezelfde plek 
B: 	oké 
A: 	ik hebben die heel compact weer 
B: 	die dat zijn E 
A: 	en bij mij staan die even kijken net iets onder de middellijn 
B: 	nee bij mij staan die boven 
A: 	en net iets 
B: 	ik hebben die heel compact 
A: 	ja zijn bij mij nummer één 
B: 	hij staan helemaal aan de bovenkant 
B: 	vrij in het midden ik zullen zeggen iets link van het midden 
A: 	iets bedoelen je net links van de middellijn 
B: 	net links van de middellijn ja 
A: 	ja en dan helemaal bovenaan 
B: 	ja 
A: 	hebben ik ook 
A: 	ik hebben die compact weer 
B: 	waar zijn die 
B: 	dat zijn E 
A: 	en bij mij staan die een beetje in het midden van de linkerhelft 
A: 	en dan net onder de middellijn 
B: 	ja hebben ik ook 
B: 	ik hebben die compact 
A: 	nummer zestien 
B: 	en hij staan aan de onderkant 
B: 	en dan aan het midden van de rechterkant 
A: 	ja hebben ik ook 
A: 	ik hebben die compact 
B: 	ja 
B: 	dat zijn O 
A: 	bij mij staan die helemaal links onderaan in de hoek 
A: 	maar er zijn wel veel ruimte laten maar zeggen van link kijken dan dat er van onder zijn 
B: 	ja 
