A: 	nou deze vinden ik ja aan de onderkant zitten zo'n buigen iets een uitsteeksel dat zijn negentig graad buigen 
B: 	ja 
A: 	en bovenin zitten een platvorm en daar zitten ook iets doorheen steken 
B: 	ja en hij hebben ook zo'n soort heel dun neus 
A: 	neus ja jaja dat zijn wat ik willen zeggen 
B: 	en en dan nog aan de zijkant zo'n zelfde uitsteeksel als onderin zitten 
A: 	nog een uitsteeksel 
A: 	ja precies 
A: 	ja ja 
B: 	ok M 
A: 	bij mij zitten hij als je als we het weer in vier keer vak opdelen links onder en dan van dat vak boven in het midden 
B: 	wachten hij zitten hij zitten in het links onder vak 
A: 	link onder vak als we het in vier opdelen en dan in dat vak in ongeveer in het midden en dan bovenin 
B: 	o ok 
B: 	midden boven nee nee die zijn die zitten bij mij juist in het links boven vak en dan onderin dus niet in dezelfde 
A: 	ok 
A: 	nee dan hebben we ze niet hetzelfde 
B: 	deze hebben een soort ja dus inderdaad die negentig graad hoek onderin en 
A: 	dan onderkant 
B: 	en die en die soort pinoccio heel dun lang neus en bovenop zitten nog een soort vierkant met iets er doorheen 
A: 	of wat 
A: 	even kijken 
A: 	ja ja negen 
B: 	link onderste vak rechts onderin 
A: 	ja bij mij ook 
A: 	die een met die negentig graad hoek aan de onderkant en met die ? vorm boek of zo en dan zitten een iets doorheen 
B: 	ja een boek boek met een balk er nog doorheen H 
A: 	ja precies 
A: 	en hij zitten link bovenste vak in het midden van dat vak 
B: 	link bovenste vak in het midden ja dat zullen ook waar ik hem zullen onder omschrijven 
A: 	ja 
B: 	even kijken ja er zitten nog links boven één ding van 
A: 	ja met die zonder piercing 
A: 	of ja dat boeien in ieder geval niet maar 
A: 	maar hij zitten in ieder geval links bovenste vak in het midden gewoon 
B: 	ja links bovenste vak in het midden zitten hij op hetzelfde plek 
B: 	even kijken de drie ding met twee ding van negentig graad en boek met een ding er doorheen 
A: 	ja met dat boek en ja ok 
B: 	met het boek op zijn hoofd met een pilaar er bij 
A: 	elf 
B: 	helemaal links bovenin 
A: 	ja ja als in niet helemaal in de hoek maar wel van alles jajaja 
B: 	nee neenee maar wel van al ander object links bovenin 
A: 	met dat boek met dat ding er doorheen 
B: 	even kijken 
A: 	bij mij zijn hij linksonder 
B: 	ja bij mij zijn hij ook links onder o D shit 
A: 	hij zitten links onderste vak in het midden 
B: 	nee bij mij zitten hij helemaal links onderin 
A: 	nee 
B: 	boek met een spijker er doorheen 
A: 	ok 
B: 	twee keer negentig graad 
A: 	ja veertien 
B: 	helemaal links in het midden 
A: 	nee nee neenee neenee 
B: 	waar zitten die van jou 
A: 	hij zitten links onderste vak in het midden 
B: 	ok nee 
