B: 	even kijken 
B: 	dit zijn een mok met een twister eronder 
B: 	die twister die staan op een driehoekig blok 
B: 	zitten een vierkant blok rechts dan een klein blok in het midden 
B: 	en er zitten een soort van stamper aan de linkerkant 
A: 	ja dat zijn nummer vier 
B: 	die staan bij mij rechts bovenin 
A: 	ja bij mij ook wel in het rechtsboven vlak maar niet echt rechtsboven in het scherm 
A: 	dus hij zitten wel rechts 
B: 	ja maar er zitten ver niks veel niks veel omheen zeggen maar 
A: 	hij zitten ook wel boven het midden 
A: 	hij zitten echt veel rechts 
B: 	veel rechts ja 
A: 	oké 
A: 	nee zijn niet dezelfde plek 
A: 	dit zijn die een waar zo'n gedraaid staaf onderuit komen 
A: 	die waar een staat op een driehoek 
B: 	ja ja 
A: 	en dan een blok rechtsboven daarna nog een middelblok en zo'n ding 
B: 	klein blok in het midden 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	en hij staan bij mij links kant 
A: 	en ongeveer in het midden qua hoogte 
A: 	zitten er nog één onder 
A: 	die zitten er ook vrijwel tegenaan 
A: 	en hij zitten ongeveer deze afstand van de zijkant af zeggen maar 
B: 	oké nee dan staan die bij mij wel dichter bij de zijkant 
B: 	en bij mij staan die iets veel naar boven van het midden 
B: 	of misschien net dat die middellijn door de twist heen gaan zeggen maar 
A: 	ja bij mij staan die denken ik ver naar onder dan 
B: 	dan denken ik ook ja 
B: 	dus dat zijn niet dezelfde plek 
A: 	nee 
B: 	ja 
B: 	dit zijn de dit zijn die met die twist erin 
B: 	die een soort van hoe zeggen je dat ? Champions Leaguebeker die zo draaien zijn zeggen maar 
A: 	ja 
A: 	ja 
A: 	op die driehoekig standaard dan 
B: 	ja 
A: 	ja nummer tien 
B: 	ik willen zeggen dat zijn bij mij K 
B: 	nou dat zijn nee 
B: 	die zitten bij mij links 
B: 	in dat linkervlak een beetje in het midden maar dan ook wel helemaal onderaan 
A: 	ja 
B: 	misschien net iets helend naar rechts 
A: 	ja 
A: 	zelfde plek 
A: 	deze zijn die die voetbaltrofee 
A: 	waar dat dat die op dat driehoek 
B: 	die twist 
B: 	ja 
B: 	dat zijn bij mij L 
A: 	en hij zitten bij mij rechtsboven 
A: 	het zijn ook het veel rechts figuur en het ja het veel rechts figuur in het 
B: 	en je hebben zo'n strook over en zo'n strook over zeggen maar 
A: 	ja als je vanuit ja 
B: 	ja zijn dezelfde plek 
A: 	ja 
B: 	dit zijn de voetbaltrofee de Champion Leaguetrofee met de twist 
A: 	ja die staan dat zijn nummer vier 
B: 	en die zitten bij mij precies in het hoek van het kruis 
A: 	ja 
A: 	linksonder zeggen maar 
B: 	ja linksonder in het vlak en dan precies tegen het kruisje aan 
A: 	ja 
A: 	zelfde plek 
B: 	ja 
A: 	dit zijn de voetbaltrofee 
B: 	ja dat zijn bij mij F 
A: 	die worden raken denken ik door de of hij zitten er net iets rechts van of hij raken hem nog net de verticaal lijn 
A: 	en hij zitten boven de horizontaal lijn 
A: 	dus als je het kruisje in het midden van het scherm hebben zitten die daar eigenlijk rechtsboven tegenaan 
B: 	maar dat zijn bij mij Pippi Langkous hij zitten bij mij echt duidelijk in het linkervlak 
A: 	nee dan zijn het denken niet hetzelfde 
B: 	duidelijk in het links in het linkerbovenvlak zeggen maar 
A: 	nee nee bij mij niet 
A: 	dan hebben jij Pippi Langkous denken ik ja waar bij mij Pippi Langkous staan in ieder geval 
B: 	ah ja nee dan staan bij jou de Champions Leaguetrofee op op de plek van Pippi Langkous dan staan die twee omgedraaid helder 
A: 	ja 
A: 	ja 
