A: 	deze hebben zo'n uitsteeksel bovenop 
A: 	ik vinden het een beetje lijken op een plant in een pot 
B: 	ja 
A: 	en zo'n zelfde uitsteeksel zitten ook nog aan de linkerkant 
B: 	aan de zijkant 
B: 	ja 
A: 	ja en dan hebben die rechts nog iets wat op een toren lijken of een verrekijker of zo 
B: 	ja oké dan zijn het E 
A: 	en hij zitten bij mij helemaal aan de rechterkant in het midden 
B: 	oké 
B: 	bij mij zitten er nog één rechts daarvan 
B: 	zijn dat bij jou niet 
A: 	oké 
B: 	oké dan zitten die niet op dezelfde plek 
A: 	nee dan zijn het 
B: 	oké deze hebben een dit zijn die plan in een pot 
B: 	en dan ook één aan de zijkant en die toren aan de voorkant 
A: 	ja 
A: 	ja 
A: 	oké dat zijn elf 
B: 	oké bij mij staan die in dat vierkant waar we het net over hebben Linksboven 
A: 	ja oké dan staan die op dezelfde plek 
A: 	dit zijn die met één toren aan de rechterkant en zo'n ding bovenop die plant in die pot 
B: 	ja ja ja dat zijn J 
A: 	ja 
A: 	en die staan bij mij ja je hebben er rechtsboven één 
A: 	en dan daar links schuin onder 
A: 	zijn niet heel duidelijk 
B: 	heel heel schuin naar beneden of bij die acht 
A: 	in het midden 
A: 	nee niet bij die achten in het midden van het scherm ongeveer 
B: 	oké dan staan die dan staan die niet op dezelfde plek 
A: 	oké 
B: 	ik hebben diegene met die plant in die pot en dan ook nog de zo'n zelfde vorm aan de zijkant 
A: 	ja 
B: 	en zo'n toren aan de voorkant 
A: 	ja 
A: 	oké dat zijn negen 
B: 	oké dat zijn bij mij de punt van de de piramide aan de onderkant zeggen maar 
A: 	nee dan staan die niet op dezelfde plek 
A: 	dit zijn die met dat toren erin en die plant in die pot 
B: 	plant 
A: 	met zo'n zelfde uitsteeksel nog 
B: 	ja ja ja ja ja 
A: 	ja 
B: 	dat zijn B 
A: 	en die staan bij mij in dat vierkantje waar je waar we het net over hebben 
A: 	linksonder 
A: 	dus rechts boven die waar we het net over hebben 
B: 	nee staan die niet op dezelfde plek 
B: 	oké ik hebben die plant in die pot met diezelfde uitsteeksel en dat toren 
A: 	ja 
A: 	oké dat zijn vier 
B: 	oké bij mij zijn dat helemaal Linksboven 
A: 	ja dan staan die op dezelfde plek 
