B: 	ja dit vinden ik echt een raar ding het zijn een kop 
B: 	en er zitten aan de linkerkant twee van die vierkant die steeds groot worden aan 
A: 	ja ja van die neus die ik en dan zitten er een vierkant 
B: 	ja en dan aan de ander kant een vierkant 
A: 	ja ja ja met een soort van raar knopding of zo of een spijker ja 
B: 	ja die 
B: 	spijker ja 
B: 	die 
A: 	ja ik denken dat het zo'n ejectionknop zo zoiets zijn 
B: 	dat kunnen ook 
A: 	ja dat dat zijn bij mij twee 
B: 	hij staan in het linksondervlak 
B: 	kunnen niks veel onder 
B: 	er kunnen er 
A: 	nee bij mij zitten die al best wel ver omhoog zelfs 
B: 	oké 
B: 	nee dan zijn dat hem denken ik niet 
A: 	dus dat zijn rood 
A: 	dit zijn die een met dat raar vierkant aan de rechts kant en dan die die ejectionknop 
B: 	ja 
B: 	die 
B: 	ja oké 
A: 	en dan die twee soort van vierkant neus die eruit komen 
B: 	ja 
B: 	G 
A: 	staan bij mij als je de middellijn hebben staan die tegen de middellijn aan in het linksonderkwadrant 
B: 	ja 
A: 	en ja er zullen misschien nog net een half of zo boven kunnen maar 
B: 	nou 
B: 	ja 
B: 	dit zijn die een met die ding op zijn zijn die naald wat je zeggen of die die die spijker 
B: 	met twee van die vierkant aan de zijkant die zo groot worden 
B: 	en het vierkant 
A: 	ja met die ejection 
B: 	ja die 
A: 	ja ja ja 
A: 	nummer negen 
B: 	hij staan in het linksonderkwadrant tegen de middellijn aan en er kunnen er denken ik nog een half boven of net een heel zoiets 
A: 	ja ja en nog één onder zeggen maar 
B: 	ja 
A: 	ja zelfde plek 
A: 	dit zijn die een met dat vierkant met die ejectionknop en die twee vierkant neus die eruit komen 
B: 	ja D 
A: 	staan bij mij in het linksbovenkwadrant echt op de middellijn zowat 
B: 	ja 
A: 	en dan bijna eigenlijk onderaan rechts in de hoek 
B: 	ja 
B: 	ja ja 
A: 	ja 
B: 	dit zijn die een met de hoe noemen je het ? die spijker in zijn hoofd en dat vierkantje 
A: 	ja die ejection met die twee met die vierkant neus die eruit komen 
B: 	en die 
B: 	ja Ejection ja wauw wat zijn mijn geheug goed vandaag 
B: 	ja 
A: 	nummer één 
B: 	staan bij mij ik denken rechtsonder maar echt precies in die hoek 
A: 	nee nee nee bij mij staan die echt rechtsboven in het kwadrant nee 
A: 	degeen met dat vierkant schild die ejectionknop en die twee vierkant neuzen 
B: 	ja 
B: 	ja hier B 
A: 	staan rechtsonderkwadrant bijna tegen de middellijn aan 
A: 	en dan zullen er net een één ja als je kijken naar het formaat van het dinge wat we nu hebben zullen er denken ik nog een half net onder passen of zo 
B: 	ja 
