A: 	top 
A: 	nou hebben ik hem 
A: 	het zijn een soort van koffiekopje waarbij het lijken alsof het lepel Linksboven daaruit steken 
A: 	en aan de voorkant zitten een rond balle met een rechthoekig staaf erdoorheen met een soort van schotel aan het einde 
B: 	en zitten het schotel echt onder het 
A: 	nee aan de voorkant aan het aan het handvat maar eigenlijk als je kijken naar het lepeltje wat linksboven uitsteken 
B: 	aan het voorkant 
B: 	ja 
B: 	ja 
A: 	dan zijn het er als het goed zijn maar één 
B: 	ja precies dat zijn bij mij nummer F denken ik 
B: 	moeten je op de geel drukken ja toch 
A: 	ja 
A: 	nou en dit zijn eigenlijk precies hetzelfde 
B: 	oké dat zijn dan weer F bij mij 
B: 	ik hebben het eivormig deel voor 
B: 	twee zeggen maar dat eivormig deel lijken het balk te doorsplitsen en aan het eind van het balk zitten dan een plat cirkel 
B: 	en dan opsteken daarboven nog een klein frommeltje uit 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	yes 
B: 	en bij mij zitten die dan aan de linkerbovenkant 
B: 	iets veel als je zeggen maar die bovenste kwart nog veel in vier zullen delen 
B: 	dan zitten die in de rechteronder kant van de linkerbovenkwart 
A: 	oké 
A: 	hier staan die echt in het midden dus volgens mij zijn dat ander 
B: 	yes 
A: 	ja 
A: 	dit zijn de mok waarbij er Linksboven een klein lepeltje uit opsteken 
A: 	en aan de voorkant zitten een verticaal balk die vasthouden worden door een rond 
A: 	en aan het einde zitten zo'n soort van plat rond aan de rechterkant 
B: 	ja dat zijn dan denken ik de A 
B: 	ja 
A: 	en die staan in het vlak rechtsonder en dan eigenlijk in het midden daarvan tegen de horizontaal lijn aan 
B: 	ja 
B: 	ik hebben degeen met een plat cirkel aan de rechterkant 
B: 	volgen door een klein cilinder 
B: 	een rond vorm 
B: 	weer een klein of klein balk en dan aan de linkerkant dat uitstekend lepeltjeidee 
A: 	ja 
A: 	dat zijn nummer vijf hier 
B: 	en bij mij staan die dan de horizontaal middellijn volgen bovenste helft van rechts 
B: 	vrij dicht bij ook de verticaal middellijn 
B: 	dus als je 
A: 	nee staan hier ander 
A: 	hier opsteken het koffielepel linksboven uit 
A: 	aan de voorkant zitten een een horizontaal staaf 
A: 	die gaan door een rond heen 
B: 	ah ja 
A: 	en aan de rechterkant zitten een plat rond 
B: 	bij mij zijn dat nummer H 
A: 	oké 
A: 	en hij zitten op de de verticaal lijn 
A: 	naar beneden en dan zullen er aan de onderkant nog net één bij kunnen maar dat zijn wel net krap 
B: 	heel krap ja en zitten die echt wel tegen die lijn aan dus tegen die 
A: 	ja 
A: 	ja wel tegen die verticaal lijn aan 
B: 	ja verticaal lijn ja 
A: 	ja 
B: 	yes 
B: 	ik hebben degeen met een soort ei voor 
B: 	dan waar twee balk uit komen rechts een plat cirkel als afsluiter en links dat 
A: 	ja 
A: 	nummer vijftien 
B: 	hij staan bovenste kwart rechts 
B: 	veel in het midden denken van dat kwart richting de verticaal lijn 
B: 	zullen nog wel iets tussen kunnen 
A: 	hij staat niet linksonder tegen de kruising aan 
B: 	voordat die tegen de 
B: 	nee 
A: 	oké 
A: 	dat zijn anders 
