B: 	deze hebben een soort bureautafel voor zich met zo'n vierkant ding bakjeten erop of zo 
A: 	ja met zo'n ja met poo 
B: 	met die tafelpoot ja 
A: 	ja 
A: 	zestien 
B: 	en hij staan aan de rechterkant in het midden 
A: 	nee 
B: 	nee 
A: 	deze hebben dat tafel weer 
A: 	die met die poot eronder 
B: 	met die met die poot eronder ja 
A: 	ja 
B: 	P 
B: 	waar staan die 
A: 	staan er nog rechts en er afstaan er nog twee boven en drie onder 
B: 	ja 
B: 	daar staan die bij mij ook 
B: 	deze hebben weer dat tafel met die twee poot eronder 
B: 	met zo'n bak erop 
A: 	ja 
B: 	ja 
A: 	veertien 
B: 	en die staan helemaal onderin in het midden 
B: 	zitten aan de rechterkant niks veel aan de linkerkant staan er nog twee 
A: 	ja 
A: 	ja ja 
A: 	het tafel weer 
A: 	met die poo 
B: 	N 
A: 	en hij staan links 
A: 	boven hem zitten er ook nog twee strak tegen echt nog wel strak tegen hem aan 
B: 	ja 
B: 	ah deze zijn met dat tafel met die twee poot 
A: 	alweer 
B: 	ja 
A: 	tien 
B: 	hij zitten in het midden 
B: 	en dan zitten er nog één boven 
A: 	nee 
A: 	het tafel weer 
B: 	d 
A: 	en rechts 
A: 	ook weer in het midden van rechts 
A: 	boven hem zitten ook nog iets en 
B: 	nee 
A: 	oké 
