B: 	nou het dit zijn een kop er zitten een soort van plank aan met een omgekeerde lampenkap erop 
A: 	en aan die plank zitten steken ook twee ding naar naar beneden uit alsof het een soort van tafel zijn dat zijn zestien voor mij 
B: 	ja ja ja ja ja 
B: 	precies 
B: 	ja 
A: 	yes 
B: 	en bij mij zitten die ja rechts van het midden 
B: 	en dan een beetje ook in het midden van 
A: 	nee bij mij zitten die best wel aan de bovenkant dus dat kloppen dan niet 
B: 	nou oké 
B: 	dat zijn niet zo 
A: 	oké deze hebben de het dienblad voor zich met de poot aan de onderkant 
A: 	en en de en de omgekeerde lampenkap erop zeggen maar 
B: 	ah P 
A: 	ja 
A: 	en hij staat ongeveer in het midden qua hoogte misschien net iets eronder 
B: 	ja 
A: 	en ongeveer in het midden van de rechterkant 
B: 	ja bij mij ook 
A: 	oké 
B: 	het zijn weer die een met de plank met de lampenkap 
A: 	even kijken waar staan die ? ja met de twee poot eronder 
B: 	ja 
A: 	yes dat zijn veertien 
B: 	en dan hebben die ook nog ja hij staan helemaal onderaan bij mij 
B: 	en in het midden 
A: 	net iets link van het midden nog 
B: 	net iets net iets link ja 
A: 	ja oké 
A: 	oké dit zijn weer het dienblad met de omgekeerde lampenkap erop 
A: 	en de poo onder het dienblad 
B: 	N 
A: 	yes 
A: 	en hij staat ongeveer in het midden van de linkerkant van het scherm en net iets boven het midden 
B: 	ja 
B: 	ja bij mij ook 
B: 	en ja het zijn weer de plank met de lampenkap 
B: 	en de twee balk eruit 
A: 	dat zijn tien 
B: 	bij mij staan die in het midden 
B: 	en dan iets iets Erboven 
A: 	ja bij mij staan die wel echt 
A: 	best wel best wel hoog aan de bovenkant als in de er zullen net niet nog een kop tussen toepassen 
B: 	oké dan dan kloppen die niet 
B: 	nee 
A: 	oké dat kloppen niet 
A: 	dit zijn weer het het dienblad met de omgekeerde lampenkap erop 
A: 	en de poot aan de onderkant van het dienblad 
B: 	d 
A: 	yes 
A: 	en dan staan die best wel ver naar rechts 
A: 	en ja stuk boven boven het midden 
B: 	oké helemaal bovenaan 
B: 	of dat nog net niet 
A: 	niet helemaal bovenaan er vaststaan wel echt nog een kop boven 
B: 	oké 
B: 	oké 
