A: 	deze hebben weer een uitsteeksel boven een klein 
A: 	en ver hebben die een soort bolletje waar een staaf doorheen zitten 
B: 	en zitten er aan het einde van die staaf weer een cirkel 
A: 	ja 
B: 	oké dan zijn het F 
A: 	en hij zitten bij mij best wel aan de rechterkant van het scherm 
A: 	en verticaal zien zitten die ongeveer in het midden 
A: 	en er zitten er aan de rechterkant iets hoog één heel dichtbij 
B: 	aan de rechterkant iets hoog 
A: 	ja aan de rechterkant iets hoog 
B: 	nee dan zitten die niet op dezelfde plek 
A: 	oké 
B: 	deze hebben ook die bol met die staaf erdoorheen met een soort cirkel aan het einde 
A: 	dinge aan het einde 
B: 	ja 
A: 	dat zijn bij mij vijf 
B: 	en hij zitten op die plek die jij net bedoelen die veel links en daar iets hoog en rechts van 
A: 	ja dan zitten die bij mij op de plek die jij net bedoelen dus dat zijn niet hetzelfde 
A: 	dit zijn die een met het bolle aan de rechterkant met die staaf erdoorheen en dan dat schijf aan de uiteinde 
B: 	dat zijn A 
A: 	en bij mij zitten die zo rechtsonder als maar kunnen hij zitten niet heel rechtsonder maar 
B: 	bij mij zijn die daarboven 
A: 	oké 
B: 	die bol met die staaf erdoorheen met die schijf aan het einde 
A: 	ja dat zijn bij mij vijf 
B: 	je hebben er rechts drie op een rij 
B: 	daar de middel van en dan links 
A: 	nee bij mij zijn het gewoon drie op een rij dan de middel 
A: 	deze hebben weer aan de zijkant de bol met de staaf erdoorheen 
A: 	met dat ding aan het uiteinde 
B: 	dat zijn H 
A: 	en je hebben rechtsonder 
B: 	drie op een rij 
A: 	hebben je drie op een rij en dan zijn het de veel middel zeggen nee wachten dit zijn niet duidelijk de links 
A: 	als je die drie op een rij hebben dan de links of de boven 
B: 	ja zelfde plek 
B: 	dit zijn die met die bol met dat staaf erdoorheen en die cirkel aan het einde 
A: 	ja 
A: 	even wachten dat zijn nummer vijftien 
B: 	je hebben de veel rechtsboven en dan links daaronder 
A: 	nee bij mij zitten die nog links daaronder best wel in het midden 
B: 	dat zijn een ander 
A: 	oké 
