A: 	oké bij mij hebben ik er één met een een vierkantje het lijken een beetje op een poppe wat een soort van lans vasthouden met een soort van zuignap erop een stok aan de rechts 
A: 	kant hebben die die 
A: 	er zitten 
B: 	met een met een vierkantje zeggen je 
A: 	ja ik waar mijn vierkant omheen zitten 
B: 	als een soort rok 
A: 	nee nee nee we hebben de basisvorm dat zijn een soort van kop 
B: 	ja 
A: 	maar aan de bovenkant komen er inderdaad weer een soort van lepeltje uit zoals jij dat net omschrijven 
B: 	ja 
A: 	en dan zitten er aan de voorkant aan de rechts zijkant zitten eerst een soort van eivorm met daardoorheen een vierkant staaf met daaromheen met daar aan het uiteinde weer een soort van cirkelt 
A: 	voor mij lijken het een beetje op zo'n zuignap net als bij zo'n pijl en boog dinge die je zo weg kunnen schieten vroeg 
B: 	ik snapen wat je ja 
A: 	snapan je wat ik daarmee bedoelen te zeggen 
B: 	ja 
B: 	ja ik zien hem ja ik vinden hem dat dat iemand die aan het gewichtheffen zijn 
A: 	snapan je wat ik bedoelen 
B: 	maar ik denken dat ja 
A: 	ja ja of ik denken een soort van ridder die met een lans aan het rennen zijn of zo 
B: 	ja precies ja oké ik hebben hem 
A: 	ja 
B: 	dat zijn F 
A: 	oké bij mij staan die als we het als we weer de middel lijn zeggen maar zullen pakken door het midden van het scherm 
A: 	en dan zullen er ongeveer twee rechts van nog passen 
A: 	dus hij staan op zeggen maar als we van links af gaan optellen hebben je één één vier van het scherm dan de helft en dan drie vier 
A: 	dus drie vier 
B: 	ja 
A: 	vanaf links zien 
B: 	er kunnen er dan zeggen maar nog één naast van rechts zien dat zijn bij mij dan in ieder geval 
A: 	ik zullen zeggen twee 
B: 	oké dan staan die niet op dezelfde plek 
A: 	want bij mij staan er staan er nog één naast en daar zullen echt nog wel één naast toepassen denken ik 
B: 	oké bij mij staan er niks veel naast aan de zijkant van rechts dus dan staan die niet op dezelfde plek 
A: 	oké want bij mij zitten die dus echt op die op die ja 
B: 	ja wel 
B: 	op deze lijn zitten die ja 
A: 	wel op de middellijn inderdaad 
A: 	maar bij jou zitten die dus iets veel naar rechts denken je 
B: 	ja 
B: 	er kunnen er echt nog maar één naast aan de rechterkant 
A: 	nee bij mij kunnen er echt wel nog wel twee naast 
B: 	oké dan staan die duidelijk niet op dezelfde plek 
B: 	dit zijn die een waarvan jij zeggen hij gaan speerwerpen geloven ik 
A: 	ja zo'n zo'n ridder zijn het met die zuignap ja ik zien hem 
B: 	met dat rond met zuignap 
B: 	die zuignap 
A: 	nummer vijf 
B: 	hij staan eigenlijk in het Linkerbovenkwadrant het midden ongeveer 
A: 	nee bij mij niet 
A: 	dit zijn die een met die zuignap lans 
A: 	zeggen maar die ridder die zo gaan rennen met die lepel die er ook in staat volgens jou 
B: 	ja 
B: 	A 
A: 	rechtsonderkwadrant zullen 
B: 	nee staan die wel hij staan 
B: 	dit zijn die met de zuignap 
A: 	yes even kijken 
A: 	nummer vijf 
B: 	hij zitten bij mij in het rechtsbovenkwadrant en dan ja bijna links in de hoek maar er kunnen er aan allebei de kant denken ik nog een half of zo onder en 
A: 	nee nee nee nee nee 
A: 	degeen met de zuignap 
A: 	aan de die die vastheeft zeggen maar 
B: 	ja daar 
B: 	F 
B: 	nee sorry H 
A: 	staan bij mij eigenlijk rechtsonderkwadranten maar op de middellijn zowat 
B: 	ja 
B: 	en er kunnen er nog één onder ongeveer 
A: 	en 
A: 	ja ja ja 
B: 	ja 
A: 	ja moeten jij doen 
B: 	de zuignap 
A: 	waar zijn die 
A: 	vijftien 
B: 	bij mij zitten die rechtsboven 
B: 	ja qua hoogte ongeveer in het midden en dan iets naar links maar niet zo heel veel van het midden af 
A: 	nee bij mij niet bij mij zitten die net boven de horizontaallijn van het totaal scherm 
B: 	nee nee nee 
