A: 	oeh het lijken alsof er een soort zo'n ijzeren pen 
A: 	door de kop heen zitten want het zijn het zijn zeggen maar een soort van twee rondeachtig balk en daar zitten dan een soort van een kop aan 
A: 	ik weten niet of je nu snpen wat ik bedoelen 
B: 	nog 
A: 	en en aan de achterkant komen lijken er nog een vierkant uit te uitkomen maar die zijn een beetje half verbergen en daar komen ook weer een balk naar beneden uit 
B: 	ja ja dan weten ik welk je bedoelen ja 
B: 	dat zijn K 
A: 	en bij mij zitten die helemaal links 
A: 	wel redelijk in het midden en dan vrij bovenaan 
B: 	ja dat zijn denken ik dezelfde plaats 
B: 	dit zijn diegene met die balk er helemaal doorheen 
B: 	en waarbij een vierkantje nog zo schuin achter eruit opsteken en ook nog een soort 
B: 	slange of buisje uit dat vierkantje komen 
A: 	omlaag 
A: 	ja ja ja ja 
A: 	negen 
B: 	deze staat op de rechterhelft van het scherm 
B: 	en daarvan net aan de rechterkant maar het zijn bijna het midden 
B: 	en dan ook net iets naar boven 
A: 	ja dat zijn hetzelfde 
A: 	dit zijn dat kop weer met die pin erdoorheen en dan zo'n vierkant aan de achterkant met een slange eraan 
B: 	ja 
B: 	dat zijn F 
A: 	en die staan als je het scherm door weer het midden aandoen echt precies in het midden van dat scherm 
A: 	vinden ik 
B: 	niet net naar links 
A: 	nee 
A: 	veel veel iets naar rechts 
A: 	en ook veel iets onder de horizontaal lijn 
B: 	dan zijn het ergens ander 
B: 	dit zijn die waar zo'n balk helemaal doorheen zitten en een vierkant uit opsteken met weer zo'n 
A: 	ding eraan 
B: 	ja en 
A: 	ja 
A: 	twee van die bollet aan de 
B: 	ja 
A: 	ja oké 
B: 	ik denken hierbij een beetje aan een zwaard om het de volgen keer makkelijk te maken 
A: 	ja 
A: 	slim 
A: 	drie 
B: 	deze staat op de linkerschermhelft verticaal zien in het midden 
B: 	en horizontaal onderin 
A: 	ja 
A: 	dit zijn het zwaard 
B: 	ja dat zijn L 
A: 	en als je je scherm weer door twee delen zitten die net aan de rechterkant 
A: 	en horizontaal zien ja wel redelijk in het midden denken ik 
A: 	misschien net iets onder 
A: 	maar vallen mee 
B: 	oké dus hij zitten niet aan de zo zien in het midden van de rechterschermhelft 
A: 	helemaal in het midden van je rechterschermhelft 
B: 	ja 
A: 	nee 
B: 	oké 
B: 	dit zijn het zwaard 
A: 	die staan dat zijn vijf 
B: 	en als je het scherm verticaal doormidden delen dan snijd je hem 
B: 	en ja net iets onder het midden 
B: 	of in in het midden van de van de onder 
A: 	van de 
A: 	ja ja 
