B: 	oké deze hebben een soort van lang neus vinden ik 
B: 	en links hebben die een soort van armp en bovenop hebben die twee spriet 
A: 	ja ik weten welk je bedoelen 
B: 	oké 
A: 	ja 
A: 	nummer zes 
B: 	even kijken dan staan die helemaal bovenaan bij mij en dan iets rechts naast het midden 
A: 	ja bij mij ook 
B: 	oké 
A: 	ja dit zijn die een met die lang neus zo en dat dinge zo eromheen 
A: 	en dan dat armp 
B: 	even kijken 
B: 	ja dat zijn C 
A: 	en die staan bij mij wel helemaal bovenaan en dan 
B: 	halverwege rechts 
A: 	ja rechts 
A: 	en dan in het midden een beetje 
B: 	ja dat zijn hetzelfde 
B: 	deze zijn met die lang neus en dat armp links en die twee spriet boven 
A: 	ja 
A: 	nummer dertien 
B: 	en die staan helemaal linksboven 
A: 	bij mij niet 
A: 	dit zijn dat poppe met die langwerpig neus en dat arm zo omhoog met dat dinge eromheen 
B: 	ik zien hem niet 
B: 	ja ja J 
A: 	en hij staan in het midden en dan helemaal onder midden misschien iets naar rechts 
B: 	iets naar rechts ja ja 
B: 	die lang neus dat armp link die twee spriet bovenop 
A: 	ja 
A: 	nummer negen 
B: 	hij staan helemaal naar rechts of bijna helemaal naar rechts en iets boven het midden 
A: 	oké bij mij iets eronder 
A: 	het poppe met die lang neus en dat arm zo omhoog en die twee spriet bovenop 
B: 	even kijken waar die zijn 
B: 	ja N 
A: 	en hij staan helemaal boven bijna en dan iets rechts van het midden 
B: 	ja 
