A: 	jij weer 
B: 	hij hebben aan de het hij staan eigenlijk ook gewoon op een op een vierkant op een blauw vierkant 
A: 	ja met die diamant zeggen maar of zo 
B: 	ja ja ja aan allebei de kant 
A: 	ja 
A: 	oké dan hebben ik dat 
A: 	nummer vijf 
B: 	even kijken deze zijn iets lastig 
A: 	bij mij zijn het bijna links zeggen maar 
A: 	zeggen maar paren met dat waar we die koptelefoon hebben 
A: 	dat lijn hier 
A: 	van je aan de linkerkant van jou scherm denken ik 
A: 	zeggen maar dat ding 
A: 	dat rood ding 
B: 	ja ja ja 
A: 	zeggen maar daar zijn het 
A: 	van mij dan 
B: 	even kijken bij mij staan die ja hoe leg ik dit uit 
A: 	kunnen net in in vier deel zeggen maar 
B: 	ja in vier deel 
A: 	het scherm 
B: 	als je het in vier zo door de helft en zo door de helft 
A: 	ja 
B: 	zeggen maar dan staan die hier zo 
A: 	oké nee nee nee 
A: 	dan liggen we heel ver van elkaar 
B: 	ja 
B: 	dan moeten jij drukken of niet 
B: 	of ik 
B: 	jij geloven ik 
A: 	ja 
A: 	ik moeten drukken 
A: 	ja diamantenoren 
A: 	en dan zo'n zo'n bord of zo als een neus 
B: 	ja ja ja 
B: 	J 
B: 	bij mij staan die vanaf het logo tot de uitknop 
A: 	ja 
B: 	en dan daartussenin 
A: 	oké nee van mij niet 
A: 	van mij zijn het bij de uitknop 
B: 	oké 
A: 	jij moeten drukken trouwens 
B: 	weer die op een vierkant plaat staan en aan allebei de kant zo'n diamant 
A: 	ja 
A: 	elf 
A: 	dit dit zijn wat wat jij zeggen maar net zeggen weten je dat het die B zullen snijden 
B: 	ja 
A: 	dus van mij liggen dan sowieso ander 
B: 	nee bij mij niet 
A: 	ja dat dat rond en dan die diamant 
B: 	ja 
B: 	P 
A: 	bij mij zijn het tussen die een die recht boven het logo en die we net hebben 
B: 	recht boven 
B: 	nee bij mij staan die zeggen maar wel in het de rechterbovenkant 
A: 	rechtervak 
A: 	oké nee dan niet 
B: 	weer die op op dat vierkant staan en met die diamant 
A: 	ja 
A: 	negen 
B: 	en hij bekendstaan eigenlijk bijna bovenin in het scherm in het midden 
A: 	nee dan hebben ze volgens van mij wisselen want die van mij zijn dan in dat driehoek 
B: 	de bovenste zeker 
A: 	de bovenste ja 
A: 	de diamantenoren en dan dat rond zeggen maar 
B: 	ja 
B: 	L 
A: 	datzelfde vierkant wat je toen hebben 
B: 	ja 
A: 	maar dan Linksboven 
B: 	bij mij rechtsonder 
