A: 	ja 
B: 	oké dit zijn het plaat waar het vierkant vlak eigenlijk halverwege dat ding zitten 
A: 	dat ei 
A: 	ja precies dat zijn zes 
B: 	ja 
A: 	ik moeten dan drukken hè ? ja 
B: 	ja 
B: 	en ik hebben hem op de bovenste rij staan 
A: 	ja 
B: 	en dan als je zo het midden hebben dan net iets daar rechts van dus voor jou aan die kant 
A: 	ja ja ja dat hebben ik ook dat hebben ik ook 
B: 	ja 
B: 	dan staan die op dezelfde plek 
A: 	ja 
A: 	ja dit zijn dit zijn dat die emmer met dat ja met dat vierkant plateau zeggen maar in het midden en dan 
B: 	halverwege of aan de of erop 
A: 	ja halverwege 
A: 	en dan zitten aan de voorkant zitten zo'n buis 
B: 	ja 
A: 	en op de bovenkant staan twee zo'n 
B: 	ja 
B: 	dat zijn C 
A: 	en die zitten bij mij ja dus aan de rechterkant van het scherm 
A: 	zeggen maar ook dan weer precies in het midden 
B: 	ja 
A: 	en dan helemaal bovenin 
B: 	ja zelfde plek 
B: 	dit zijn vierkant vlak halverwege en dan die buis 
A: 	even zoeken 
B: 	en de en de twee en die twee ding bovenop 
A: 	en de buis aan de 
A: 	ja dat zijn dertien 
B: 	strak linksboven in de hoek 
A: 	nee nee nee 
A: 	bij mij zitten die link 
A: 	midden 
B: 	nee dan 
A: 	dit zijn die emmer met dat vierkant halverwege zeggen maar in het midden en dan die 
B: 	zo of zo 
A: 	ja zeggen maar die je hebben die emmer gewoon en dan hebben je dat ja dat vierkant plateau wat er gewoon dwars doorheen staan zeggen maar 
B: 	ja 
B: 	ja 
B: 	en dan en dan die buis 
A: 	en dan die buis aan de voorkant en 
B: 	en en die en die en die twee dinget bovenop 
A: 	ja precies die 
B: 	J 
B: 	dat zijn J 
A: 	ja 
A: 	en die zitten dan zeggen maar in het midden 
A: 	helemaal onderin 
A: 	en dan ja misschien net iets rechts van het midden 
B: 	ja zelfde plek 
B: 	gaan toch snel zo 
A: 	ja precies 
B: 	ik hebben vierkant in het midden en dan die buis voorop en die twee staaf Erboven 
A: 	wachten 
A: 	vierkant en die buis en die twee 
A: 	negen 
B: 	hebben jij hem op een duidelijk plek staan 
A: 	hij staan zo'n stuk van de rand bij mij rechts 
B: 	ja ik ook en dan net en dan 
A: 	net iets onder het midden 
B: 	net iets boven het midden 
A: 	nou midden nee bij mij zitten die echt onder onder het midden 
B: 	nee dan dan zijn het echt een ander plek 
B: 	hij zitten duidelijk boven 
A: 	ja dit zijn die emmer met dat plateau in het midden zeggen maar 
B: 	ja 
A: 	en die buis aan de voorkant 
B: 	ja 
A: 	en die twee dinget bovenop 
B: 	ja dat zijn N 
A: 	en die staan bij mij ja in het midden 
B: 	aan de bovenkant net iets er rechts van 
A: 	ja precies 
A: 	ja dan moeten jij 
