B: 	dit voorwerp hebben een balk echt bovenop liggen 
B: 	dat zijn eigenlijk de enig die dat hebben volgens mij 
B: 	heel horizontaal er plat op liggen 
B: 	en dan hebben die aan de rechterkant een soort staaf op een dinge 
A: 	ja 
B: 	en aan de linkerkant nog een soort rond dinge 
A: 	ja dat zijn nummer acht 
B: 	en hij staan bij mij wel in het midden of net iets Erboven 
B: 	en als ik dan ook moeten zeggen net iets naar links 
A: 	ja dat hebben ik ook 
A: 	ik hebben weer met dat balk boven op zijn hoofd 
A: 	en links een soort ja dinge en rechts een staaf met nog wat erbij 
B: 	ja 
B: 	dat zijn E 
A: 	en die staan bij mij net iets naar rechts en net iets naar onder van het midden 
B: 	bij mij net iets naar boven 
B: 	dus dat zijn hem niet 
B: 	ik hebben dat figuur met horizontaal balk erbovenop liggen 
B: 	en aan de rechterkant een staaf 
A: 	dat zijn nummer één 
B: 	en hij zitten bij mij helemaal bovenin 
B: 	net een tik link van het midden 
A: 	ik hebben die met de balk erbovenop links een raar dinge en rechts een staaf met een raar dinge 
B: 	dat zijn bij mij E 
A: 	staan die wel twee anderhalf naar links en één naar onder van het midden zien 
B: 	ja 
B: 	ik hebben die met die balk erbovenop 
B: 	en dan aan de rechterkant die dat staaf en aan de linkerkant zo'n half rond 
A: 	nummer zestien 
B: 	en hij staan bij mij bijna onderin 
B: 	anderhalf centimeter dood ruimte 
B: 	en goed stap zeggen maar er past er één tussen vanuit het midden 
A: 	ja 
A: 	ik hebben die met de balk erboven op zijn hoofd 
A: 	link een dinget rechts een staaf 
B: 	ja dat zijn bij mij O 
A: 	en die staan bij mij bijna helemaal links onderin past nog één link half onder 
B: 	ja 
