A: 	deze hebben aan de rechterkant een schijf als een soort dienblad 
A: 	en aan de linkerkant hebben die een soort uitgerekken kidneyboon of zo met een soort spijker erin 
A: 	maar het makkelijk te omschrijven zijn een soort aan de rechterkant hebben die echt een soort schijf als een dienblad 
A: 	en bovenop zitten niks 
B: 	een soort van en links hebben die een soort van omgekeerde pion 
A: 	ja die opsteken er zo in 
B: 	op dat 
B: 	ja 
A: 	ja ja ja die 
B: 	dat zijn bij mij L 
A: 	en ik denken dat dit dus de plek zijn waar die net bij jou staan want hij staan helemaal onderaan op de onderste rij link 
B: 	en ik dit zijn 
B: 	ja voor mij staan die op de plek waar dat bij jou net staan 
A: 	oké 
B: 	dus dat zijn niet dezelfde plek 
B: 	deze hebben weer dat rond plaat soort dienblad en die 
A: 	ja 
B: 	ja dan weten je welk ik bedoelen 
A: 	even zoeken ja het dienblad zijn al ja 
A: 	dat zijn bij mij zeven 
B: 	bij mij staan die aan de linkerkant van het scherm 
B: 	het veel bovenaan 
B: 	je hebben er één die zijn nog hoog 
B: 	maar die staan veel veel naar rechts 
A: 	die een die we net hebben 
B: 	welk 
A: 	die helemaal links die met die groot groot neus zeggen maar om hem even zo te noemen 
B: 	ja 
A: 	zitten die daar iets hoog en dan naar rechts 
B: 	ja bij ons zijn die omgedraaid maar 
A: 	ja dat hebben ja dat ja 
B: 	maar als het de veel links zijn 
B: 	dan zijn het niet iets hoog en naar rechts maar die daarboven 
A: 	dan zijn het niet hetzelfde 
B: 	oké 
A: 	deze hebben het het dienblad weer met de omgekeerde pion 
B: 	oké dat zijn bij mij C 
A: 	en als je helemaal bovenaan zitten er één ongeveer in het midden 
B: 	ja 
A: 	en daar rechtsonder van 
B: 	bij mij zijn die daaronder hij zijn veel naar beneden 
A: 	nee bij mij zitten die nog best wel zeker wel in de bovenste helft van het van het scherm 
B: 	oké dan zijn het een ander plek 
B: 	dat met dat dienblad 
A: 	met het dienblaad 
A: 	ja dat zijn bij mij één 
B: 	de veel links eigenlijk en dan ongeveer in het midden 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn die met het dienblad 
B: 	even zoeken 
B: 	A 
A: 	en je hebben aan de linkerkant hebben je er twee 
A: 	en dan hebben je er één die best wel in het midden zitten 
B: 	ja zelfde 
B: 	met het dienblad 
A: 	met het dienblad 
A: 	ja dat zijn nummer dertien 
B: 	dit zijn boven die wat we net hebben dus boven die van linksonder 
A: 	ja gewoon links ongeveer in het midden 
B: 	nee rechtsboven 
A: 	rechtsbof 
B: 	dus dan zijn het een ander 
A: 	nee bij mij zitten die echt helemaal links dus dat zijn een ander 
