B: 	dit zijn de robot 
B: 	met een antenne 
A: 	met zo'n vlak vierkant op zijn gezicht 
B: 	ja en twee minecraftogen 
A: 	of het 
A: 	ja ja ja ja 
A: 	ja dat zijn twee 
B: 	ja helemaal helemaal onderaan staan die bij mij 
B: 	en in het midden van links van de linkerhelft 
A: 	nee bij mij zitten die wel echt erg heel erg best wel tegen de rand van links aan 
A: 	en ook best wel in het midden qua hoogte 
B: 	oké 
B: 	ander 
A: 	dit zijn die robot weer 
B: 	oké G 
A: 	en die staan bij mij als je hier het midden hebben echt net zo eronder dus hij zijn net niet in het midden zullen ik maar zeggen zo naar 
B: 	links en naar beneden 
A: 	ja precies 
B: 	oké ja 
B: 	bij mij ook 
B: 	de robot 
A: 	ja negen 
B: 	hij staan iets naar links en flink stuk naar beneden 
A: 	ja precies 
B: 	maar er kunnen er nog één onder 
A: 	ja op de helft van beneden zeggen maar en dan 
B: 	ja ja 
A: 	ja hebben ik ook 
A: 	de robot 
B: 	oké D 
A: 	en dan staan die eigenlijk bijna net zo goed als op het midden 
B: 	ja 
A: 	iets veel naar links iets heel klein beetje veel naar boven maar bijna het midden 
B: 	ja iets veel naar links iets veel naar boven 
A: 	ja bijna het midden eigenlijk 
B: 	oké 
A: 	nummer één 
B: 	die staan heel dicht bij het midden maar iets veel naar rechts 
A: 	ik hebben hem als je wat naar rechts gaan net niet op het midden van het midden denken ik 
B: 	nee hij staan echt heel erg bij het midden bij mij 
A: 	nee en dan ongeveer net iets hoog maar 
B: 	nee dan 
A: 	oké 
A: 	de robot 
B: 	robot 
B: 	B 
A: 	want we hebben er zijn die iets veel naar rechts 
A: 	van het midden en helemaal onderaan er passen net geen heel tussen aan de onderkant 
B: 	ja 
B: 	dat zijn dezelfde 
