A: 	oké ik vinden deze ja het hebben het zijn een soort van isteken aan de rechterkant 
B: 	een isteken aan de rechterkant 
A: 	van zijn gelijk aan 
B: 	dat lijken heel erg op de kip 
A: 	ja 
B: 	maar 
A: 	even kijken 
A: 	met een soort van ja een trapezium laten maar zeggen bovenop 
A: 	een soort van vierkant waarvan de onderkant 
B: 	shoot dan hebben we net de verkeerd doen denken ik 
A: 	dan denken ik ook 
B: 	want dat zijn wat ik de kip noemen 
A: 	ja nee die vinden ik daar inderdaad ook op lijken maar ik neeen ik 
B: 	nou dan zijn het nu ja dan hebben die ja links een staart en links nog een recht dinget 
A: 	even kijken 
A: 	ja ja ja kloppen 
B: 	ja oké nee dat zijn I dan deze keer 
A: 	oké 
A: 	en bij mij staan die net één link van de middellijn 
B: 	ja 
A: 	beetje bovenaan het scherm er zullen er nog één boven toepassen 
B: 	ja dat hebben ik hetzelfde 
A: 	oké 
B: 	nou hebben ik wel de kip met het isteken aan de rechterkant 
A: 	ja 
A: 	zijn bij mij nummer twee trouwens 
B: 	en hij staan aan de linkerkant god hij zweeven een beetje onder de middellijn 
A: 	ja 
B: 	ja er past er ruim één link naast en ruim één onder 
A: 	dan denken ik dat we dezelfde plek hebben 
A: 	even kijken 
A: 	ik hebben de kip 
B: 	dat zijn M 
A: 	bij mij staan die helemaal links onderaan maar er past er nog wel één link van 
B: 	ja dat hebben ik ook 
B: 	ik hebben de kip 
A: 	ja 
A: 	nummer negen 
B: 	hij staan aan de linkerkant ja wel rechts aan van de linkerkant 
A: 	ja 
B: 	en er past er net één boven denken ik en ja en net één onder tot de middellijn denken ik 
B: 	ongeveer in de helft van het bovenste vlak 
A: 	ja ik denken wel dat we dezelfde hebben 
A: 	ik hebben de kip weer 
B: 	ja dat zijn F 
A: 	en bij mij staan die rechts naast de middellijn 
A: 	en er zullen er net wel net niet één onder passen 
B: 	ja 
A: 	het rood vierkant zullen er net volgens mij nog onder passen laten maar zeggen 
A: 	wat eromheen zullen staan 
B: 	ik kunnen het rood vierkant niet zien 
A: 	ja kloppen sorry 
A: 	zullen er net één onder toepassen denken ik net wel net niet 
B: 	ja ik hebben ook zo'n net wel net niet situatie 
B: 	ik hebben de kip 
A: 	nummer zes 
B: 	en hij staan links van de middellijn 
B: 	ja net een stuk link zeggen maar 
B: 	en dan net iets onder de middellijn 
A: 	ja 
B: 	of er misschien op 
A: 	ja bij mij ook 
