A: 	ja dit zijn een kop met één van achter een soort kle 
A: 	en hij hebben aan al twee de kant hebben die een soort van pilaar met een dop een soort van paraplu misschien zoals je willen één aan de 
A: 	ja één zijn lang dan de ander inderdaad 
B: 	zijn lang dan de ander 
B: 	K 
A: 	en bij mij zitten die aan de linkerkant zitten die in het midden van qua lengte en dan wat bovenaan 
B: 	bij mij zitten die helemaal bovenaan links 
B: 	dus dat zijn anders dan denken ik 
A: 	ja 
B: 	ja ik weten niet veel hoe jij het net beschrijven ik vinden het een soort van springplank die erachter zitten 
B: 	met twee van die ding die eruit steken met bollet aan de zijkant 
A: 	ja ja ja ja ja ja ja dat zijn negen 
B: 	die zitten bij mij ongeveer in het midden van de rechterkant en dan net iets bovenaan 
A: 	ja dat zullen ik ook zeggen ja 
A: 	zo 
A: 	dit zijn dat komme met die twee balk aan de zijkant met die met die bollet daar dan weer op 
A: 	en dan een kleppie achterin weer 
B: 	ja 
B: 	F 
A: 	en bij mij staan die ja vrijwel in het midden van de van de linkerkant 
B: 	oké dat zijn dan ander 
B: 	dit zijn weer met dat soort van springplank en die ding met die bollet aan de zijkant 
B: 	soort van potlood dat erdoorheen opsteken met twee bollet aan de uiteinde 
A: 	ja ja ja ja ja ja ja 
A: 	dat zijn drie 
B: 	staan links helemaal onderaan 
B: 	soort van in het midden denken ik 
A: 	ja 
A: 	ja het het veel dicht bij de onderhoek zeggen maar 
B: 	het zijn niet echt in de hoek er zitten er bij mij nog één link van 
A: 	nee maar nee oké ja ik denken volgens mij hebben we dezelfde 
B: 	oké 
A: 	dit zijn degeen met die een kort en één lang uittulpsel met die bolle eraan en die klep hierachter 
B: 	ja 
B: 	L 
A: 	mij zitten die bij de scheidslijn zitten die in het midden en iets wat naar rechts 
B: 	oké bij mij zitten die wel echt rechts dus dat zijn dan anders 
A: 	oké 
B: 	dit zijn weer dat dat klepje met die twee potlod met bollet eraan die er zo uit steken 
A: 	de kleppie 
A: 	twee potlod met bollet 
B: 	weten je welk ik bedoelen 
A: 	nee 
B: 	ja dat die een zijn lang dan de ander 
B: 	er steken twee ding uit aan de onderkant 
A: 	ja ja ja ja ja ja ik weten het 
A: 	ik zien hem alleen niet ja hier 
A: 	dat zijn vijf 
B: 	die zitten bij mij in het midden en helemaal onderaan 
A: 	iets iets onderaan 
A: 	helemaal onderaan of iets onderaan 
B: 	nou hij zitten vrij ver onderaan 
A: 	oké ja ik denken 
B: 	qua scheidslijn wel echt in het midden 
A: 	bij de scheidslijn wel maar het zijn niet de laag symbooltje right 
B: 	nee er zitten er nog één rechts onder maar 
A: 	ja 
A: 	oké dan hebben we volgens mij ja 
