A: 	ok die mok daar zitten zo'n balk aan en dat zijn een beetje een ja een achtvormig balk die er uit opsteken en daar zitten dan een een een een een stekel in ook een groot stekel 
B: 	en hebben hij een soort vergrootglas 
A: 	ja vergrootglas of platvorm of zo helicopterplatvorm beetje 
B: 	o of o jaja inderdaad best wel echt perfect rond 
A: 	ja jajajaja en daar links zitten dan zo'n achtvormig achtig 
B: 	een soort pacman vormig balk en dan met een spijker er uit ok ja L 
A: 	jajaja precies precies en 
A: 	ja jaja 
A: 	hij zitten links onderste vak en dan gewoon beneden in het midden 
B: 	ja en die zitten bij mij dus links bovenin dus waar volgens mij jou vorig zitten 
A: 	van dat vak dan 
A: 	o zullen best kunnen ja 
B: 	dus deze zitten niet op dezelfde plek 
A: 	nee 
A: 	o moeten jij doen 
A: 	ok 
B: 	soort pacman arm met de spijker er in en een plateaut vergrootglas 
A: 	die weten ik al even kijken waar die staan nog 
A: 	gaan stuk snel als eerst nou 
B: 	ja 
A: 	zeven 
B: 	hij staan links bovenste vak rechts midden 
A: 	ja ongeveer rechts midden en Linksboven staan niks veel toch 
B: 	nee er staan links het zeggen maar hij staan het het aan de linkerkant zitten niks hoger veel ook 
A: 	Jajaja nee dat zijn bij mij dan hebben we dezelfde plaats ja 
B: 	ok 
A: 	die met dat platvorm en die stekel op die pacman 
B: 	o ja ja en het ja het vergrootglas wat er ja oke C 
A: 	ja 
A: 	bij mij in het midden van het scherm ongeveer en dan beetje naar boven 
B: 	o nee 
A: 	dus als je zullen zeggen rechts bovenste vak en dan helemaal aan de linkerkant 
B: 	rechts bovenste vak ? nee nee bij mij zitten hij rechts onderste 
A: 	ok 
A: 	o 
B: 	pacman 
A: 	pacman 
B: 	met de armpiercing of pacman met de spijker er doorheen 
A: 	met armpiercing nee 
B: 	sorry ik nee sorry 
B: 	pacman met de spijker er doorheen en de plateau 
A: 	ja ik weten wel welk je bedoelen 
A: 	o ik zien hem al ik zien hem al ja één 
B: 	helemaal links in het midden 
A: 	ja bij mij ook 
A: 	helemaal links ja zijn goed ja ik zullen wel duidelijk zeggen 
B: 	er zitten ver niet veel nog 
A: 	nee zitten ook niks veel aan maar hij zitten niet tegen de zwart rand aan of zo toch 
B: 	nee nee nee maar hij zitten wel gewoon in ja 
A: 	nee ok ok 
A: 	ja dan zijn het kloppen 
A: 	die pacman ding 
B: 	A 
A: 	precies in het ja als in van het midden van zo en dan aan de linkerkant dus als je link 
B: 	ja ja dus inderdaad linkerhelft van het scherm in het midden 
A: 	ja precies in het midden ja 
B: 	ja 
A: 	ja moeten jij doen 
B: 	dan pacman 
A: 	ok 
A: 	o dertien 
A: 	helemaal links bij mij in het midden helemaal 
B: 	nee bij mij zitten hij links onderin in het midden 
A: 	moeten ik jij moeten die drukken 
B: 	moeten jij weer drukken 
