B: 	oké deze hebben ook zo'n lepel twee lepelt hebben die en dan zo'n bolle op zo'n een beetje zo'n neus zeggen maar 
A: 	twee lepelt 
A: 	ik ik zitten de lepelt te zoeken 
B: 	zeggen maar die een die zo'n piercing door zijn neus hebben maar dan zonder piercing 
A: 	ja en 
A: 	ja en dan hij hebben een driehoekig oor oor 
B: 	zo'n soort 
B: 	ja ja ja ja 
A: 	ja 
A: 	dan zijn het veertien 
B: 	en hij staan aan de rechterkant maar wel bijna naar het midden toe en dan iets veel naar onderen 
A: 	nou bij mij staan die echt wel bij de middellijn 
B: 	nee nee 
A: 	nee dus dan zijn het niet dezelfde plek 
B: 	nee 
A: 	hij hebben een rond neusje 
A: 	en twee verschillend oort en één armp 
B: 	ja N 
A: 	en hij staan helemaal links en er staan hij kunnen niet ver naar links 
B: 	nee 
B: 	dan staan die ergens ander 
B: 	deze zijn die met dat rond neusje met die twee lepelt en het klein pinne aan de 
A: 	en het 
A: 	ja 
B: 	ja 
A: 	negen 
B: 	die staan helemaal links er staan er nog één boven één ver ver eronder 
A: 	nee 
A: 	het met het rond neus en die twee lepelt weer en dat kort armp 
B: 	G 
A: 	en hij staan in het midden 
A: 	link 
B: 	iets veel naar onder 
A: 	ja iets veel naar onder en een beetje links 
B: 	en dan zitten er nog één onder 
B: 	ja 
A: 	ja 
B: 	dit zijn die met dat rond neus en die twee lepelt en dat klein stuk 
A: 	ja 
A: 	vijf 
B: 	en dan zitten die in het rechtervlak 
B: 	een beetje bovenin richting midden 
B: 	dan zitten er zeggen maar je hebben zo'n je hebben zo'n 
A: 	er zitten boven boven hem zitten 
B: 	je hebben zo'n vormp zeggen maar met nog twee ander en dan zijn dat de veel links 
A: 	en hij boven boven hem zitten niks veel 
B: 	boven hebben die niks veel 
A: 	nee ja 
B: 	nee 
A: 	met die twee lepel en dat bolle weer met die neus 
A: 	en dat raar armp 
B: 	ja J 
A: 	en hij staan rechts 
A: 	in het midden van rechts 
A: 	maar rechts van hem zitten ook nog figuur 
B: 	ja 
