A: 	het lijken net of dat die een hoed op hebben zeggen maar zo'n vierkant zo'n feesthoed 
B: 	ja en er zitten zo'n ja soort isteken aan de een kant zeker 
A: 	ja aan de een kant hebben je zo'n heel groot blok aan de ander kant hebben je een heel klein klein driehoek nog erachter en onder lijken wel een wiele of zo of wat het ook precies zijn 
B: 	ja 
B: 	dan zijn dat wachten 
B: 	dat zijn J 
A: 	en hij staan op de onderste rij ik denken de twee van onder van rechterkant 
B: 	ja 
B: 	dit zijn dat infeestmutsjen met die blok en zo 
A: 	waar zijn die ? ja wat ik wat zeggen ik ook weer eens ? papieren feestmutsje of zo nee kloppen ja 
B: 	ja ja 
B: 	ja 
A: 	ja zes 
B: 	ja hij staan ja vrij onder maar er afstaan er nog ja maar niet helemaal onder 
B: 	en de rechts maar ook niet helemaal rechts 
A: 	en 
B: 	beetje op de twee rij 
A: 	oké 
A: 	en onder ? staan er nog ding onder 
B: 	ja 
A: 	passen die helemaal eronder of niet 
B: 	het zullen net passen ja 
A: 	zullen net passen 
A: 	denken ik dat het dan wel 
A: 	dit zijn met die papier hoed 
B: 	papieren hoed 
A: 	en die groot of het zijn geen afgebrokkelde vierkant neus 
B: 	ja 
B: 	ja 
B: 	E 
A: 	staan ongeveer op de twee rij twee twee en een half rij van boven naar onder van van onder zeggen maar 
B: 	ja 
A: 	en dan iets naar het midden dus iets veel aan de rechterkant 
A: 	dus als je het midden hebben iets daarnaast ongeveer en dan de twee rij ongeveer van boven naar beneden 
B: 	oké dan die zijn het niet 
B: 	dit zijn het papieren hoed 
A: 	papieren hoed ja 
A: 	tien 
B: 	bij mij staan die linksonder maar er kunnen in principe altijd nog iets link erbij 
A: 	kunnen er nog één ding links bij of meerdere ding 
B: 	één anderhalf één 
A: 	ik denken het van ja want er staan bij mij staan al één onder één naast maar ik weten niet of dat er nog één bij past 
B: 	er staan bij jou nog één linkser dan 
A: 	ja 
B: 	ja bij mij ja 
A: 	en dan en dan hebben ik en dan hebben ik nog ruimte over 
B: 	ja oké dat dan zullen het wel niet goed 
A: 	het zijn die 
A: 	het zijn die groot rugzak staan ernaast en dan staan er nog één 
B: 	ja bij mij staan die aan de ik denken dat ze omgedraaien zijn 
A: 	kijken 
B: 	want bij mij staan die aan de 
A: 	dan denken ik dan dat die niet goed zijn 
A: 	dat zijn dus best nog wel een stuk 
B: 	ja 
A: 	dit zijn het het feesthoed het papieren hoed zeggen maar 
B: 	feesthoed ja 
B: 	ah 
B: 	G 
A: 	hij staan zo goed als links en ook zo goed als linksboven er zullen misschien nog wel een half 
B: 	ja 
B: 	de feesthoed 
A: 	ja 
A: 	tien 
B: 	ja hij staan rechts naar een beetje naar onderen 
B: 	gewoon midden recht ja dan als je dan rechts weer in twee verdeellen dan zijn het gewoon het midden van 
A: 	even kijken als je rechts in twee verdeelen ja dan in het midden 
B: 	ja 
A: 	en ook qua hoogte 
B: 	tja 
A: 	of 
B: 	ja nou een beetje naar onderen 
A: 	een beetje naar onder ik denken dan 
B: 	ja 
B: 	denken zo naar rechts zijn vijfenzeventig procent naar boven zijn het misschien veertig procent 
A: 	oké ja 
