B: 	even kijken deze hebben aan de bovenkant twee steel die uitsteken waarvan één 
B: 	ja zullen je kunnen zeggen dat het een soort van roerhou zijn wat je in de verfpot steken 
A: 	die 
B: 	en en 
A: 	met dat driehoek aan de zijkant dat 
B: 	ja 
B: 	ja driehoek aan de zijkant en aan of aan de linkerkant en aan de rechterkant een soort van bolle 
A: 	ja 
A: 	soort soort neus ja 
B: 	ja 
A: 	dat zijn veertien voor mij 
B: 	en hij zitten als we weer dat kruis maken aan de rechterkant en dan onderin 
B: 	net eigenlijk mooi in het hoek van het horizontaal en het verticaal kruis 
B: 	bovenin 
A: 	bovenin 
B: 	ja 
B: 	dus we trekken een kruis van gewoon horizontaal en verticaal 
B: 	dan aan de rechterhelft 
B: 	en dan het onderste vak en dan precies mooi 
A: 	onderste vak en daar dan bovenin 
B: 	ja mooi links in het hoek op de twee kruisen lijn zeggen maar 
A: 	ja daar zitten die van mij ook 
B: 	kijken 
A: 	hier zitten één ja zo'n roerstaafje in voor je verf en dan een een schroevendraaier voor kwastbovenkant 
B: 	ja 
B: 	bolle 
A: 	driehoek ja 
B: 	driehoek aan de zijkant 
B: 	ja 
B: 	dat zijn voor mij nummer N of letter N 
A: 	en die zitten voor mij in het linkerbovenvak en dan in dat vak linksonder 
A: 	de veel linker zijn dat voor mij 
B: 	en bij mij kruisen de lijn hem zeker weten 
A: 	nee dan 
B: 	dan hebben we het niet over dezelfde 
B: 	ja 
B: 	dit zijn wederom die met het verf spatel en het 
A: 	yes dat zijn negen voor mij 
A: 	hij staan bij mij helemaal Linksboven 
B: 	nee bij mij totaal niet 
A: 	dit zijn die met de verfroerstaaf 
B: 	ja 
B: 	ja 
B: 	dat zijn G voor mij 
A: 	hij staan voor mij in het linkerondervak en dan tegen het kruis aan 
B: 	ja 
B: 	het linkerondervak zeggen je 
A: 	ja 
B: 	ja dan hebben we hetzelfde 
B: 	weer de verf spatel 
A: 	yes dat zijn vijf voor mij 
B: 	die staan rechts 
B: 	boven 
B: 	ja net een beetje uit 
B: 	net een beetje uit het hoek van de horizontaal verticaal lijn daar iets rechts naar boven daarvan 
A: 	ja 
A: 	het zijn in het rechterbovenvak de veel rechts 
B: 	ja 
A: 	ja 
A: 	dit zijn die met de verfroerstaaf 
B: 	J 
A: 	hij staan voor mij redelijk in het midden van het vak rechtsboven 
B: 	echt in het midden van dat vak 
A: 	vrij in het midden van dat vak ja 
B: 	nee hij staan bij mij wel rechtsboven maar links in het vak onderin 
A: 	nee dat zijn heel duidelijk niet 
