A: 	oké deze hebben een soort van hoed op maar wat wel makkelijk zijn mischien aan de rechterkant hebben die twee rechthoeak die eruit steken 
A: 	en dan zitten er linksvoor een ook nog een uitsteeksel aan 
A: 	en linksonder ook nog 
B: 	hij hebben dus er zitten een soort een soort driehoek piramide bovenop 
A: 	ja er zitten zeggen maar een één 
A: 	ja een piramide bovenop waar alleen het punt van af zijn 
B: 	ja 
B: 	ja dat zijn waar het punt van af zijn 
A: 	ja want je hebben één dat zijn ook nog waar een een heel piramide op staat 
A: 	maar die deze hebben ook een piramide erop maar zonder punt dan dus eigenlijk ja geen piramide maar dan weten je misschien een beetje wat het zijn 
A: 	en twee rechthoeak die uitsteken 
B: 	ja 
B: 	ja die die aan de rechterkant twee rechthoeak en een soort spijker naar de linkerkant 
A: 	ja 
A: 	precies 
B: 	ja dat zijn I 
A: 	ja 
A: 	en dat zijn het plaat even kijken er zitten Linksboven een figuur 
A: 	en daarnaast naar het midden toe zitten er ook nog één 
B: 	ja 
A: 	en daar daar staan die bij mij 
B: 	ja inderdaad 
B: 	oké dit dit zijn die met die twee twee rechthoekje die aan de of ja zoals jij het noemen de piramide die niet zijn afmaken bovenop 
B: 	een soort spijker die er link uit komen en dan twee klein rechthoekje die rechts 
A: 	ja ja dan weten ik hem al 
B: 	dus ja 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	ja 
B: 	en er zijn niet echt één linksonder maar als je er één linksonder zullen moeten doen dan zijn dat dan die 
A: 	ja bij mij ook 
A: 	en dit zijn eigenlijk die piramide die niet af zijn maken die erbovenop staan 
A: 	met die twee rechter vierkant die uitsteken 
B: 	ja 
B: 	ja dat zijn M 
A: 	ja 
A: 	en hij zitten helemaal linksonder 
B: 	ja 
B: 	oké dit zijn de de de onafgemaakt piramide met de spijker aan de linkerkant 
A: 	ja dat zijn nummer negen 
B: 	en die boven Linksboven hebben je er twee dan zijn het de rechts daarvan 
A: 	ja dat kloppen 
A: 	bij mij ook 
A: 	dit zijn die piramide die erbovenop staat die niet afmaken zijn 
B: 	ja oké dat zijn F 
A: 	en hij zitten ja je hebben in het midden van het scherm onderste rij zitten er drie naast mekaar 
B: 	ja 
A: 	vlak naast mekaar en daar zijn het de middel van 
B: 	ja dat kloppen 
B: 	de het onafgemaakken piramide met de twee rechthoek aan de rechterkant 
B: 	spijkert link 
A: 	ja 
A: 	nummer zes 
B: 	oké dat als je een groot vierkant maken van Van Linksboven 
A: 	ja ja ja 
B: 	dan die rechtsonder 
A: 	ja bij mij ook 
