A: 	oké 
A: 	ik hebben dat dat kop 
A: 	en daar hebben je dan zo aan de voorkant zitten zo'n bolle 
A: 	en dat bolle hebben dan zo'n vierkant staaf erdoorheen 
A: 	met zo'n plat ding aan de einde van de staaf en dan dat gek ja piek bovenop 
B: 	ja 
B: 	ik zien hem 
B: 	dat zijn bij mij F 
A: 	en hij staan ja een beetje aan de rechterkant 
A: 	ja eigenlijk ja in het midden van qua boven beneden in het midden 
B: 	ja 
A: 	en dan rechts 
A: 	maar niet het veel rechts 
A: 	net één daarnaast 
B: 	ja 
B: 	bij mij ook 
B: 	en bij mij staan er geen ander dinge daar rechts van 
A: 	bij mij staan er nog wel iets rechts van 
B: 	ja bij mij zullen daar nog wel één naast toepassen 
B: 	maar daar staan bij mij niks 
B: 	dus hij zitten niet helemaal tegen de rand aan maar wel in het midden van boven en beneden 
A: 	ja 
B: 	en rechts 
B: 	dus ik denken dat het wel dezelfde plek zijn 
A: 	ja ik hebben er wel ja ik hebben er wel iets naast 
A: 	hebben jij daar links iets naast of niet 
B: 	ja 
A: 	dan denken ik niet dat het helemaal dezelfde zijn 
A: 	ik hebben er nog wel één rechts naast en daarnaast nog een strook ruimte 
B: 	veels veel ruimte 
A: 	nou 
B: 	of 
B: 	want je mogen ook 
A: 	zoiets 
B: 	ja want bij mij 
A: 	en dan het plaat en dan mijn plaat 
B: 	nee dan zijn het denken ik niet hetzelfde want bij mij zijn er naast dat plaat en de rand van de computer nog zo'n stuk 
A: 	ja 
B: 	dus 
A: 	ik denken niet helemaal 
B: 	oké dan rood 
A: 	ja 
B: 	deze hebben een bolle aan de voorkant met nog een vierkant staaf doorheen 
B: 	met daar weer een plat ronde ding eraan 
B: 	en dan een pluimp bovenop 
A: 	ja dat zijn vijf 
B: 	hij staan op de linkerhelft 
B: 	en daar weer de helft van maar daar weer net rechts van 
B: 	en dan iets boven de horizontaal middenlijn 
A: 	ja bij mij staan die veel dichter naar het midden 
A: 	en veel naar boven 
A: 	hij zitten wel op het ja als je de boven en onderkant verdeelen het midden van de bovenkant 
A: 	en net iets link van het midden niet op de helft 
B: 	van het heel midden of het midden van het linkerdeel 
A: 	van het heel midden zitten die net iets naar links 
A: 	en van boven en beneden zitten die op het midden van boven 
A: 	boven zijn nog zo'n stuk 
B: 	bij mij zo tot de rand 
A: 	dat zijn wel iets veel 
B: 	bij mij passen er nog zo'n plaat boven 
A: 	nou bij mij niet echt 
B: 	oké 
B: 	dan zijn die niet hetzelfde denken ik 
A: 	nee 
A: 	ja dit zijn die met het bolle aan de voorkant met die staaf erdoorheen en dan dat ander cirkel nog rechts 
B: 	en 
A: 	en de pluim 
B: 	dat zijn A 
A: 	en hij staan ja in de rechterzijde en en in het midden 
B: 	ja 
A: 	en aan de als je van boven beneden ook het midden van de onderkant 
B: 	midden van de onderkant 
A: 	ja 
B: 	bij mij juist precies het midden 
A: 	nee nee wel echt aan de onderkant 
B: 	oké 
B: 	nee dat zijn niet hetzelfde 
B: 	dit zijn die met het bolle aan de voorkant met die staaf erdoorheen 
B: 	en het pluimp 
A: 	en die pluim 
B: 	ja 
A: 	ja 
A: 	dat zijn vijf 
B: 	hij staan het rechterdeel 
B: 	en dan ja net naast er net naast en niet net maar ook weer niet het midden van die die helft 
B: 	beetje tussenin 
B: 	zo 
A: 	oké ja bij mij staan die wel aan de rechterkant van de helft van de rechterhelft 
B: 	dus veel naar de rand toe 
A: 	ja ja de rand zijn nog zoiets 
B: 	bij mij echt zo 
A: 	oké 
B: 	zijn niet 
A: 	nee 
A: 	dit zijn die met dat bolle en dan de staaf erdoorheen met dat plat kant 
B: 	ja even kijken waar die zijn 
B: 	ah ja dat zijn H 
A: 	hij zitten net iets rechts van het midden bijna op het midden 
A: 	best wel aan de onderkant ongeveer het midden van de onderhelft maar dan nog net iets laag 
B: 	nee bij mij zitten daar nog zo'n stuk onder 
A: 	ja dat wel 
B: 	ja dat zijn ik denken 
B: 	dat zijn met die bollet aan voorkant en dan met die vierkant staaf erdoorheen 
B: 	door het bolle en het pluimp 
A: 	ja dat zijn vijftien 
B: 	rechterdeel staan die ongeveer daar weer het midden van 
B: 	en dan op de bovenste helft daar het midden van 
A: 	ja dat zijn niet hetzelfde hij staan bijna op het midden 
B: 	nee 
A: 	en ook niet het midden van de rechterhelft zo ver zijn die niet 
B: 	nee 
