B: 	ik noemen deze Pippi Langkous er zitten een ding doorheen met van die klein blok 
B: 	staan op een platform 
B: 	hebben een plat muntstuk aan de voorkant 
A: 	ja 
B: 	met een klein dinge eraan 
B: 	en er zitten nog een klein dinge aan de achterkant 
A: 	ja zijn nummer vijf 
B: 	Pippi die staan bij mij aan de linkerkant 
B: 	een beetje in het midden 
B: 	iets onder het midden maar een beetje in het midden als je het vlak in twee zullen verdelen zitten die in het linkervlak net iets onder het midden 
A: 	ja 
A: 	nee bij mij zitten die ook wel echt links maar niet onder het midden denken ik 
A: 	ik denken trouwens bij mij dat die iets Erboven zitten dus dan zitten die niet 
B: 	oké nee bij mij zitten die wel echt onder het midden 
A: 	nee dan zitten die niet op dezelfde plek 
A: 	dit zijn die jij Pippi Langkous noemen 
A: 	met die zes rui 
B: 	ja 
B: 	hebben ik vinden 
B: 	ja dat zijn bij mij J 
A: 	en hij zitten bij mij helemaal rechtsonder in de hoek 
B: 	nee bij mij zitten die rechtsmidid 
A: 	dan zijn het niet dezelfde 
B: 	niet dezelfde plek 
A: 	nee 
B: 	dit zijn Pippi Langkous 
A: 	ja zijn nummer elf 
B: 	en die worden kruisen door de horizontaal middellijn 
B: 	maar die zitten link 
A: 	ja link verticaal en horizontaal echt in het midden 
B: 	ja 
A: 	ja 
A: 	zelfde plek 
A: 	Pippi Langkous 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	die zitten aan de rechterkant van de verticaal lijn 
A: 	bovenin dus in het vak rechtsboven zitten die tegen de bijna tegen de verticaal lijn aan 
A: 	en hij zitten echt wel een stuk boven de horizontaal lijn 
A: 	boven het midden 
B: 	nee bij mij zitten die echt in het midden van het rechtsbovenvlak 
B: 	echt in het midden 
A: 	ja ook echt in het midden dus niet niet tegen de verticaal lijn aan 
B: 	nee nee nee nee echt het midden 
A: 	oké nee dan zijn het een ander plek 
A: 	ja 
B: 	Pippi Langkous 
A: 	ja nummer negen 
B: 	en Pippi zitten bij mij helemaal bovenin worden doorkruissen door de verticaal middellijn 
B: 	en zitten echt ver boven de horizontaal 
B: 	zijn bij mij echt het het veel bovenste figuur 
A: 	nee 
A: 	niet dezelfde plek 
A: 	Pippi Langkous 
B: 	Pippi Langkous ja 
B: 	dat zijn bij mij L 
A: 	en die zitten ja waarschijnlijk op een ander plek dan 
B: 	ja 
A: 	aan de links kant van het horizontaal lijn 
B: 	denken ik wel 
A: 	nee sorry aan de links kant van de verticaal lijn 
A: 	boven de horizontaal lijn 
B: 	ja nee bij mij zitten die echt richting het kruisje 
A: 	ja nee 
B: 	daar staan bij jou de Champions Leaguetrofee denken ik dan 
A: 	ja 
B: 	ja 
A: 	ja 
