A: 	ja deze doen mij een beetje beetje denken aan zo'n dansend poppe die zeggen maar zo doen 
B: 	o ja ja 
A: 	dus ja hij hebben zeggen maar aan de onderkant zo'n ding en aan de zijkant zo'n ding en dan best wel een lang ja neus denken ik en dan op zijn hoofd ook nog een hoed ja niet een hoed maar 
B: 	ja 
B: 	ja ik hebben het ik hebben die ook dat doen hij me inderdaad ook aan denken en dat zijn bij mij zijn dat M 
A: 	ok Chill 
A: 	bij mij zijn dat drie 
B: 	ok 
A: 	hij staan redelijk aan de linkerkant van het scherm net iets onder het midden 
B: 	o 
B: 	o dan zijn hij denken ik niet op dezelfde plek bij mij zitten hij er namelijk net iets boven 
A: 	ok 
A: 	ok 
B: 	o dit zijn weer dat dansen poppe met die dat met die been zo en die been zo en nog een arm zo ja 
A: 	ja bij mij zijn dat negen 
B: 	ok bij mij I 
B: 	en hij zitten zeggen maar op de aller onderste rij en er zitten niet direct rechts of link wat naast maar een beetje rechts er boven zitten nog wel wat 
B: 	en iets ver Linksboven zitten ook nog wat en helemaal recht Erboven zitten ja uiteindelijk nog één ander 
A: 	ja dan zitten hij op dezelfde plek 
B: 	ok 
A: 	dit zijn die dans 
B: 	o H 
A: 	zes 
B: 	ok klikken 
A: 	hij staan best wel links zeggen maar 
A: 	als je linkerkant van het scherm hebben daar in het midden dus ja 
B: 	een beetje op die één vier of 
A: 	ja 
B: 	okan ja 
A: 	ja 
A: 	ja beetje wel 
A: 	en hij staan best wel omringen door heel veel alleen direct er boven en direct link zitten niks 
B: 	nee ok dan zijn het denken ik wel een beetje dan zijn het denken ik op dezelfde plek ja 
A: 	ok 
B: 	o dit zijn het dansen poppe 
A: 	even kijken waar die staan ja zijn elf bij mij 
B: 	ok bij mij F 
B: 	en hij staan zeggen maar ja van het heel plaat staan hij het veel links bovenin maar ja er zullen links nog wel iets naast kunnen 
A: 	ja bij mij ook 
A: 	ja 
B: 	ok 
A: 	ja zijn zelfde plek denken ik 
B: 	ja dan zijn het dezelfde ja 
A: 	o nee bij mij niet ok dit zijn het danspoppe 
B: 	o daar D 
A: 	ja achten bij mij 
A: 	hij zitten best wel onderaan iets veel naar linkerkant toe maar niet heel erg links of zo 
B: 	niet helemaal links in de hoek 
A: 	nee 
B: 	o dan zijn het niet op dezelfde plek 
A: 	ok 
B: 	o dit zijn weer dat dansen poppe 
A: 	veertien bij mij 
B: 	ja bij mij G 
B: 	en hij staan gewoon helemaal links in het midden 
A: 	helemaal links kunnen niet één linkser 
B: 	nee 
A: 	ok nee dan zijn het niet dezelfde plek 
