A: 	oké dit noemen ik een gieter 
A: 	hij hebben namelijk aan de zowel linker als rechterkant een een soort van uitsteeksel met een bolle aan het einde 
B: 	en aan de achterkant een soort vierkant wat zo omhoog 
A: 	ja 
B: 	ja oké 
B: 	dat zijn K bij mij 
A: 	en dan staan die links niet die een helemaal links maar dan daarnaast de boven 
B: 	ja dat zijn bij mij hetzelfde 
B: 	dit zijn die gieter 
A: 	ja 
A: 	ja dat zijn negen 
B: 	en hij staan 
B: 	in de rechterhoek hebben je twee ding 
B: 	of zeggen maar één beetje link en één een beetje rechts 
B: 	zien je dat 
B: 	en dat zijn die onderste 
A: 	ja dat zijn dezelfde 
A: 	oké dit zijn de gieter 
B: 	ja dat zijn F 
A: 	en die staan op de middel rij zeggen maar horizontaal 
A: 	en dan de twee van link 
A: 	dus je hebben er drie helemaal links zeggen maar boven elkaar staan en dan hebben je er weer drie boven elkaar staan 
A: 	en daarvan zijn het de middel 
B: 	wachten even hoor 
B: 	drie boven elkaar staan en dan weer drie boven elkaar 
A: 	dus helemaal links van het scherm hebben je eigenlijk drie ding 
B: 	ja 
A: 	helemaal bovenin midden onder en dan daarnaast hebben je weer drie ding boven elkaar en daarvan zijn het de middel 
B: 	oké nee dan zijn het een ander 
B: 	dit zijn de gieter 
A: 	ja dat zijn weer even zoeken 
A: 	oké dat zijn drie 
B: 	van de onderste rij de middel van de drie 
A: 	niet gelijk 
A: 	de gieter 
B: 	ja dat zijn L 
A: 	en dan staan die in het midden hebben je er drie staan zeggen maar 
A: 	en daar dan de rechter van rechtsonder 
B: 	nee dat zijn ongelijk 
B: 	de gieter 
A: 	dat zijn vijf 
B: 	onder in het midden hebben je er twee naast elkaar 
B: 	en dan de boven 
A: 	ja dat zijn de linkerboven zeggen maar 
B: 	ja de linkerboven 
A: 	ja oké gelijk 
