A: 	deze hebben zo'n trapezium als hoofd als hoofddeksel 
A: 	zo'n ja zeggen maar zo'n figuur 
B: 	zo 
A: 	ja zo zo kort Erboven en dan lang zijdevlakak en dan onder weer een lang vlak 
A: 	hij hebben ook een neus 
B: 	ja wat voor ? wat voor vorm 
A: 	die wat die wat platt zijn 
A: 	en hij hebben dat ja dat istek waar ik het over hebben dat zijn die twee balk aan de rechterkant van zijn hoofd ja of eigenlijk links maar 
B: 	die zien ik als een kip 
A: 	als een kip 
B: 	ja 
B: 	met een met een vleugel zo naar achter 
A: 	dat zien ik echt niet 
A: 	nog 
B: 	nou ja oké ik snapen denken ik wel welk je bedoelen 
A: 	ja 
B: 	oké 
B: 	het isteken dus ja 
A: 	ja 
B: 	dat zijn I 
A: 	hij zitten bij mij het het vaststaan allemaal hetzelfde of niet de heel tijd 
B: 	ja volgens mij wel 
A: 	ja oké hij zitten boven die die we net in het midden hebben ja 
B: 	die zuiger 
A: 	ja 
A: 	maar dan links daarboven iets daarvan 
B: 	oké 
B: 	ja 
B: 	dan zitten ze op dezelfde plek 
A: 	oké 
B: 	oké dit zijn weer de kip met het isteken 
A: 	ja ja de 
B: 	ja 
A: 	ja dat zijn twee 
B: 	oké en hij zitten hij zijn de twee van link denken ik 
B: 	en hij zitten ik denken één onder het midden 
A: 	en ik kunnen er één onder doen ook nog 
A: 	denken ik of niet 
B: 	ja je kunnen er ook één onder doen 
A: 	ja dat hebben ik ook 
A: 	ja 
A: 	en iets veel dan één denken aan de linkerkant nog 
A: 	heel iets heel klein beetje 
B: 	ja kunnen wel denken ik ja 
A: 	heel klein beetje denken ik ja 
B: 	ja dat kunnen wel 
A: 	oké ik denken dat die zelfde plek 
B: 	ja 
A: 	ja 
A: 	ik hebben de kip 
B: 	oké 
B: 	dat zijn M 
A: 	bij mij staan die link onderin 
B: 	ja 
A: 	maar niet helemaal links 
A: 	ja er 
B: 	past er nog één naast 
A: 	ja 
A: 	bij mij staan er niet helemaal links iets maar 
B: 	nee bij mij ook niet maar ik denken dat er nog één naast past 
A: 	ja 
A: 	en eronder ja ik hebben dat dat raar draaiding er nog naast staan dus die steken wat uit 
B: 	ja die hebben ik ook 
B: 	en die komen er iets onder toch 
A: 	ja die komen er iets onderdoor ja 
B: 	oké ik denken dezelfde plek 
A: 	ja oké 
B: 	oké ik hebben de kip 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	en hij zitten ik denken ja hij zitten in het rechterbovenvlak en dan bijpassen er denken ik nog twee naast aan de rechterkant 
A: 	nee ik hebben hem links bovenin 
A: 	sowieso 
B: 	link bovenin ja trouwens dat bedoelen ik 
A: 	oké 
B: 	link bovenin en er toepassen er denken ik nog twee naast 
B: 	aan de linkerkant 
B: 	en een half erbof 
A: 	ruim twee of niet 
B: 	ja ruim twee 
A: 	ja 
A: 	ja oké dat hebben ik ook 
A: 	hebben je die ruiten hebben we die hetzelfde 
B: 	oeh dat weten ik niet 
A: 	die ruiten hebben ik daarnaast staan 
B: 	volgens mij hebben we die hetzelfde ja 
A: 	ja 
A: 	ik hebben hem echt ernaast staan 
B: 	ja 
B: 	bij mij staan die er ook naast 
A: 	oké 
A: 	ja 
A: 	ik hebben de kip 
B: 	ja 
B: 	dat zijn F 
A: 	hij zitten bij mij redelijk onderaan 
A: 	ja er passen net een half denken ik zo onder 
B: 	hoe ver zitten die naast de neus 
A: 	ja echt ertegenaan hij zitten eigenlijk 
B: 	ja hij zitten tegen de neus aan en dan iets er eronder 
A: 	heel iets eronder 
B: 	ja heel iets 
A: 	ja hebben ik ook 
A: 	ja 
B: 	zijn vleugel komen tot aan de onderkant van het van het cirkel aan de stok 
A: 	zijn dat een ja ja ik zien dat zijn dat die neus bedoelen je 
B: 	ja ik weten niet hoe jij een vogel erin 
A: 	zijn dat zijn vleugel 
A: 	wachten die die dat zijn een snavel die twee ding 
B: 	ja die twee ding zien ik als een snavel 
A: 	ik zien heel tijd geen kip nu zien ik het ja 
A: 	oké ja die die die raken bijna dat rond van die 
B: 	ja 
A: 	ja ja 
B: 	en hij zitten op dezelfde hoogte als de onderkant 
B: 	van het rond 
A: 	die vleugel 
B: 	ja 
A: 	ja ja kloppen 
B: 	ja 
A: 	ja ja 
B: 	oké 
A: 	ja 
B: 	dan dezelfde plek 
A: 	ja 
B: 	ik hebben de kip 
A: 	ja 
A: 	oké dat zijn nummer zes 
B: 	en hij zitten ik denken een half link naast de middellijn 
B: 	en er iets onder 
A: 	ja hij zitten echt zo tegenaan zullen ik zeggen bijna ja 
B: 	ja 
A: 	vanaf ja 
A: 	ik denken dat het zelfde plek zijn 
B: 	oké 
B: 	zijn snavel raken het gaspedaal 
B: 	raken zeggen maar het arm dat uit het gaspedaal komen 
B: 	nou oké wachten misschien niet helemaal maar 
A: 	ja hij zitten ja wel ongeveer 
B: 	ja wel ongeveer 
A: 	ja ja 
A: 	ja 
A: 	hebben ik ook 
B: 	oké 
