A: 	dit zijn diegene die Linksboven een soort vierkantje hebben 
A: 	alsof die vastgeplakt zitten aan dat ander ding en dan komen er een soort wokkel en aan de ander kant zitten een plateau 
B: 	ja ik denken dat ik wel weten wat je bedoelen een soort van ouderwets spijker die 
A: 	ja of een naald of wat weten ik veel zonlicht door een raam door vallen maar een raar doekje 
B: 	ja 
B: 	ja of een naald 
B: 	ja ja ja in ieder geval ja 
B: 	dat zijn dan voor mij de letter L 
A: 	en die zitten voor mij in het linkerondervak en dan onder in het midden 
B: 	nee bij mij zitten die linksboven dan 
B: 	dit zijn het plaat met het 
B: 	kop met het rond schotel aan de zijkant die uitsteken en die ouderwets spijker die van boven naar beneden komen 
A: 	ja check 
A: 	dat zijn zeven voor mij 
B: 	en die vinden we links linkervak 
B: 	bovenste vak en dan ja bovenste rij net naast de scheidingslijn 
A: 	nee die van mij zitten veel in het midden dus dan denken ik dat we een ander hebben 
B: 	oké 
B: 	nee deze zitten wel echt zeker weten naast de lijn 
A: 	dit zijn die met de ouderwets spijker aan de zijkant 
B: 	ja 
B: 	dat zijn C voor mij 
A: 	hij staan voor mij technisch zien rechtsboven maar hij zitten wel bijna 
A: 	op of over de lijn verticaal 
B: 	nee hij staan voor mij echt zeker onder de lijn voor mij 
B: 	rechts dat wel maar onder de lijn 
B: 	even kijken 
B: 	dit zijn weer die met die met dat tafel die eruit opsteken als het zijn en die ouderwets spijker 
A: 	ja 
A: 	wachten een tafel en een spijker 
B: 	ja die ouderwets spijker waar aan de rechterkant dat rond tafel als het zijn uit opsteken 
A: 	ja die sorry ik denken even dat je een ander bedoelen 
A: 	waar zijn mijn spijker 
A: 	ja dat zijn één voor mij 
B: 	die staan in het linkervak en ik denken dat de horizontaal scheidingslijn daardoorheen lopen 
A: 	hij staan vrij veel aan de linkerkant 
B: 	ja vrij ver aan de linkerkant 
A: 	ja 
A: 	en dan ja ik denken dat we dezelfde plek hebben 
B: 	ja 
A: 	ja kunnen maar één zijn 
A: 	hebben we toen ook dit zijn die met de oud spijker links 
B: 	ja dat zijn A 
A: 	hij staan voor mij als je alleen de linkerhelft nemen daar redelijk in het midden ik denken 
A: 	door die horizontaal lijn heen 
B: 	ja denken het wel ja 
B: 	er bekendstaan ver niet heel veel in de buurt 
A: 	nee 
B: 	alleen helemaal links bovenin staan er één 
A: 	ja 
B: 	dan hebben we hetzelfde 
B: 	exact hetzelfde plaat maar dan met een groot spijker 
B: 	en het rond plateau wat eruit komen 
A: 	ja 
A: 	dat zijn die de ouderwets spijker bedoelen je toch ? die 
B: 	ja 
A: 	ja dat zijn dertien voor mij 
B: 	en die staan iets rechtsboven waar jij jou plaat net hebben 
A: 	nee 
B: 	oké 
A: 	nee die van mij staan er redelijk recht boven 
B: 	dus hij staan niet 
B: 	hij staan niet linksonder 
A: 	hij staan niet iets boven nee nee heel duidelijk niet 
B: 	oké nee helder helder 
