A: 	oké hierbij hebben je weer dat basiskomme 
A: 	en er opsteken iets eronder uit 
A: 	zo 
A: 	en het zijn ook best wel een complex met met eigenlijk boven hebben die zo'n zo'n ruit 
B: 	ja 
B: 	ja ja 
A: 	en dan ook nog van die twee van die 
B: 	oké 
B: 	ik weten welk je bedoelen 
B: 	oké dat zijn M 
A: 	bij mij zitten die ongeveer twee en een half van link 
B: 	ja 
A: 	het zijn een beetje lastig zeggen bij mij 
B: 	ja bij mij ook 
B: 	ik zullen zeggen één eigenlijk 
B: 	maar zitten die ook iets veel naar boven dan het midden 
A: 	nee veel naar beneden zullen ik zeggen 
B: 	dan denken ik niet nee 
B: 	nee 
A: 	nee bij mij zitten er echt één heel tussen en dan ook nog een stuk van een ander zeggen maar het zijn niet dat er echt twee heel tussen zitten of één 
B: 	want die van mij zitten echt naar boven 
B: 	oké 
A: 	wel iets veel dan dat 
B: 	nee dan zij dan zitten ze niet op dezelfde plek denken ik 
A: 	nee 
A: 	oké 
B: 	dit zijn die met die ruit aan de achterkant 
A: 	ja en dat schoorsteen of die 
A: 	dat dat pluimp op de bovenkant met twee van die rond 
B: 	nee 
B: 	hij hebben niet twee van die rond op de nee nee nee 
B: 	nee 
B: 	hij hebben zeggen maar ik weten welk je bedoelen maar dat zijn hem niet 
B: 	hij hebben hier een ruit en dan zitten er onder het kop zitten nog een poo 
B: 	en dan aan de voorkant zitten nog een poo en hij hebben ook een armp dat zo gaan 
A: 	ja 
A: 	ja precies 
A: 	hij hebben zo'n en die er zitten van die ruiten en dan zitten er ook van die blok aan toch 
B: 	ja 
A: 	ja oké 
A: 	dat zijn negen 
B: 	hij zitten bij mij helemaal onderin en dan iets veel naar links 
A: 	ja van het midden 
B: 	ja 
A: 	ja hebben ik ook 
A: 	ik denken dat er één tussen past vanaf het midden 
B: 	ja dat denken ik ook 
A: 	zoiets 
A: 	ja 
A: 	oké 
A: 	ik hebben weer die met die rui op zijn hoofd 
A: 	met die die blok weer die er zo insteken 
A: 	in die ruit en onderin hebben die weer dat 
B: 	ja 
B: 	dat gek poo en een arm en een been of zo 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	oké dat zijn H 
A: 	bij mij zitten die niet helemaal bovenin er kunnen één denken ik boven 
B: 	ja 
A: 	met moeite misschien 
A: 	en van de linkerkant kunnen er anderhalf misschien naast 
B: 	nee dat zijn niet dezelfde plek 
A: 	of één 
B: 	ik denken dat er bij mij echt wel twee passen 
B: 	aan de linkerkant 
A: 	ik vinden het lastig omdat ik links hebben ik een heel stuk wat wat niks zijn zeggen maar 
B: 	ja oké 
A: 	ik weten niet of jij dat ook hebben 
B: 	nee hebben ik niet 
B: 	nee ik denken echt dat er wel twee passen 
B: 	en aan de bovenkant passen er denken ik één en een half 
A: 	zitten die hoe die die vulpen hebben jij die hebben jij niet links bovenin 
B: 	nee 
A: 	ah nee 
A: 	hoe staan die te opzicht van die veger 
B: 	er zitten er nog één tussen bij mij 
A: 	nee dat hebben ik niet 
A: 	ja er zitten er wel één tussen maar dit zo halverwege al dus dus 
B: 	ja oké hij zitten wel hij zitten zeggen maar zijn hij hebben een een eihoofd 
A: 	ja met die 
B: 	en 
B: 	ja die zo staan 
A: 	ja 
B: 	en dat ei dat komen zeggen maar tot aan de onderkant van de veger 
B: 	en dan het armp zijn op de hoogte van de de balk die door de ruit heen komen 
A: 	ja die armp hebben ik ook wel te hoogte van die balk maar dat eihoofd dat zitten wel echt tegen die veger al aan zeggen maar 
B: 	ja oké het zitten op zich bij mij ook wel in de veger 
A: 	of bijna in de 
A: 	ja 
B: 	ongeveer als ik nu zo kijken maar 
A: 	maar hij zitten niet helemaal tegen die onderkant van dat ding aan 
A: 	van die veger 
B: 	nee 
B: 	nee 
B: 	dat niet 
A: 	oeh zullen die dan hetzelfde zijn 
B: 	ja maar bij jou zitten er boven die veger ook nog best wel wat plek toch 
A: 	nee bij boven die veger niet 
B: 	nee oké dan dat hebben ik ook niet 
B: 	dan zitten die misschien wel op dezelfde hoogte 
A: 	oké ja ja 
A: 	misschien wel 
B: 	maar aan de linkerkant toepassen er bij mij denken ik wel wel sowieso één 
A: 	ja als je het heel beeldscherm pakken 
B: 	ja 
A: 	ja 
A: 	dan zullen er bij mij ook wel twee passen denken ik 
B: 	ja 
A: 	ja 
B: 	oké dan denken ik wel dezelfde plek 
A: 	ja 
B: 	ja ? oké 
A: 	ja 
B: 	ik hebben die met de ruit en de de dat dat balkding dat erdoorheen gaan die blok 
A: 	ja ik zitten hem zijn hem even aan het zoeken hoor 
A: 	ja ja ja 
A: 	dat zijn nummer elf met met zo'n zo'n ding er ook weer onder 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	en hij staan in het linksbovenvlak 
B: 	ik denken dat er nog een half misschien iets veel boven past 
B: 	en er past er denken ik één en een half naast 
A: 	ja dat hebben ik ook wel 
A: 	bij mij zijn die echt de bovenste al 
B: 	zullen er nog iets boven passen 
A: 	ja het past wel 
B: 	ja want bij mij zijn die ook de bovenste alleen ik denken dat er nog al wel iets boven past 
A: 	ja 
A: 	wel echt een klein half denken ik zeggen maar als je niet te veel uit ja 
B: 	ja oké ja 
A: 	oké ik denken dat het dezelfde plek zijn 
A: 	en links ervan iets van 
B: 	de Eiffeltoren 
A: 	ja die Eiffeltoren zitten ernaast ja dat kunnen bij mij ook prima ja 
A: 	ja 
A: 	ik hebben die ruit met die blok allemaal erin 
B: 	ja 
B: 	oké dat zijn D 
A: 	hij zitten sowieso in het linksondervlak 
A: 	eronder past nog een half denken ik 
A: 	en links daarvan toepassen er nog ja twee 
B: 	nee 
B: 	nee 
B: 	nee niet dezelfde plek 
A: 	nee 
B: 	nee 
B: 	ik hebben de ruit met de vierkant ding erdoorheen 
A: 	ja 
A: 	oké dat zijn nummer veertien 
B: 	en hij zitten helemaal links en op de middellijn 
A: 	helemaal links 
B: 	past denken ik nog een klein half naast 
A: 	nee bij mij passen er veel veel nog naast 
B: 	nee oké 
A: 	nee 
