B: 	kijken dit zijn die met die voet 
B: 	die zo'n vierkant op het rand hebben staan 
A: 	op zo'n statief 
B: 	ja zo'n statief inderdaad 
A: 	ja 
B: 	en dan 
A: 	ja 
B: 	ja 
A: 	dan zijn het vier 
B: 	die staan helemaal rechts in de hoek 
A: 	nee 
A: 	deze hebben weer een statiefje 
A: 	een driehoekig statiefje 
B: 	ja die met die blok aan de bovenkant 
A: 	ja 
B: 	ja 
B: 	A 
A: 	en hij staan echt in het midden van link 
B: 	nee 
B: 	kijken dit zijn die met dat statief die voetensteun 
A: 	ja 
A: 	dat zijn tien 
B: 	en hij zitten link onderin in het midden 
A: 	link onderin 
B: 	dus als je het linkerkant van het scherm hebben onderin en dan zitten er nog aan allebei de kant één naast maar dan zitten niks veel onder 
A: 	hij kunnen niet ver naar onder in ieder geval 
B: 	nee 
A: 	en als je de linkerkant weer in het midden zullen doen 
B: 	dan zijn die in het in het midden van het midden in het midden van de linkerkant midden 
A: 	ja 
B: 	en dan helemaal onderin 
A: 	nee 
A: 	zijn dat het statief weer 
B: 	L 
A: 	en hij staan rechts ver rechts van hem zitten niks veel 
B: 	zijn die helemaal bovenin rechts bovenin 
A: 	ja 
B: 	dit zijn met die met dat statief 
B: 	voe 
A: 	ja waar zijn jij nou ? hier 
A: 	vier 
B: 	hij staan bij de middellijn 
B: 	en dan nog een beetje aan de rechterkant en dan zitten er nog boven en onder zitten nog van alles 
A: 	nee 
A: 	de het statief 
B: 	F 
A: 	en precies in het midden 
B: 	nee 
A: 	met daarboven nog iets 
