A: 	oké deze hebben ja ik vinden het een soort een soort dienblad 
A: 	zo'n rond iets dat die aan het vasthouden zijn en dan hebben die links hebben die echt zo'n groot ja trompetachtig iets weten je wel ? echt zo'n uitsteeksel 
B: 	ja 
A: 	ik weten niet of 
A: 	snapan je hem 
B: 	ja 
B: 	het zijn een soort ja zijn een soort van spijker zijn het ook weer wat in daarin zitten zeggen maar 
A: 	ja ja 
A: 	ja 
B: 	ja oké 
B: 	dan zijn het L 
A: 	oké bij mij staan die op de onderste rij 
A: 	en dan helemaal links 
B: 	oké 
B: 	hij staan wel helemaal links maar niet op de onderste rij 
B: 	dus dan staan die niet op dezelfde plek 
A: 	oké 
B: 	deze staan nee dit zijn een kop met dat dienblaad en dat spijker in dat oor 
A: 	ja oké even kijken 
A: 	ja ik zien hem 
A: 	nummer zeven 
B: 	en hij staan in het linkervlak 
B: 	bovenaan 
B: 	maar net niet helemaal op de bovenste rij maar ook net niet helemaal op de twee rij 
B: 	zeggen maar van bovenaf zien 
A: 	oké dus niet alleen naar dat vak kijken 
A: 	dus als je alleen naar dat linkervlak kijken 
B: 	ja 
A: 	dan hebben je één staan helemaal boven van dat vak vlak 
A: 	en dan één daaronder 
A: 	zijn het die 
A: 	snapan je wat ik bedoelen 
B: 	even denken hoor ja er kunnen er zeggen maar net niet één boven 
B: 	nog een figuur boven 
A: 	oké 
B: 	dat kunnen net niet 
A: 	wachten oké ik snapen denken ik ook hoe jij bekijken want je hebben inderdaad als je naar heel het scherm kijken zo 
B: 	ja 
A: 	één rij 
A: 	twee rij niet 
A: 	en dan drie rij ongeveer 
B: 	nee nee bij mij zitten die een beetje tussen één en twee in 
A: 	oké nee dan nee dan zitten die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn weten je wel ? met dat dienblad en die spijker 
B: 	ja even zoeken ja dat zijn C 
A: 	oké bij mij staan die eigenlijk veel in het vlak rechtsboven 
B: 	oké dan 
A: 	en dan dicht bij deze lijn 
B: 	middellijn 
B: 	bij mij staan die onder 
A: 	oké nee dan zijn we daar niet 
B: 	oké dan staan die niet op dezelfde plek 
B: 	dit zijn die met dat dienblad 
A: 	even kijken 
A: 	ah dat zijn nummer één 
B: 	en hij staan in ieder geval links onderin 
B: 	een beetje tegen deze middellijn aan 
A: 	en het veel links wat het kunnen zijn 
A: 	toch 
B: 	ja hij staan niet helemaal tegen de rand van de computer zeggen maar aan maar ja er zitten nog ongeveer zitten nog ongeveer zo'n stuk tussen maar er zitten niks veel naast 
A: 	er zitten niks veel 
A: 	ja er zitten geen figuurt veel naast 
A: 	ja 
A: 	ja oké dan staan die op dezelfde plek 
A: 	dit zijn met dat dienblad en die spijker 
B: 	ja 
B: 	dat zijn A 
A: 	bij mij staan die eigenlijk best wel op deze middellijn en dan aan de linkerkant 
B: 	ja 
A: 	en dan best wel ja links dus niet bij deze middellijn 
B: 	ja hij staat ongeveer nog tussen de middellijn en het einde van het scherm in ongeveer 
A: 	ja in het midden dan ongeveer 
B: 	ja 
A: 	ja dan zijn het wel dezelfde 
B: 	oké dan staan die op dezelfde plek 
B: 	dit zijn met de dienblad 
A: 	even zijn nummer dertien 
B: 	en hij staan in het links linksonder in het vlak 
B: 	en ongeveer in het midden van dat vlak 
A: 	oké nee dat zijn niet dezelfde plek 
