A: 	ok deze hebben een soort piramide hoed achtig iets 
B: 	ah daar zijn er maar één van toch 
A: 	ja volgens mij wel ja hij hebben aan de voorkant nog best wel een groot figuur 
B: 	ja dan zijn het J 
A: 	ok 
A: 	hij zitten helemaal aan de onderkant van het scherm aan de rechterkant kunnen nog één plaat naast misschien anderhalf 
B: 	ja dan zijn het wel op dezelfde plek 
B: 	hum dit zijn die piramide op dat hoofd 
A: 	ja dit zijn zes 
B: 	hij zitten zeggen maar aan de rechter onderkant er passen onder misschien net iets naast en rechts nog net iets 
A: 	ok dat zijn dezelfde 
A: 	o dit zijn met de piramide erop 
B: 	ok dat zijn E 
A: 	zitten rechts van het midden kunnen nog een plaat onder aan de zijkant zijn of zeggen maar aan de rechterkant zijn nog best wel veel ruimte 
A: 	want hij zitten echt maar net een beetje rechts van het midden 
B: 	maar net rechts van het midden 
B: 	zeggen maar 
A: 	ja 
B: 	veel dan weinig dan één plaat rechts van het midden ? ok nee dan zijn het niet hetzelfde 
A: 	ja 
B: 	dit zijn met de piramide bovenop 
A: 	ok dat zijn tien 
B: 	ja hij zitten link onderin en er passen links denken ik nog een plaat naast onder niet 
A: 	echt maar één plaat link van ? nee 
A: 	dit zijn de piramide bovenop 
B: 	ja dat zijn G 
A: 	zitten helemaal links in de hoek bovenin 
B: 	ja 
B: 	dit zijn de piramide er bovenop 
A: 	ja dat zijn tien 
B: 	hij zitten aan de rechterkant iets onder het midden rechts past nog wel een plaat naast onder ook nog wel 
A: 	ja 
