B: 	oké 
B: 	ik hebben het rood vierkant dus 
A: 	ja 
B: 	deze hebben een soort van uitsteeksel naar links hij staan zo op een soort standaard een breed standaard volgens mij zijn dat er maar één toch 
A: 	ja even kijken hoor 
B: 	en hij hebben een cirkel aan de achterkant 
A: 	even kijken ja en aan de rechterkant zo'n kegel laten maar zeggen bovenop 
B: 	ja dat zijn hem 
A: 	en aan de linkerkant steken ook nog iets uit 
B: 	ja 
A: 	oké 
B: 	en nou moeten jij hem zeggen geloven ik 
A: 	ja 
A: 	nummer dertien 
B: 	oké geel 
B: 	oké 
B: 	als we het een beetje hij staan niet helemaal onderaan maar wel aan de onderkant van het onderste helft en dan eigenlijk exact in het midden 
A: 	ja 
A: 	ja 
A: 	dus zijn een beetje op even kijken hoeveel zijn dat 
B: 	ja als je in rij zullen verdelen twee hoogte 
A: 	ik denken het van onder 
B: 	ja van onder 
A: 	ja bij mij ook helemaal in het midden en dan één twee 
B: 	ja 
A: 	ja bij mij ook 
B: 	oké dan zullen die wel op dezelfde plek staan denken ik 
A: 	ja 
A: 	en dan de geel knop 
B: 	ja 
A: 	oké 
A: 	ik hebben die een met een soort van half cirkel bovenop 
A: 	en weer zo'n uitsteeksel rechts bovenop 
B: 	ja en een uitsteeksel links en een ding eronder 
A: 	ja 
B: 	dat zijn O 
A: 	en hij staan bij mij net iets rechts van de middellijn 
A: 	en ook iets boven de middellijn 
B: 	boven de middellijn 
A: 	ja en er toepassen er nog twee boven denken ik 
B: 	nee 
B: 	nee nee nee maar daar staan die bij mij niet 
A: 	oké 
B: 	mij staan die eronder 
B: 	dit zijn die een met de half cirkel aan de achterkant 
A: 	ja 
B: 	en een kegel rechts 
A: 	ja 
A: 	zijn bij mij nummer acht 
B: 	en deze staan aan de rechterkant er past er één van rechts tussen en er past geen veel boven 
B: 	hij staan dus aan de bovenkant van de middellijn 
A: 	ja 
A: 	er passen nee er passen bij mij ook geen veel boven 
B: 	de er passen een half boven 
A: 	ik hebben diegene weer met dat half cirkel bovenop 
A: 	en het staan op dat vierkant 
A: 	of op dat ja rechthoekig ding laten maar zeggen 
B: 	even kijken het half cirkel bovenop 
A: 	ja links bovenop staan die half cirkel 
B: 	dat een ding 
B: 	dat zijn C 
A: 	bij mij staan die in het midden van de rechterhelft 
B: 	nee bij mij staan die echt tegen de middellijn aan 
A: 	oké 
B: 	dit zijn die een met de cirkel aan de achterkant of de half cirkel en dan een 
B: 	hij staan op zo'n standaard 
A: 	nummer zeven 
B: 	en hij staan ja links en onder 
B: 	maar daar zweeven die een beetje er past er net misschien één onder 
B: 	of net niet 
A: 	ja staan die laten maar zeggen helemaal links onderaan 
B: 	en hij staan 
B: 	nee niet helemaal links onderaan 
B: 	er passen echt wel twee tussen vanaf links 
A: 	nee dat hebben ik niet 
A: 	ik hebben die een met die half cirkel bovenop 
B: 	en dat op zo'n houdert zeggen maar 
A: 	ja 
B: 	dat zijn C 
A: 	hij staan bij mij aan de rechterkant van het scherm helemaal bovenaan 
A: 	past absoluut niks veel boven 
B: 	nee 
