B: 	ik noemen dit de gek professor met die gek staafjes aan de zijkant met een plateau eronder 
A: 	ja 
B: 	groot ronde 
A: 	een soort van 
A: 	ja 
A: 	een soort van zijn dat dat dat dienblad met een kop met een soort van earplug in 
B: 	ja die heel gek staafjes 
A: 	ja ja 
A: 	dan zijn het Numero vijf 
B: 	hij staan bij mij stel de even kijken hoor één twee drie vier vijf stel dat je het beeldscherm ongeveer in zes gelijk vak kunnen delen 
A: 	ja 
B: 	dan staan die bij mij in het twee vakje ongeveer om en nabij de twee vak 
A: 	bij mij staan die helemaal links 
B: 	oké 
B: 	naast hij staan links bij jou kunnen daarnaast aan de linkerkant nog wat tussen zitten 
A: 	nou één denken ik 
B: 	ja 
A: 	zullen net gaan maar ik denken niet dat het programma dat zullen doen want dan zitten die wel heel krap 
B: 	nee 
A: 	laten ik het zo zeggen 
B: 	ja 
B: 	dan denken ik dat niet dat die op dezelfde plek staan want bij mij staan er ruim nog aan de linkerkant nog een half half beeld half figuurt en nog een heel 
A: 	oké 
B: 	dus bij mij passen er nog anderhalf aan de linkerkant 
A: 	ja 
A: 	nee dan staan die niet op dezelfde plek 
B: 	nee 
A: 	helaas 
A: 	dit zijn dit zijn wat jij noemen de professor 
B: 	ja 
A: 	dus met die ding in de oor 
B: 	met die gek ja 
A: 	ja 
B: 	dan misgaan het om J 
A: 	bij mij staan helemaal rechts in de hoek onderaan 
B: 	in het hoek of kunnen er nog één 
A: 	ja 
A: 	nee er kunnen helemaal niks veel bij 
B: 	staan die niet op dezelfde 
A: 	oké 
B: 	niet dezelfde rood 
B: 	dit gaan om de professor 
A: 	de 
B: 	met die gek ding uit zijn oor 
A: 	ja 
A: 	ik zoeken hem even op ja dat zijn Numero elf 
B: 	hij staan bij mij op de lijn van één vier stel dat je het 
A: 	nee dat zijn bij mij niet 
B: 	in het hij staan vrijwel echt in het midden 
B: 	kunnen er twee boven 
A: 	in het midden van het midden bedoelen je dan 
B: 	twee onder 
B: 	in het midden dus je hebben trekken midden aan de linkerkant ongeveer in het midden zeggen maar als je de rood pin neemt 
A: 	ja 
B: 	dan vallen die daaronder nog 
A: 	ja net 
B: 	ja 
A: 	maar bij mij als je dus het midden nemen en gelijk aan de linkerkant 
B: 	bij hoe bedoelen je ? je je doen het beeldscherm doormidden en daar weer het midden van 
A: 	nee gewoon doormidden en dan aan de linkerkant 
B: 	gelijk tegen de lijn aan 
A: 	ja 
B: 	bij mij zijn dat niet zo bij mij moeten je zeggen maar nog wel 
A: 	oké 
A: 	dan staan die niet op dezelfde plek 
B: 	nee 
A: 	de professor 
B: 	ja 
B: 	dat worden P 
A: 	hij staan bij mij als je een lijn naar boven trekken eigenlijk vrij bovenaan 
A: 	aan de rechterkant 
A: 	en ja zullen er nog één boven kunnen ? er zijn ruimte boven laten ik het zo zeggen er zullen misschien een half ja ik weten niet 
B: 	ja 
B: 	er kunnen bij mij ongeveer anderhalf aan de rechterkant en één aan de linkerkant 
A: 	anderhalf aan de rechterkant 
B: 	ja 
A: 	bij mij zitten er echt twee aan de rechterkant nog 
B: 	ja dat zullen ja bij mij anderhalf ongeveer 
A: 	nee er kunnen echt bij mij zijn echt ruimte vrij dus ik denken niet dat die op dezelfde plek staan 
A: 	bij mij zijn aan de rechterkant staan er nu al twee en er zullen als die één nog een beetje op zullen schuiven zullen er nog een drie bij kunnen 
B: 	nee bij mij niet 
A: 	dus dan zullen die niet op dezelfde plek staan 
B: 	nee 
B: 	de professor 
A: 	de professor dat zijn dan Numero negen 
B: 	staan bij mij helemaal bovenin in het midden eigenlijk 
A: 	helemaal bovenin 
B: 	vrijwel bovenin er kunnen er drie vinger nog tussen 
A: 	nee bij mij staan er dan echt nog één boven en 
B: 	nee 
B: 	bij mij kunnen het niet 
A: 	oké 
A: 	staan die niet op dezelfde plek 
A: 	ja jou professor 
B: 	ja dan gaan het om L 
A: 	hij vallen bij mij als je de lijn doormidden als je de beeldscherm doormidden doen aan de linkerkant 
B: 	door E en N 
A: 	hij gaat niet door E en N hij gaan door geen enkel letter heen 
B: 	nee 
B: 	bij mij zitten die echt wel in het op N en Q 
A: 	oké 
A: 	nee dan zijn dat niet het geval 
