A: 	deze hebben eigenlijk aan beide kant een soort van ja uitsteeksel rond en dan zijn de een lang dan de ander 
A: 	en dan hebben die linksachter een soort van vierkant met een soort staart eraan 
B: 	ja 
B: 	ja 
B: 	dan weten ik al welk het zijn dan zijn het K 
A: 	oké bij mij staan die eigenlijk helemaal Linksboven 
B: 	het uiterst 
A: 	ja het uiterst 
B: 	oké 
A: 	laten ik maar zeggen er zijn geen veel die er ja 
B: 	nog tussen past zeggen maar 
A: 	nee er staan geen ja dus hij zijn echt gewoon uiterst linksboven 
B: 	dan denken ik ja bij mij kunnen er zeggen maar nog één rij voor 
B: 	en er staan nog één ander staat nog ver naar links 
A: 	ja er staan één maar die zijn veel onder die staan wel ver naar links 
B: 	ja 
A: 	maar dit zijn echt als je soort van lijn eromheen trekken dan zijn dit echt gewoon in de hoek 
A: 	dus links in de hoek 
A: 	dus er staan er nog wel één inderdaad een een rij naar links die je een beetje zo kunnen trekken 
B: 	ja 
A: 	als je dan een beetje naar boven gaan zijn dat wel de uiterst 
B: 	oké 
A: 	want waar staan die bij jou 
B: 	ja bij mij kunnen er zeggen maar nog één rij boven en één rij ernaast 
A: 	oké 
B: 	dat past er nog wel tussen 
A: 	ja 
A: 	maar een rij boven zijn alleen rechts toch 
A: 	bedoelen je 
B: 	ja ja maar er kunnen ook nog in principe kunnen er nog iets boven een figuurt 
B: 	dat past nog zeggen maar en er past ook nog één link ervan 
A: 	oké 
A: 	oké 
A: 	ja 
A: 	maar het past wel maar het zitten er niet boven toch ? bij 
B: 	nee het zitten er niet 
B: 	nee 
A: 	oké dan zitten die denken ik op dezelfde plek 
B: 	ja ? oké 
A: 	ja 
B: 	ja 
B: 	dan zitten die op dezelfde plek 
B: 	dit zijn weer die dat kop met die twee arm waarvan de een lang zijn dan de ander 
A: 	ja 
B: 	met dat vierkantje met een poo eraan 
A: 	ja 
A: 	nou zeggen kunnen hem niet vinden 
A: 	een lang dan de ander 
A: 	ik oké dan weten ik niet of we dezelfde hebben 
A: 	nee 
A: 	oké wachten omschrijf hem nog eens 
B: 	het zijn zeggen maar een een pot en dan zitten er ja ik denken dat het een soort van knuppel zijn die erachter zitten of zo 
A: 	ja 
B: 	maar aan de rechterkant zijn die dan iets lang dan aan de linkerkant 
A: 	ja 
B: 	en daarachter zijn een soort scherm die op een voetstuk staan 
B: 	je hebben hem straks ook omschrijven 
A: 	ja maar ik kunnen hem gewoon nu niet vinden 
A: 	even kijken hoor 
A: 	ja inderdaad ik zien hem oké nummer negen 
B: 	en hij staan zeggen maar in het vlak rechtsboven 
B: 	in het midden van het vlak 
A: 	ja maar het zijn wel het veel rechts van dat vak vlak 
A: 	van dat vak alleen die rechts dan 
B: 	ja alleen van als je hem opdeelen in vier vlak alleen van dat vlak zien zijn het ongeveer in het midden 
A: 	ja 
A: 	ja 
A: 	ja dan staan die op dezelfde plek 
A: 	dat zijn die een met die ongelijk arm eigenlijk die ik toestraks niet kunnen vinden 
B: 	ja 
B: 	dat zijn F 
A: 	bij mij staan die in het vlak linksonder 
A: 	en dan eigenlijk haast op de middellijn 
A: 	op deze lijn 
B: 	oké ja bij mij staan die er net iets boven deze middellijn 
B: 	dus dan staan die niet op dezelfde plek of wel 
A: 	ja ik ik ik zijn een beetje aan het twijfelen 
B: 	ja waar nou precies die lijn zitten 
A: 	ja 
B: 	ja bij mij staan die er wel duidelijk boven 
A: 	ja 
B: 	denken dat je het dan wel 
A: 	bij mij niet helemaal 
A: 	als ik dit even denken hoe ik het anders kunnen uitleggen 
A: 	nou als je het heel globaal kunnen bekijken hebben je links hebben je een beetje scheve lijn van drie 
A: 	en daarnaast hebben je nog een lijn van drie 
A: 	snapan je wat ik bedoelen 
B: 	ja waar die in zitten in het midden 
A: 	ja 
B: 	ja 
A: 	daar zitten die in het midden 
B: 	ja maar ik weten niet of die dan bij jou verplaatsen zijn die die die poppet zeggen maar die kunnen bij jou ook een stuk ver naar links of rechts zijn 
A: 	ja 
A: 	dat weten ik ook niet 
B: 	maar als je zeggen maar als je de computer ongeveer in de helft opdeelen 
B: 	dan zitten die er bij mij net boven boven de lijn 
A: 	ja 
A: 	bij mij zijn het echt op dus ik zitten echt zo van misschien 
B: 	dan zitten die denken ik niet op dezelfde plek 
A: 	ja ik weten het niet 
A: 	want ja 
B: 	want ik denken ik denken dat het wel duidelijk 
B: 	bij mij zijn het wel duidelijk Erboven 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	nee dan bij mij niet 
B: 	oké 
A: 	dus dan niet 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn weer met die knuppel aan de achterkant met dat een ding lang dan de ander 
B: 	en met dat dinge 
A: 	wachten die die twee ongelijk arm bedoelen je 
B: 	ja die twee ongelijk arm ja 
A: 	en dan zo'n vierkan erachter 
B: 	ja 
A: 	ja oké dat zijn nummer drie 
B: 	hij staan in het linkervlak onderin 
B: 	en er kunnen niks veel onder 
B: 	en aan de linkerkant kunnen er ongeveer twee nog naast 
B: 	en aan de rechterkant één 
B: 	ongeveer 
A: 	oké wacht 
A: 	dus helemaal linksonder in de hoek 
B: 	nee veel in als je alleen het linkervlak onderin hebben 
A: 	ja 
B: 	zeggen maar in op de helft ongeveer van het linkervlak 
A: 	oké nee dan zitten die niet op dezelfde plek 
A: 	dat zijn met die twee ongelijk arm en ja die dat vierkantje achter met die staart 
B: 	arm 
B: 	ja 
B: 	ja dat zijn L 
A: 	oké bij mij staan die eigenlijk die zijn best lastig 
A: 	eigenlijk bij allebei de middellijan zitten die wel 
A: 	en dan ja ik zullen echt zeggen dat die haast op deze middellijn zitten 
B: 	oké 
B: 	dan zitten die niet op dezelfde dan zitten die niet op dezelfde plek 
A: 	en dan aan de rechterkant nee 
B: 	dit zijn weer met die een arm lang dan de ander 
A: 	ah dat zijn nummer vijf 
B: 	en hij staat ongeveer op deze middellijn 
B: 	en dan vanaf deze middellijn zien als je naar beneden gaan 
B: 	precies op de helft 
A: 	ja dan staan die denken ik op dezelfde plek 
