A: 	goed 
B: 	oké 
B: 	het zijn een er zitten een cirkel verstpen achter het kop 
B: 	en er steken een ding uit 
B: 	aan de zijkant en ook aan de bovenkant 
B: 	en het ding wat aan de bovenkant uitsteekt zijn afronden 
B: 	en het ding wat aan de zijkant uitsteken zijn gewoon een cilinder 
A: 	lijken het een soort van op een kop waar een lepel in zitten zeggen maar 
A: 	en dan met nog een rond bovenop 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	en daarachter zitten dus wel een soort plaat verstpen 
A: 	ja 
B: 	achter het kop 
A: 	en zijn de onderkant zijn die plat 
B: 	ja de onderkant zijn plat 
B: 	hij staan op een soort dinge het kop 
A: 	ja oké 
A: 	dan zijn het nummer dertien 
A: 	en op de geel knop drukken 
B: 	op de geel knop ja 
A: 	oké 
B: 	oké waar die staan oké hoe beeld je dat uit 
B: 	sowieso onderin 
B: 	in de buurt onderin hebben je drie van die ding die zo diagonaal zijn 
A: 	ik niet 
A: 	misschien kunnen je het scherm uitbeelden en daarop aanwijzen waar die zitten 
B: 	ja oké het scherm als dit het scherm zijn 
A: 	ja 
B: 	dan zitten die hier ongeveer 
A: 	zitten die in het midden of zitten die iets veel naar rechts of naar links 
B: 	in het midden maar best wel heel erg aan de onderkant 
A: 	ja 
A: 	zitten zitten er nog iets onder 
B: 	er zitten niks onder 
A: 	oké 
A: 	maar zitten die gelijk tegen de onderkant aan of zitten er nog wel ruimte voor nog een figuur onder zeggen maar 
B: 	er zitten nog precies ruimte voor één figuur onder 
A: 	oké dan denken ik dat die op dezelfde plek staan 
B: 	oké 
B: 	moeten ik dan op de rood knop drukken 
A: 	als die wel op dezelfde plek staan zijn geel en dan niet op dezelfde plek zijn rood volgens mij 
B: 	oké 
B: 	ja 
A: 	dus dan zijn het geel 
A: 	dit zijn weer het kop met de lepeltje eruit en dat rond schijf aan de achterkant 
A: 	met die plat plat onderkant en die staan op een soort van ja dinge 
B: 	ja 
B: 	dinge ja O zijn dat 
A: 	hij staan bij mij nu ongeveer één drie vanaf boven 
A: 	en hij staan net iets rechts van het midden 
B: 	één drie vanaf boven 
A: 	ja zeggen maar als je van boven naar beneden gaan dan ongeveer op één drie 
B: 	zitten onder de helft 
A: 	nee net boven de helft zeggen maar 
B: 	oké ja 
A: 	dus ja 
B: 	ja boven de helft vanaf onder bedoelen je 
A: 	nee vanaf boven 
A: 	nee wachten volgens 
A: 	jawel vanaf onder 
B: 	oké bij mij zitten die zeggen maar onder onder de onder het midden 
A: 	als je het scherm hebben 
A: 	bij mij zitten die boven het midden 
B: 	oké 
A: 	net iets boven het midden en ook rechts van het midden 
B: 	nee daar zitten die bij mij niet dan 
B: 	dit zijn met de verbergen cirkel achter het kop op het plateau 
B: 	met het lepel erin ook 
A: 	lepel erin 
A: 	ja nummer acht 
B: 	hij staan bijna rechtsboven in de hoek 
B: 	maar dan een klein stuk naar onder 
A: 	ja 
B: 	en er zitten nog ongeveer één plaat rechts dat ertussen past 
A: 	oké 
A: 	op dezelfde plek 
A: 	dit zijn het kop met het lepel en het rond dat er aan de achterkant uit komen 
B: 	ja 
B: 	dat zijn C 
A: 	en hij staan bijna helemaal bovenaan er zullen misschien nog net een klein plaat boven passen 
A: 	en aan de rechterkant nog wel twee drie 
B: 	dat zijn hem niet bij mij 
B: 	sowieso niet 
B: 	verbergen cirkel achter het kop op het statief met dat lepel erin 
A: 	dat zijn nummer zeven 
B: 	hij staat ongeveer op een kwart vanaf links en dan anderhalf plaat onder het midden 
A: 	hoeveel plaat zullen er aan de onder en linkerkant passen 
B: 	ik denken één aan de onderkant 
A: 	ja 
B: 	en een stuk of twee en een half drie aan aan de linkerkant 
A: 	oké 
A: 	dat zijn niet dezelfde plek 
A: 	dit zijn het kop met het lepel erin en dat en het rond dat er aan de achterkant uit komen 
B: 	ja 
B: 	C 
A: 	en hij staan helemaal bovenaan en ongeveer op een een kwart vanaf rechts 
A: 	past denken ik nog anderhalf plaat aan de rechterkant naast 
B: 	een ander plek 
