A: 	ja ik noemen deze het kanon omdat het een soort van het zijn een soort kop en er gaan iets aan de ander kant in en er komen ook aan de ander kant weer uit 
B: 	met een soort van spijker 
A: 	met een soort van afdak aan de ander ja die die soort van spijker die er helemaal doorheen staan met een soort van raar afdak aan de linkerkant 
B: 	ik noemen dit 
B: 	ja ik zijn het zeggen maar een soort van een ja een spijker wat in zo'n vormp worden slaan of niet 
A: 	ja 
A: 	en dan komen die aan de ander kant weer uit 
B: 	met een ronde rond plateau 
A: 	een rond plateau 
B: 	nee dan hebben we het niet hetzelfde 
A: 	ik bedoelen bij mij zijn het een kop 
B: 	ja 
A: 	net zoals altijd 
A: 	en daar komen aan de linkerkant een soort van spijker in 
B: 	ja 
A: 	die aan de rechterkant er weer uit gaan 
A: 	en daarboven steken boven dat opsteken nog een soort van raar afdak uit zo'n scheef ding wat naar boven wijzen 
B: 	er er staan iets 
B: 	hebben het ah wachten even ik denken dat het de ander zijn 
B: 	zijn het een beetje stompe zijkant zeggen maar met een bol 
A: 	ja van die ronde van die rond halfron zijkant 
B: 	ja 
B: 	dan weten ik denken ik wel met een met een vierkant vlak wat er zo op staat 
A: 	ja zo'n raar een soort van ja ik noemen het afdak of zo het zijn een beetje 
B: 	ja 
A: 	ja 
A: 	het zijn een beetje een raar figuur wat ik niet echt heel goed snapen 
B: 	ja je noemen het de gieter toch net 
A: 	nee die noemen ik niet de gieter 
A: 	die nee de de deze noemen ik niet de gieter 
A: 	hebben we dan echt wel dezelfde 
A: 	er gaan aan de een kant een halfrond ding in 
B: 	ja en aan de ander kant eigenlijk het dubbel ervan anderhalf 
A: 	ja 
A: 	ja ongeveer ja en die die die en die ding zijn vrij rond en er zitten een soort van ja rond op 
B: 	ja 
B: 	een soort van knop op de staaf 
A: 	ja ja dus dan hebben we het wel hetzelfde ding want volgens mij hebben geen enkel ander dat 
B: 	ja 
A: 	oké 
B: 	nee dan hebben we het over K 
A: 	bij mij staan die links in de hoek 
B: 	ja 
A: 	er zullen nog plek zijn om er misschien één boven te bijzetten en één naast 
B: 	link daarnaast 
A: 	ja link ernaast kunnen bij mij nog wel één en boven ook nog wel maar ver staan die vrij links in de hoek 
B: 	ja bij mij ook 
B: 	bij mij kunnen er nog wel één erboven zeggen maar een klein 
A: 	ja 
B: 	dus niet die niet dat toren dat past er niet veel bij Erboven 
A: 	nee dat kunnen bij mij ook niet 
B: 	link kunnen er ook nog een klein bij 
A: 	ja 
B: 	en zeggen maar echt helemaal links in de hoek echt zeggen maar waar het zo 
A: 	zullen ook ja 
B: 	daar zullen je eventueel ook 
A: 	er zijn ruimte maar ik denken niet dat dat nee 
B: 	ja 
B: 	dan denken ik dat die op dezelfde plek staan of niet 
A: 	ja dat denken ik ook 
B: 	ja dus dat zijn geel op dezelfde plek 
B: 	dit zijn zeggen maar met dat afdak wat ik de gieter vinden de de statiev met die knop aan de zijkant 
A: 	ja en dat afdak ja 
B: 	ja 
A: 	dat zijn Numero negen 
B: 	ja bij mij staan die zeggen maar als je dan het staaf weer als meet lint nemen als je die helemaal doortrken over de over de horizontaal van het scherm 
A: 	ja 
B: 	dan zullen die er ongeveer op staan 
A: 	ja bij mij ook ja 
B: 	ongeveer 
A: 	ongeveer er zijn nog wel een ruimte aan de rechterkant en er kunnen ongeveer nog één naast bij mij 
B: 	staan 
B: 	een klein zullen ernaast nog kunnen 
A: 	naast kunnen ja 
B: 	en daarboven kunnen er nog één en daaronder kunnen er drie 
A: 	ja 
A: 	ja 
B: 	dan denken ik dat die op dezelfde plek staan 
A: 	staan die dezelfde plek 
A: 	nou dit zijn mijn kanon met het raar afdak 
B: 	ik weten welk je bedoelen 
B: 	ja dat worden dan F 
A: 	hij staan bij mij als je het scherm in twee zullen verdelen aan de linkerkant 
A: 	in het midden eigenlijk vrijwel 
B: 	ja als je de B omhoogtrekt staan die eigenlijk gelijk tegen de lijn van B 
A: 	dat bij mij niet 
A: 	hij zitten staan echt midden midden midden van het midden 
B: 	in het midden van het midden 
B: 	nee bij mij zijn dat niet zo dan staan die dus niet op dezelfde plek 
A: 	oké dan staan die niet op dezelfde 
B: 	dit zijn het afdak 
A: 	het afdak ik zoeken hem even op 
B: 	we hebben weer ander ronde hoelang ? duren zes ronde toch 
A: 	dat weten ik niet ik zoeken hem even op 
A: 	waar zijn dat ding 
A: 	ja Numero drie 
B: 	hij staan bij mij onderaan 
A: 	ja 
B: 	link 
A: 	ja 
B: 	kunnen niks eronder zitten nog wel twee vinger eronder dik of twee vingerdikken eronder 
A: 	ja dat hebben ik ook wel 
B: 	er kunnen er twee aan de linkerkant en als je de B 
A: 	twee aan de linkerkant 
B: 	ja 
A: 	nee dan staan die niet op dezelfde plek 
B: 	oké 
A: 	kut ik druk op het verkeerd knop maar 
B: 	verkeerd knopje 
A: 	ja 
B: 	no no no no no 
A: 	no no 
A: 	het kanon met af afdak 
B: 	ja dan gaan het om L 
A: 	hij staan best wel in het midden aan de rechterkant 
A: 	denken ik ja als je de lijn doormidden zullen trekken dan aan de rechterkant van het midden 
A: 	en dan kunnen er nog twee onder denken ik 
B: 	bij mij niet bij mij kunnen er één onder en kunnen er drie erboven nog 
A: 	nou dan staan die denken ik niet op dezelfde plek 
B: 	bij mij vallen die zeggen maar best wel een beetje aan de ja als je zo het beeldscherm hebben vanaf jou kant zien zullen die ongeveer hier vallen als je dan zo het beeldscherm nog hebben 
B: 	dus er kunnen er om hem heen kunnen er nog één aan de zijkant aan de rechterkant één eronder 
A: 	nee aan de aan de rechterkant kunnen echt nog drie dus dat dan staan die niet op dezelfde plek 
B: 	nee 
B: 	nee dat gaan staan niet op dezelfde plek 
B: 	dit gaan om het afdak met de kno 
A: 	ja ik zoeken hem even op 
A: 	dat zijn Numero vijf 
B: 	hij raken zowat al letter 
A: 	ja 
B: 	BenQ hij kunnen net een klein zullen eronder kunnen maar voor de rest 
A: 	ja 
A: 	nou bij mij kunnen er wel echt wel ja er kunnen er wel één onder 
B: 	ja zo'n je zullen de toren er niet in kunnen zetten maar zo'n één zeggen maar het uilt zullen er onder kunnen passen 
A: 	nee nee nee 
A: 	ja ja maar dan staan die dezelfde plek 
