B: 	goed de volgen zijn een koffiebeker 
B: 	het hebben een een groot ronde cirkel als een soort van neus 
B: 	met daarbij twee vlechtjes die naar buiten steken 
B: 	dat zijn denken ik wel duidelijk welk dat zijn het staan op een een vierkant platform 
B: 	en het hebben nog twee ja wat zijn het 
A: 	rond boog 
B: 	rond boog die eraan vastzitten 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	nou bij mij staan die qua hoogte staan die net iets onder het midden 
B: 	en qua ja als je die kant op kijken dan staan die vanuit het midden staat die zeggen maar op de helft 
B: 	of van het linkervlak 
A: 	oké 
A: 	bij mij staan die behoorlijk aan de linkerkant 
A: 	er zijn weinig ruimte veel om ver naar links te gaan 
A: 	en hij staat ongeveer halverwege of iets daarboven in de hoogte 
A: 	dus dat lijken niet dezelfde plek te zijn 
B: 	boven het midden lijken me een ander plek inderdaad 
A: 	rood 
A: 	hoe noemen je deze ook alweer ? in ieder geval koffiekopje met vierkant onderzetter 
A: 	met de soort rond neus aan de voorkant 
B: 	met die dinge eruit 
A: 	de spiraaloor 
B: 	ja 
B: 	dat zijn letter J 
A: 	oké 
A: 	bij mij staan die het veel rechtsonder wat past en er past ook niks naast of onder 
B: 	nee ander plek 
A: 	oké 
B: 	dat kop met zo'n rond neus en twee 
A: 	met de ei of 
B: 	nee dat plaat met die twee vlechtjesdingen aan de zijkant 
A: 	oké even zoeken zoeken zoeken 
A: 	ja de ja de raar vlechtjes 
B: 	ja 
A: 	dat zijn nummer elf 
B: 	ja 
B: 	hij staan net iets onder de middellijn horizontaal 
B: 	er passen niks veel bij 
A: 	het zullen hem doorkruisen 
B: 	nee hij schampen zijn hoofd denken ik net 
B: 	en qua 
A: 	oké 
A: 	prima 
B: 	qua waar die ver in het kwadrant staan zijn ja iets rechts van de middellijn van dat kwadrant 
B: 	dus er zullen nog tussen de middellijn en dat plaat zullen ja er zullen een dinge passen maar dan zullen dat de middellijn 
B: 	ook doorkruisen 
B: 	het worden wel steeds duidelijk mijn uitleg 
A: 	ik ik zitten te denken dat we het waarschijnlijk over hetzelfde hebben 
A: 	je hebben je hebben ook je hebben ook een BenQscherm toch 
B: 	ja die middellijn zullen 
B: 	een wat voor een scherm 
B: 	ja 
A: 	ja 
A: 	en als je de B recht omhoogtrekken die zullen heel dicht bij de onderzetter aankomen 
A: 	de hoek van de onderzetter 
B: 	nee helemaal niet 
B: 	hij staan echt best wel ver van die middellijn af 
A: 	ja van de B 
A: 	als je de B recht omhoogtrekt zitten er echt nog 
B: 	ja de B van dit scherm 
A: 	ja 
B: 	dat zijn de middellijn ongeveer 
A: 	ja de tussen de E en de N maar ik noemen even de B recht omhoog 
A: 	die zullen echt heel dicht tegen het hoek van de onderzetter bij mij 
B: 	nee 
B: 	nee dan zijn het anders denken ik 
A: 	oké 
A: 	jou spiraalvlecht 
B: 	ja 
B: 	letter P 
A: 	die staan in het kwadrant rechtsboven 
B: 	ja 
A: 	daar hebben ik er drie op de van de bovenste drie op een rij 
B: 	drie op een rij ja 
A: 	en daarvan zijn het degeen het veel naar het midden toe 
B: 	ja de middel 
A: 	oké 
B: 	dat zijn hem 
B: 	er kunnen niet echt veel iets boven ja kunnen wel 
A: 	zullen kunnen maar 
B: 	kunnen wel ja 
B: 	die spiraalvlecht 
A: 	ja 
A: 	nummer negen 
B: 	hij staan ja de de verticaal middellijn zullen hem doorkruisen 
A: 	ja 
A: 	ja 
A: 	ja dat durven ik wel te zeggen ja 
B: 	en horizontaal 
A: 	hij kruisen de lijn 
B: 	ja hij kruisen de lijn 
A: 	maar hij staan bij het kwadrant Linksboven 
B: 	hij staan 
B: 	hij horen bij het kwadrant 
A: 	nee 
B: 	nou twijfel 
B: 	hij staan wel best wel bovenaan 
B: 	ik denken dat die bij allebei evenveel horen bij mij maar dat kunnen wel 
A: 	dat zijn misschien een beetje perspectief 
A: 	en hij staan iets boven het midden 
B: 	van dat 
A: 	verticaal zien staan die iets boven het midden 
B: 	ja er staan bij mij als je de middellijn zo maakt bekendstaan er nog wel een plaat tussen dat plaat en het plaat waar we het nu over hebben 
B: 	dus als je het scherm zullen doorkruisen horizontaal 
A: 	ja 
B: 	dan staan er eerst een ander plaat en dan dat plaat 
A: 	dus hij staan vrij hoog 
B: 	ja 
A: 	bij jou 
B: 	hij staan in ieder geval hoog van het midden dan wat jij nu denken ik beschrijven 
A: 	ja bij mij zullen die 
B: 	past er bij jou boven nog iets 
A: 	ja 
B: 	makkelijk 
A: 	er vaststaan ook nog schuin boven iets 
B: 	nee dan worden het hem niet 
A: 	de vlecht 
B: 	de vlecht 
B: 	letter L 
A: 	kwadrant Linksboven 
B: 	nee rechtsboven 
A: 	geen twijfel over 
B: 	nee 
A: 	nee 
B: 	dat worden hem niet 
