A: 	nou hebben jij het rond 
B: 	oké 
B: 	even kijken 
B: 	dit zijn zeggen maar aan de zijkant zitten een een steel die zo omhooggaan zeggen maar 
A: 	in zo'n hand of zo 
B: 	ja ja zo als alsof je je arm zo hebben 
A: 	ja oké 
A: 	ja 
A: 	oké dat hebben ik 
A: 	en zo'n zo'n zo'n Neusachtig 
B: 	ja ja ja 
A: 	oké 
A: 	dan zeggen ik zes 
B: 	bij mij staan die ja hij staat niet midden bovenin 
A: 	oeh 
B: 	hij staan niet midden bovenin maar een beetje naar rechts 
A: 	maar maar wel aan de bovenkant 
B: 	ja 
A: 	oké ik ook 
A: 	zijn het geel 
B: 	geel ja 
A: 	wanneer moeten je dan op rood drukken als het niet 
B: 	nee op op op op geel 
A: 	oké 
B: 	rood rood zijn niet ja rood zijn niet hetzelfde geloven ik ja 
A: 	niet hetzelfde oké 
A: 	de ja de zwaaiend robot zeggen maar 
A: 	met met dat met dat hoekig hand 
B: 	ja die ja ja 
A: 	en zo'n slurf 
B: 	C 
B: 	bij mij staan die bovenaan 
B: 	zeggen maar hoe heten het ? nee niet halverwege driekwart zeggen maar naar 
A: 	naar rechts 
B: 	naar rechts ja 
A: 	oké 
A: 	nee die van mij zijn helemaal boven dus dan hebben we wat ander 
B: 	oké 
B: 	nu hebben ik die weer met met dat hand zo 
A: 	ja 
B: 	en met link bovenop of met met bovenop zo'n twee streep 
A: 	ja en dan de slurp 
B: 	ja 
A: 	dertien 
B: 	en hij staan bijna helemaal linksboven in het scherm 
A: 	maar bij bij het bij het rood ding of echt gewoon bovenaan 
B: 	nee bij zeggen maar in de hoek maar dan een stuk van de hoek af 
A: 	oké nee dan niet 
A: 	die die hand zeggen maar 
A: 	en dan twee 
B: 	ja 
B: 	J 
B: 	en hij staan boven het logoo 
A: 	ja 
B: 	klein stuk naar rechts ja heel klein stuk 
B: 	die met die arm zo en die slurf 
A: 	ja 
A: 	negen 
A: 	oeh ja helemaal rechts zeggen maar het het die een die het veel aan de rechterkant zijn van het scherm 
B: 	ja 
B: 	ja jij moeten drukken 
A: 	ja 
B: 	dan mogen we dadelijk opnieuw 
A: 	die zwaaiend robot 
A: 	met een slurf 
B: 	N 
B: 	en hij staan bijna midden bovenaan 
A: 	ja 
A: 	nee jij 
