A: 	oké 
A: 	ja deze doen me een beetje denken aan een soor strandstoel wat er zo links uit opsteken en dan nog een groot soort honkbalknuppel daar dwars doorheen 
B: 	ja 
B: 	ja dat zijn K bij mij ik noemen het ook de knuppel 
A: 	oké 
B: 	ik noemen het zonnepaneel zo 
A: 	zonnepaneel ja dat zijn ook wel een mooi inderdaad 
B: 	die strandstoel zijn ook leuk 
B: 	oké ja 
B: 	dus dat zijn K 
A: 	en hij staan bij mij helemaal links bovenin er zijn geen ander veel daar nog boven 
B: 	ja bij mij ook links bovenin 
A: 	oké 
B: 	zelfde plek 
A: 	nou prima 
B: 	het zijn weer die honkbalknuppel 
A: 	ja 
B: 	en het strandstoel 
A: 	oké nummer negen zijn dat bij mij 
B: 	en bij mij zijn die ja ongeveer op het midden van het midden van de rechterkant 
A: 	ja 
B: 	en net iets boven de helft 
A: 	ja 
A: 	hebben jij er op de helft één 
B: 	ja dus daarboven 
A: 	ja en dan daarboven nog één en dan daarboven nog één 
B: 	ja ja precies het zijn net iets veel 
B: 	ja precies ja 
A: 	ja oké zijn dezelfde plek wel 
B: 	zitten 
A: 	oké 
A: 	nou dit zijn weer de honkbalknuppel met het zonnecelle strandstoel 
B: 	oké 
B: 	even 
A: 	hoe je het noemen willen 
B: 	ja sorry ik moeten even zoeken ja F 
A: 	zijn even zoeken soms 
B: 	oké 
A: 	en hij staat ongeveer de helft van de helft links 
B: 	oké 
A: 	ongeveer op het midden wel 
B: 	oké 
B: 	helft van de helft links 
A: 	de helft van de helft links ja 
B: 	oké nee mijn staan wel iets veel rechts maar wel op de helft maar 
A: 	oké 
B: 	nee ander plek 
A: 	ander plek 
B: 	Alright 
A: 	die zijn lastig 
B: 	de honkbalknuppel 
A: 	honkbalknuppel waar zijn die ? waar zijn die 
B: 	met het strandstoel 
A: 	daar 
A: 	nummer drie 
B: 	hij zijn helemaal onderop 
B: 	en ongeveer de helft van de helft links 
A: 	ja 
B: 	misschien nog net iets rechter maar 
A: 	ja 
A: 	er zullen nog iets link van kunnen maar dan 
B: 	ja 
A: 	ja 
A: 	oké 
A: 	top 
A: 	zelfde plek 
A: 	de honkbalknuppel en de zonnecellet strandstoel 
B: 	even kijken ja dat zijn L bij mij 
A: 	top 
A: 	en hij staan net iets rechts uit het midden maar wel ongeveer op de helft 
A: 	beetje neigen naar beneden maar 
B: 	oké 
B: 	maar in het midden midden 
A: 	nee net rechts uit het midden 
B: 	oké ja 
A: 	zo en dan zo net iets ja het zijn een beetje twijfel midden net net net onder het midden 
B: 	oké nou ander plek 
A: 	oké duidelijk 
B: 	veel ver weg 
A: 	veel ver oké nou dat zijn duidelijk 
A: 	oké 
B: 	weer de honkbalknuppel 
A: 	honkbalknuppel 
A: 	ja nummer vijf 
B: 	oké 
B: 	staan ongeveer op de helft van de helft beneden 
B: 	en redelijk op het midden 
A: 	ja net iets link van het midden bij mij 
B: 	net iets link ja inderdaad 
A: 	net iets 
A: 	ja zelfde 
