A: 	oké bij mij hebben die twee USB aan de rechterkant voor ons eruit komen en een neus en een soort van omgedraaien boo op het op het hoofd 
B: 	rechterkant ja 
B: 	ja ja en een staart ook nog of zo ja ja 
A: 	ja ja ja 
A: 	negen 
B: 	I zijn dat bij mij 
B: 	I negen 
A: 	yes 
A: 	bij mij staan die degeen die we hiervoor hebben 
B: 	ja 
A: 	die oorbel van jou 
B: 	ja 
A: 	staan die schuin links boven 
B: 	ja bij mij ook 
A: 	ja 
B: 	ja 
A: 	en er kunnen niks veel tussen schuin Linksboven 
B: 	nee nee er kunnen eigenlijk niks veel tussen en er zullen nog wel iets boven kunnen 
A: 	ja 
B: 	ja ja 
A: 	zelfde plek 
B: 	zelfde plek 
B: 	dit zijn de USBstick 
A: 	die twee USBsticken 
B: 	ja zo die neus 
A: 	oké en dan 
B: 	ja of die met dat poo op de of omgekeerd 
A: 	en dan staart onderin oké ja 
B: 	ja 
B: 	L 
A: 	L twee 
B: 	ja hij staan links als je vanaf de linkeronderhoek naar boven gaan zullen er nog één tussen kunnen diagonaal naar boven 
A: 	oké 
A: 	dus hij staan net wat onder verrekijker 
A: 	degeen die we hiervoor hebben 
B: 	ja alleen nee veel ver naar links ver naar links ja 
A: 	ja ja ja weten ik maar maar qua hoogte net wat naar onder 
B: 	ja net iets eronder ja 
A: 	oké en er kunnen er nog één naast ja bijna twee als je heel goed past 
B: 	ja 
B: 	ja één zullen ik zeggen 
A: 	één dus oké 
A: 	ja zelfde plek 
A: 	oké USBstick boot op het hoofd 
B: 	ja M 
A: 	vijf 
B: 	M vijf 
A: 	link onderin 
A: 	kunnen er kunnen er nog één link naast net maar net niet onderin 
B: 	ja dezelfde plek 
A: 	maar er kunnen niks veel onder 
B: 	USBstick 
A: 	twee daarvan 
B: 	ja twee 
A: 	welk 
B: 	B 
A: 	B negen 
B: 	en deze staan als je vanuit het midden omhoog en dan één stap naar links 
A: 	vergelijken met de met de ruit 
B: 	ja daarnaast staan die 
A: 	net er er ernaast op dezelfde hoogte 
B: 	zelfde hoogte ja 
A: 	rechts ernaast 
B: 	ja 
A: 	zelfde plek 
A: 	USBstick boot op het hoofd 
B: 	ja 
B: 	F 
A: 	elf 
B: 	F elf 
A: 	van het midden één stap naar rechts 
B: 	dat zijn net ook 
B: 	ja die staan bij mij in die drie zo naar beneden 
A: 	ja en dan hebben je in het midden ja ja ja 
B: 	en dan de middel 
B: 	ja 
B: 	de twee USBsticks 
A: 	ja 
B: 	H 
A: 	H zes 
B: 	en die staan als je vanuit het midden iets naar links iets naar onder 
A: 	ja ongeveer hetzelfde 
