B: 	deze hebben een heel lang uitsteeksel aan de onderkant een beetje zo'n gedraaide balk 
B: 	en dan zitten er twee kubus op en nog een balk dat aan de een kant een recht kant hebben en aan de ander kant een schuin kant 
A: 	en een driehoek eronder 
B: 	ja ook nog ja 
A: 	oké 
A: 	vier zijn dat 
B: 	deze staat weer op de rechterschermhelft 
B: 	bovenin 
B: 	en ook aan de rechterkant van die rechterschermhelft 
A: 	bij mij links dus dat zijn niet dezelfde plek denken ik 
B: 	oké 
A: 	dit zijn weer met die draaien balk ik vinden het een trofee en die en die twee kubus en dan opsteken er link nog iets klein uit en onder zitten een driehoek 
B: 	ja dat zijn A 
A: 	en die staan bij mij aan de linkerkant van het scherm 
A: 	net iets onder de horizontaal lijn maar verticaal op zich wel weer in het midden 
B: 	dat zijn ergens ander 
B: 	dit zijn wat jij een trofee noemen met dat draaien dinge eronder 
A: 	ja dat zijn tien 
B: 	en op de linkerschermhelft staan die in het midden 
B: 	en aan de onderkant 
A: 	ja 
A: 	dit zijn de trofee 
B: 	dat zijn L 
A: 	en die zitten helemaal rechts en ook flink bovenin 
B: 	ja 
B: 	dit zijn de trofee 
A: 	die staan ja vier 
B: 	en die zitten net links van het midden 
B: 	van het verticaal midden 
B: 	en ja horizontaal bijna in het midden maar omdat die zo lang zijn iets veel naar onder 
A: 	ja dus hij zitten echt net op de aan de linkerkant 
A: 	en dan net naar onder 
B: 	ja 
A: 	dit zijn de trofee 
B: 	ja dat zijn F 
A: 	en die zitten net niet in het midden net aan de rechterkant van de 
A: 	verticaal lijn en horizontaal raken die met de onderkant het midden zeggen maar 
B: 	nee 
