A: 	mooi 
A: 	ik hebben de koffiebeker met bovenop het groot deel van een bol zichtbaar 
A: 	aan de voorkant zien je een vierkant staaf rechtop staan die ook aan de onderkant komen 
B: 	nee ja 
B: 	en aan de zijkant hebben die dan twee uitsteeksel 
A: 	in ieder geval aan de linkerkant zien je een staaf die ook met een boch 
A: 	en rechts komen die wat niet helemaal op het plaat veel eruit 
B: 	ja 
A: 	maar dat zijn er maar één denken ik 
B: 	dat zijn duidelijk ja 
B: 	dat zijn letter D 
A: 	bij mij staan die in de onderste rij 
A: 	waar er drie staan 
B: 	ja 
A: 	en dan staan die vanuit het midden bekijken daar ietsje link van 
B: 	ja heel minimaal 
A: 	schuin onder jou koffiekoekje 
B: 	ja 
B: 	staan op dezelfde plek 
A: 	yes 
B: 	goed de volgen zijn weer een koffiekopje met een een pingpongballet 
B: 	net boven in het kop 
B: 	daarvoor staan een een balk 
B: 	ik hebben het idee dat we die al hebben hebben 
A: 	ja 
A: 	we gaan alles zes keer doen dus 
B: 	ja dat kunnen wel een balk en daaraan zitten twee uitsteeksel en het een uitsteeksel rechts dat zien je dus niet zo niet helemaal en die ander zien je wel helemaal 
A: 	ja 
A: 	en er zitten een bocht dan in 
B: 	ja een bocht 
A: 	ja 
A: 	dat zijn nummer vijftien 
B: 	ja bij mij staan die echt helemaal rechts onderin 
A: 	past niks naast 
B: 	nee 
B: 	nergens iets 
A: 	nee 
A: 	bij mij staan daar iets ander en bij mij staan die stuk links daarvan 
A: 	zullen bijna nog iets tussen passen 
B: 	oké 
B: 	nee dan zullen het een ander plek zijn 
A: 	ja 
A: 	het koffiekopje met ei bovenop 
A: 	en rechtop 
B: 	met die twee buisjes 
A: 	ja 
A: 	en de staaf aan de voorkant 
B: 	ja dat zijn letter L 
A: 	het druk kwadrant Linksboven 
A: 	en bij mij staan die iets rechts boven degeen die we net in het midden hebben 
B: 	dat ding wat we net hebben 
B: 	ja dat zijn bij mij ook 
A: 	oké 
B: 	koffiekopje met een ei een balk ervoor en twee stang als uitsteeksel aan de zijkant 
A: 	ei aan de bovenkant 
B: 	ja 
A: 	ja 
A: 	nummer zes 
B: 	het staan bij de middellijn die zullen hem net doorkruisen horizontaal 
B: 	en dan staan die in het rechtsonderkwadrant horen die dan nog het veel erbij 
B: 	staan die in het midden van dat kwadrant denken ik wel 
A: 	beetje eenzaam 
B: 	qua Horizontaal 
A: 	oké 
A: 	nou we kunnen discussiëren over de horizontaal middellijn 
B: 	er zullen nog iets 
A: 	die zullen er bij mij wel echt boven staan 
B: 	die zullen erdoorheen kruis toch 
A: 	nee 
A: 	nee bij mij niet maar 
B: 	misschien zijn de uitlijning van de scherm wel anders 
B: 	er zullen wel iets rechts van passen 
A: 	ja zeker 
B: 	en er zullen er nog er staan één plaat bij mij onder er zullen nog wel een plaat daaronder passen 
A: 	ja bij mij ik denken dat we 
B: 	ik denken dat het wel hetzelfde zijn 
A: 	ik denken het niet 
B: 	denken je niet 
A: 	nee bij mij zijn dat plaat 
B: 	ja 
A: 	je hebben zeggen maar helemaal rechtsboven van het scherm één 
A: 	dan schuin daaronder één 
B: 	ja 
A: 	ik denken dat je die bedoelen 
A: 	en daar staan er nog één onder 
B: 	daaronder staan die van jou 
A: 	en dat zijn waar we het nu over hebben 
B: 	nee 
A: 	en daar past er nog één 
B: 	nee dan zijn die omgewisseld denken ik 
A: 	ja 
A: 	ei bovenop 
A: 	dinge aan de zijkant staaf ervoor 
B: 	met die balk 
A: 	ja 
B: 	ja 
B: 	dat zijn letter J 
A: 	kwadrant ik weten niet eens of ik hem een kwadrant zullen durven geven 
A: 	de verticaal middellijn zullen er dwars doorheen lopen 
A: 	en hij staan 
B: 	verticaal 
A: 	ja 
A: 	dus qua hoogte in het midden 
A: 	daar staan die 
A: 	en hij staan 
B: 	nee hij staan bij mij duidelijk aan de rechterkant van van het beeldscherm 
A: 	ja dat ook 
B: 	dat wel 
A: 	we hebben het over verticaal 
A: 	daar in het midden 
A: 	dus qua hoogte 
A: 	niet qua breedte 
B: 	wauw ja hij komen binnen 
B: 	ja hij komen 
B: 	ja hij staan in het midden inderdaad verticaal 
A: 	en als je het rechtergedeelte van het scherm zullen pakken ongeveer in het midden 
B: 	ja iets rechts van het midden 
A: 	ja dus zeggen maar het het midden van de rechterhelft van je scherm 
A: 	daar daar staan die bij mij 
B: 	ja ongeveer wel 
B: 	ja 
B: 	bij mij ook 
B: 	dat koffiekopje met een ei erin aan de bovenkant die balk ervoor en die twee uitsteeksel aan de zijkant 
A: 	check 
A: 	nummer drie 
B: 	hij staan in ieder geval het veel rechts van mijn scherm 
A: 	ja 
B: 	net onder de horizontaal middellijn 
B: 	er zullen niks veel tussen passen 
A: 	ja 
B: 	ja 
A: 	ja 
