B: 	ik hebben er zitten zeggen maar net iets boven boven het midden zitten een een soort plateau en daarop staan een bak 
B: 	zo moeten ik het even zo moeten je het zien 
A: 	ja ja ja 
B: 	snapan je wat ik bedoelen 
A: 	en aan de achterkant zo'n nog zo'n 
B: 	achterkant zo'n zo'n zo'n dinge en aan en aan de voorkant zitten er twee staaf die 
A: 	ja 
A: 	ja ja ja precies 
B: 	ja 
A: 	dat zijn zestien 
B: 	en die staan als je zo het midden hebben aan de aan de rechterkant 
A: 	ja 
B: 	dus voor jou daar 
B: 	en dan als je zo het midden hebben eigenlijk precies op die lijn 
B: 	net iets eronder 
B: 	en er staan er nog één rechts van 
A: 	nee nee nee dan staan ze niet op dezelfde plek 
A: 	ik hebben hem strak rechtsboven zitten 
B: 	nou dat zijn anders 
A: 	ja 
A: 	ja dit zijn dit zijn die emmer weer met dat met dat plateau en dat bak en die twee poot eronder 
B: 	ja 
A: 	en aan de achterkant die Ronde 
B: 	ja 
B: 	dat zijn P 
A: 	ja die zitten bij mij precies op die horizontaal lijn 
B: 	ja 
A: 	en dan ja die verticaal lijn zeggen maar als je het beeld in twee in twee delen dan weer in het midden zeggen maar 
A: 	dus 
B: 	als je dit weer in twee delen ja dan hebben ik hetzelfde 
A: 	ja dat zijn 
B: 	ja dezelfde plek 
B: 	dit zijn die die met dat plateau met die met die poot en dat bak 
A: 	ja ja 
A: 	even kijken waar staan die 
B: 	ik hebben bedenken dat het een tafel zijn 
A: 	daar 
A: 	ja precies dat hebben ik ook 
B: 	ja 
A: 	veertien hebben ik daar 
A: 	veertien 
B: 	en die staan bij mij in het midden helemaal onderaan 
A: 	ja ja hebben ik ook 
A: 	ja dit zijn weer dat tafel met die met dat bak erbovenop 
B: 	ja 
B: 	dat zijn N 
A: 	en die zitten dan ja horizontaal lijn horizontaal lijn net iets Erboven 
A: 	en dan als je zeggen maar doormidden delen en dan weer doormidden dan precies op die lijn 
B: 	dan hebben we op dezelfde plek 
B: 	dit zijn de tafel met het bak 
A: 	tafel met bakje 
A: 	tien 
B: 	en die staan ja net iets boven het midden 
B: 	aan de linkerkant 
B: 	zeggen maar als je de as hebben dan net iets net iets link van de as 
B: 	en dan aan de bovenkant van de van de horizontaal lijn 
A: 	net net boven de horizontaal lijn 
B: 	ja en dan aan 
A: 	nee ik hebben hem echt helemaal bovenin staan 
B: 	nee dan 
A: 	ja dit zijn de tafel met dat bak 
B: 	d 
A: 	en die zitten horizontaal lijn net iets Erboven 
A: 	en dan aan de rechterkant 
B: 	ik hebben hem echt ik hebben echt dit van van van de bovenkant af 
A: 	nee nee nee 
B: 	nee nee 
A: 	nee bij mij zitten het zo zo'n stuk van de 
B: 	nee echt 
A: 	ja 
B: 	ander plek 
