A: 	het lijken een beetje op een rugtas met een boek zeggen maar zo half eruit maar wel een rugtas met twee arm 
B: 	die ja 
B: 	ja dat zijn K 
A: 	en hij staan links de twee van boven en de twee van link zeggen maar 
B: 	twee dus dus er vaststaan nog wel één ding boven of het zijn gewoon de 
A: 	nee nee er staan niks boven maar qua hoogte ergens ander staan nog wel wat zeggen maar 
B: 	ja ja ja kloppen ja 
B: 	dan zijn die het ja 
B: 	dan zijn die wel hetzelfde 
B: 	ja hier zijn het eigenlijk weer die rugtas niet die dat klein rugtas maar die groot met die uitsteeksel 
A: 	groot met de uitsteeksel en dat een flap daarachter toch ? die schuin achter 
B: 	ja ja 
A: 	ja negen 
B: 	en bij mij staan die ja ja vrij rechts misschien twee rij van rechts en éénnaboven 
A: 	ik denken gelijk 
A: 	hier ook rechts en éénnaboven 
A: 	ja of misschien het deze zitten er een beetje tussenin zullen misschien 
B: 	er zitten 
B: 	bij mij zitten er in ieder geval nog één ding dat er nog boven zijn 
A: 	en zullen er nog iets tussen kunnen denken je 
B: 	nee 
A: 	nee 
B: 	bij mij niet 
A: 	dan gaan ik er wel van uit oké 
A: 	dit zijn de groot rugtas 
B: 	groot rugtas dat zijn F 
A: 	en hij staan van ja iets veel naar links maar qua hoogte staan die ongeveer in het midden 
A: 	maar wel een stuk veel naar links dan echt in het midden zelf 
A: 	er past nog als je het midden hebben past er nog wel iets tussen en dan daarnaast staan die 
B: 	ja 
A: 	en qua hoogte staan die in het midden 
B: 	ik denken wel dat dat kloppen 
B: 	de groot rugtas 
A: 	groot rugtas ja 
A: 	drie 
B: 	deze ja eigenlijk waar zonet ja ook weer helemaal onderaan waar zonet die trofee staan eigenlijk 
A: 	dus er zullen heel misschien nog iets naar misschien niks veel onder kunnen maar aan de zijkant nog wel links zeggen maar 
B: 	nee 
B: 	ja er kunnen twee ding ja ja 
A: 	ja 
A: 	ik denken wel gelijk dan 
A: 	dit zijn de groot tas 
B: 	de groot tas 
A: 	groot rugtas 
B: 	nee ik hebben alleen de klein zien 
B: 	waar ? ah daar 
B: 	L 
A: 	in het midden ook qua hoogte ongeveer dan maar iets veel rechts 
A: 	misschien 
B: 	een maar naar boven of 
A: 	in het midden en dan rechts en dan qua hoogte ongeveer ja ik denken ongeveer in het midden 
B: 	oké dan zijn het niet 
B: 	dit zijn de groot boekentas 
A: 	groot boekentas waar staan je nou ? 
A: 	ja 
A: 	vijf 
B: 	en ja hij staan ja vrij in het midden en dan naar onderen 
B: 	maar niet helemaal onderaan 
A: 	nee er zullen nog wel een vol iets 
B: 	ja ja 
A: 	ja 
A: 	en dan iets veel naar links dan naar rechts 
B: 	denken het ja 
A: 	of scheel ja 
B: 	net ja ik denken het net wel ja 
A: 	ik denken het ook 
A: 	ja 
