A: 	ik hebben er één met een soort van het lijken alsof er twee paddenstoel aan de zijkant laten maar zeggen zitten 
B: 	de zoutvaat 
A: 	ja kloppen precies die 
B: 	zo zien ik hem 
B: 	en dan zo'n schuin ding een beetje achter 
A: 	ja 
B: 	dat zijn K 
A: 	en bij mij staan die links boven in de hoek 
A: 	en er zullen er nog één boven toepassen één link naast en er kunnen er nog één laten maar zeggen in de hoek van het scherm 
B: 	ja 
B: 	ja ik hebben dezelfde plek staan 
A: 	oké 
B: 	ik hebben dat ding met de zoutvaat of paddenstoel aan de zijkant 
A: 	ja ik moeten even zoeken 
A: 	ja 
A: 	ja zijn bij mij nummer negen 
B: 	oké 
B: 	en hij staan in de rechterhelft 
B: 	en boven de middellijn 
B: 	en er past er nog één rechts naast 
A: 	ja 
B: 	en hij staan ja 
A: 	hoeveel passen nog boven 
B: 	ja anderhalf 
A: 	ja bij mij ook 
B: 	oké 
A: 	ik denken dat die wel als je laten maar zeggen het vierkant rechtsboven hebben dat die dan een beetje in het midden staan 
A: 	ongeveer 
B: 	het vierkant 
A: 	stellen dat je laten maar zeggen het beeld indeellen in vier stuk als je dan een rechthoek als je dan het vierkant rechtsboven nemen dat die dan ja ongeveer een beetje in het midden staat alleen dan net iets 
B: 	ja 
A: 	eronder en net iets naar links 
B: 	ja hij staan net een beetje daaronder 
B: 	ja 
A: 	oké 
B: 	naar links van het hoek 
B: 	past er bij jou veel dan één rechts van 
A: 	nee wel naar rechts 
B: 	ja oké mooi 
A: 	ja je hebben gelijk 
A: 	ik hebben diegene met die zoutvaat weer 
B: 	die dat zijn F 
A: 	en bij mij staan die of op de middellijn of er net iets onder 
A: 	aan de linkerkant in het midden laten maar zeggen 
B: 	nee daar staan die bij mij niet 
A: 	oké 
B: 	de twee zoutvaat 
A: 	ja die staan bij mij ik kunnen ze niet vinden 
A: 	ja nummer drie 
B: 	en hij staan onderaan 
B: 	in het midden van de linkerhelft 
A: 	ja hoeveel passen nog aan de linkerkant 
B: 	twee 
A: 	twee ruim 
A: 	of twee 
B: 	nee niet twee ruim 
A: 	ja bij mij zullen er nog wel zullen er één passen denken ik 
B: 	maar houden jij nou die ruimte over die je normaal spreken altijd tussen de ding hebben of niet 
A: 	ja 
B: 	oké nee dat doen ik nooit 
B: 	ik doen altijd echt vanaf de zijkant van het scherm 
A: 	even kijken vanaf de zo bedoelen je ja 
B: 	hij staan misschien als je het linkerdeel weer in twee splitsen dan staan hij daar iets rechts van 
A: 	even kijken als je het linkerdeel in twee 
B: 	denken ik 
A: 	nee dan staan die bij mij niet op de goed plek denken ik 
A: 	ik hebben de twee zoutvaat 
B: 	even kijken 
B: 	dat zijn L 
A: 	bij mij staan die ik denken wel op de middellijn als in 
B: 	nee staan die bij mij niet 
A: 	nee maar ik bedoelen laten maar zeggen op de helft zo op de middellijn 
A: 	en dan staan die wel net iets rechts daarvan 
B: 	staan die aan de rechterkant van het scherm 
A: 	ja 
A: 	net wel 
B: 	nee bij mij staan die echt duidelijk aan de rechterkant van het scherm zeggen maar 
A: 	oké 
B: 	dus niet in de buurt van de middellijn 
B: 	ik hebben die twee met de twee zoutvaat 
A: 	nummer vijf 
B: 	en hij staan in het midden en dan onder het midden er passen er nog één onder 
A: 	hoe bedoelen je wachten hoe bedoelen je in het midden eerst 
B: 	hij staan in het midden van rechts en link 
A: 	gewoon in het midden van het scherm ja 
A: 	ja 
B: 	en dan staan die ja midden onder zeggen maar 
B: 	er past er één onder 
A: 	ja bij mij ook 
