B: 	oké 
B: 	ik hebben de rood dinge 
B: 	ja 
B: 	er zijn Linksboven nog een stuk van een half cirkel over 
B: 	weten je dan welk ik bedoelen 
A: 	hebben die aan de linkerkant ook een soort staaf ound 
B: 	ja kloppen 
A: 	en rechtsboven een een fliepje om het maar even zo te noemen 
B: 	ja 
B: 	ja kloppen 
A: 	ja dan weten ik welk je bedoelen 
A: 	nou moeten ik het nummer zeggen toch 
B: 	ja 
A: 	dat zijn dertien 
B: 	dan of die op dezelfde plaats zijn 
B: 	bij mij zijn die vanuit onder ongeveer in het midden en dan 
B: 	iets rechts boven een ander 
A: 	ja hij zitten ook ongeveer in het midden hij zitten bij mij zo'n stuk boven de de onderkant zeggen maar 
B: 	en zitten die dan zeggen maar tussen twee ding in zeggen maar dat hij hier zitten en dan die twee zo ongeveer of ja spiegelbeeld zo 
A: 	ja dat wel 
B: 	dan zitten die denken ik op dezelfde plek 
A: 	dan denken ik ook dat die op dezelfde plek zitten 
A: 	oké 
A: 	deze hebben een soort voetstuk waar die op staat er zitten een uitsteeksel aan de onderkant 
A: 	en een half cirkel die je zo aan de achterkant zien 
A: 	en dan nog één zo'n dinge bovenin 
B: 	en nog een dinget link 
A: 	en nog een dinget link ja 
B: 	oké dat zijn bij mij O 
A: 	en hij zitten bij mij rechts van het midden 
A: 	en zo'n stuk van de bovenkant 
B: 	ja dat zijn denken ik wel dezelfde en er zitten niks onder en wel één boven 
A: 	nee er zitten één schuin onder 
A: 	maar die zitten best wel eronder 
B: 	aan de rechterkant 
A: 	aan de rechterkant ja 
B: 	ja dan zijn het dezelfde 
B: 	ja deze hebben weer zo'n half cirkel cirkel wat je nog zien en het staan op een soort voetstuk en link zo'n uitsteeksel en 
A: 	en boven ook zo'n uitsteeksel 
B: 	ja 
A: 	oké dat zijn bij mij acht 
B: 	het zijn bij mij veruit de veel rechtsboven 
A: 	bij mij ook 
A: 	dit zijn weer die met dat dinge aan de onderkant 
A: 	en dan die half schijf aan de achterkant die je kunnen zien 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij C 
A: 	en je hebben helemaal bovenaan hebben je er aan de rechterkant drie op een rij 
A: 	daar zijn het de middel van 
B: 	bij mij zijn het de veel links 
B: 	die met dat plateau eronder en die half cirkel 
A: 	met het plateau 
B: 	of ja dat voetstuk 
A: 	wachten 
A: 	voetstuk 
B: 	zeggen maar die half cirkel 
A: 	ja ja 
A: 	dat dinge eronder en dat ding ja oké 
B: 	ja 
A: 	dat zijn zeven 
B: 	je hebben één helemaal links link onderaan 
B: 	daar de rechter van 
A: 	nee bij mij zijn die gewoon linksonder 
A: 	dit zijn die met het stuk aan de onderkant en dan de half cirkel aan de achterkant 
B: 	ja dat zijn C 
A: 	en deze zijn het veel rechtsboven 
B: 	nee 
