A: 	ja deze hebben zeggen maar die emmer en dan hebben je bovenop zo'n rond staan en dan aan de zijkant zitten weer precies hetzelfde figuur 
A: 	en aan de rechterkant zo zitten ja zo'n vierkant telescoop zeggen maar dus zo'n vierkant wat de heel tijd klein worden 
B: 	ja 
B: 	even kijken aan de bovenkant zitten een rond 
A: 	ja wat zijn dat ? zo'n langwerpig ja soort handvat of zo achtig 
A: 	en aan de zijkant zitten die zitten weer precies dezelfde vorm zeggen maar 
B: 	ik weten welk even kijken waar die staan 
A: 	en aan de achterkant zitten nog zo'n buis 
A: 	of iets 
B: 	ja en dan ja ja ja ja ik hebben hem 
B: 	dat zijn E 
A: 	oké 
A: 	en die zitten dan bij mij ja zeggen maar midden 
A: 	op die horizontaal lijn helemaal rechts 
A: 	veel rechts 
B: 	bij mij staan er dan nog één rechts van 
A: 	ja 
A: 	nee nee nee nee 
B: 	dus dan staan die op een ander plek 
A: 	ja 
B: 	rood 
B: 	dit zijn die met met met die kegel bovenop en die kegel aan de zijkant 
B: 	en aan de voorkant dat rechts dat blok dat steeds klein worden 
A: 	ja precies aan de achterkant nog die buis 
B: 	en ja exact 
A: 	ja dat zijn elf 
B: 	en als je dan dat kruis weer maken 
B: 	zitten die in de linker linksboven in de hoek 
A: 	Linksboven 
B: 	ja 
A: 	ja ja 
B: 	maar dan wel in het echt wel in het midden van het van het veld 
A: 	ja dus als je een kruis maken 
B: 	zitten daar 
A: 	dan zitten die Linksboven 
B: 	ja precies 
A: 	ja ja ja dat hebben ik ook 
A: 	ja dit zijn weer die met die rond vorm aan de bovenkant en aan de zijkant 
A: 	en dan die vierkant die klein worden ook aan de aan de voorkant zeggen 
A: 	aan de achterkant die buis 
B: 	ja ik kunnen ja ik zien hem ja 
B: 	J 
A: 	hoe zullen we die noemen 
A: 	ik vinden het nog 
B: 	weten ik niet 
A: 	ik vinden 
B: 	vinden ik moeilijk 
A: 	ja 
B: 	beetje bowlingkegel lijken het wel 
A: 	ja ik vinden het een beetje zo'n telescoopachtig ding 
B: 	daar hebben het ook wel iets van weg 
A: 	telescoop doen 
B: 	waar hebben jij hem staan 
A: 	ja ik hebben hem in het midden 
A: 	in het midden en dan rechts 
B: 	ja 
B: 	ja 
A: 	even kijken in het midden 
A: 	ja op de horziontaal lijn midden even kijken en dan ja dan weer in het midden daarvan zeggen 
A: 	aan de rechterkant 
B: 	nee 
B: 	dan een ander plek 
B: 	want ik hebben hem zo ik hebben een verticaal lijn in het midden ongeveer 
B: 	en dan net iets daar rechts van maar dan wel aan de aan de bovenkant ergens 
A: 	nee ja nee ik denken het niet 
B: 	nee dan staan die anders 
B: 	dit zijn die die twee kegel en dat vierkant dat klein worden 
A: 	wachten even zoeken 
B: 	en die Buis achterop 
A: 	ja ja ja ja 
A: 	ik weten welk je bedoelen 
A: 	ik zijn hem even aan het zoeken ik kunnen hem niet 
A: 	met dat vierkant ja precies 
A: 	negen 
B: 	en die hebben ik als veel rechtsonder staan 
B: 	maar hij staan niet helemaal in de hoek want er staan nog best wel veel ruimte omheen 
A: 	nee 
A: 	nee nee nee hebben ik niet 
A: 	nee 
A: 	ja dit zijn die telescoop zeggen maar 
A: 	dit zijn die 
B: 	ja dat dat vierkant blok hè ? dat vierkant 
A: 	dat vierkant dat steeds klein worden en die twee zelfde figuur 
B: 	en en die en die 
B: 	ja en dan één daar één daar 
A: 	ja ja ja ja 
B: 	oké B 
A: 	B 
A: 	ja en die zitten dan kwadrant rechtsonder ja ik denken ongeveer in het midden daarvan 
A: 	dat zullen 
B: 	nee 
A: 	dat zullen 
B: 	ik hebben hem ik hebben hem echt bijna helemaal tegen de rand aan 
A: 	nee dat zijn bij mij echt zo'n stuk 
B: 	nee bij mij zijn het dit 
A: 	nee nee nee 
B: 	ander plek 
B: 	dit zijn dat dat gek ding met die dat vierkant en de twee kegel 
B: 	het vierkant dat klein worden 
A: 	ah zo 
B: 	dat blok 
A: 	ja die telescoop achtig ding 
B: 	ja telescoop dat zijn het ja 
A: 	ja weten ik veel ja 
A: 	dat zijn vier 
B: 	staan bij mij Linksboven 
A: 	Linksboven ja zo'n stuk van bij de kant ongeveer 
B: 	oehlen ja ietsje weinig denken ik 
A: 	ja 
A: 	ja 
B: 	ja als ik het midden van het plaat pak en tegen de rand aan zitten dan zijn het dit 
A: 	ja dat zijn wel hetzelfde 
B: 	dat geloven ik wel 
B: 	ja als 
A: 	dat ja dat zijn wel hetzelfde 
