B: 	ok dit zijn met een groot aanhangsel onderaan zo noemen ik het telkens 
B: 	en dan hebben je bovenaan nog een blok en nog een blok en Linksboven zitten een ja wat zijn het voor vorm 
A: 	ja 
A: 	ja een beetje lijken alsof zo'n man die zo zijn arm omhoog hebben 
B: 	schuin 
B: 	ja 
A: 	ja met die draaien onderkant 
B: 	ja 
A: 	ja dat zijn nummer vier bij mij 
B: 	en hij zitten helemaal rechtsboven in het groot vak en binnen dat vak zitten het weer ja 
B: 	hij nemen best wel veel ruimte in beslag 
A: 	ja 
A: 	zo'n beetje half zeggen maar dan in het als hij in het 
A: 	groot vlak rechtsboven zitten dan zitten hij in het binnen dat vak een beetje linksonder maar dan wel naar het midden toe 
B: 	ja bij mij zitten hij dan veel rechts boven en dan naar het midden toe 
A: 	hij zitten nee die zijn eh 
A: 	ja hij zitten niet rechts boven hij zullen niet zeggen maar in de bovenste rij zitten van plaat bij mij 
B: 	ja bij mij wel 
A: 	okan ja bij mij bij mij zullen er nog ruimte zijn om er nog een plaat boven te opplakken zeggen maar 
B: 	ok nee bij mij niet 
A: 	ok dan druk ik op rood 
B: 	ja 
A: 	ja dit zijn met die draaien onderkant 
A: 	met dat uitsteeksel aan de onderkant en die dat blok rechtsboven blok in het midden en zo'n nog zo'n uitsteeksel 
B: 	ja 
B: 	dat zijn voor mij A 
A: 	ja 
A: 	en die zitten in het linkeronder vlak eigenlijk in het midden tussen Linksboven en rechtsboven 
B: 	linksonder zeggen je 
A: 	ja groot 
B: 	bij mij zitten hij Linksboven 
A: 	ok nou dan zitten hij ergens ander 
B: 	zijn rood 
B: 	dit zijn met die dat aanhangsel onderaan en met die twee blok bovenop 
A: 	ja ok dat zijn nummer tien 
B: 	en hij liggen in het linksondervak en daarbinnen zijn het 
B: 	sowieso onderaan en dan iets rechts van het midden 
A: 	ja ja daar liggen hij bij mij ook wel 
A: 	dit zijn met die draaien onderkant en zo'n blok rechts blok in het midden en zo'n zwaaien armp 
B: 	ja dat zijn voor mij L 
A: 	en die liggen rechtsboven en dan 
A: 	rechtsonder in dat vak maar hij zijn redelijk lang dus hij doorgaan wel door de horizontaal middenlijn van de de klein vak 
A: 	denken ik beetje in ja beetje in het midden 
A: 	dus hij zitten wel duidelijk rechts er past er zeggen maar misscien nog net één rechts van hem en misschien nog net één boven 
A: 	als je klein figuur er in zullen plakken 
B: 	ja 
B: 	hebben jij ook onder jou plaat een plaat met die bal op zijn hoofd 
A: 	nee ik hebben links er onder hebben ik die met die neus met zo'n ding er doorheen 
B: 	o ik denken als dat nou ook hetzelfde zijn maar dat werken niet 
A: 	nee maar in principe staan er wel op de ongeveer dezelfde plek een plaat 
B: 	ja dat zijn wel zo 
A: 	dus wat dat betreffen denken ik wel dat dat 
B: 	dan zijn het dezelfde plek denken ik 
A: 	ja 
B: 	dit zijn met die dat aanhangsel onderaan en die twee blok bovenop 
A: 	o jajaja ja met dat draaien onderkant ok dat zijn nummer vier 
B: 	ja 
B: 	en hij liggen linksonder en dan rechtsboven 
A: 	ja ja 
A: 	dit zijn die met dat draaien onderkan en die twee blok bovenop 
B: 	ja dat zijn voor mij F 
A: 	en hij liggen eigenlijk min of veel in het midden net iets rechtsboven van het middenpunt 
A: 	of in ieder geval rechts van het middelpunt rechtsboven dus 
B: 	van het groot middelpunt 
A: 	ja ja 
B: 	nou bij mij liggen hij daar links van 
A: 	ok 
