B: 	nou dit lijken wel een beetje zeggen maar een poppe wat zo met de armp omhoog staan op een soort draaien gedraaide balk 
A: 	ja 
B: 	het zijn een soort beker 
A: 	een soort beker ja 
B: 	ja 
A: 	vier 
B: 	hij staan helemaal rechtsboven in de hoek 
A: 	helemaal rechtsboven in de hoek 
B: 	ja 
A: 	dan zijn het nee 
A: 	hij staan bij mij een beetje naar boven en naar rechts 
B: 	nee 
A: 	nee 
A: 	nee oké 
B: 	nee dat kloppen niet 
A: 	geel dus 
A: 	dit zijn die beker 
A: 	die Cup 
B: 	Cup Cup 
A: 	met die spiraal 
B: 	ja en 
B: 	met een spiraal 
B: 	ja ja ja 
A: 	ja die ja 
B: 	dat zijn A 
A: 	sorry hij staan vrij centraal maar dan naar links 
B: 	nee deze staat niet niet centraal 
A: 	midden link 
A: 	oké 
B: 	dus dat zijn geel 
B: 	toch 
A: 	hij staan hij staan wel centraal qua hoogte bedoelen ik 
B: 	hij kloppen 
B: 	ja maar bij mij staan die in het midden 
B: 	en dan helemaal naar de linkerkant 
A: 	nee dan helemaal naar de linkerkant 
B: 	ja de veel links 
A: 	nee nee nee nee 
B: 	dan zijn het geel 
A: 	ja 
B: 	dit zijn zeggen maar de winnaarsbeker 
A: 	ja 
B: 	met dat draaiden 
A: 	tien 
B: 	en deze staan ja als je het linkerondervlak nemen best wel in het midden 
A: 	nee hij staan bij mij helemaal hij staan bij mij helemaal 
B: 	in het midden 
B: 	ja helemaal onder maar in het een beetje in het midden van dat vak 
A: 	helemaal onderin 
B: 	helemaal onderin wel ja 
A: 	en linksmidden ja zijn hetzelfde 
A: 	rood 
A: 	de beker 
B: 	de beker met de draaien 
A: 	ja 
B: 	dat zijn L 
A: 	en hij staan bijna helemaal rechts bovenin 
B: 	rechts bovenin of hij zijn het veel rechtsboveninste figuur 
A: 	ja 
A: 	ja 
B: 	dat zijn kloppen dus dat zijn rood 
A: 	rood 
B: 	dit zijn de beker 
B: 	op die draaien ding 
A: 	ja 
A: 	vier 
B: 	en deze staan in het midden 
B: 	iets naar links en iets naar onder 
A: 	ja 
A: 	zelfde plek 
A: 	de beker 
B: 	dat zijn F 
A: 	en hij staan heel erg centraal heel klein beetje naar rechtsboven 
A: 	echt een heel klein beetje 
B: 	nee bij mij staan die echt in het midden en dan wel één stap omhoog en dan één stap naar links 
A: 	naar links 
B: 	naar zeggen jij rechts 
A: 	ja 
B: 	nee hij staan bij mij naar links dus dat kloppen dan sowieso al niet 
A: 	nee dan nee 
A: 	geel 
B: 	geel 
A: 	ja 
