B: 	ja deze hebben ook zo'n ding eromheen 
B: 	aan de bovenkant met twee poot 
A: 	ja 
B: 	en 
A: 	en zo'n blok erbovenop 
B: 	ja 
A: 	ja dat zijn bij mij nummer zestien 
B: 	hij zitten aan de rechterkant in het midden van het rechterdeel en dan iets onder de middellijn 
A: 	nee staan die bij mij niet 
B: 	oké 
A: 	ik hebben die een weer met dat een soort van tafel laten maar zeggen aan de bovenkant dat het zo er zo doorheen doorgaan met twee van die poo er onderaan 
B: 	ja die 
A: 	met dat ding erbovenop 
B: 	dat zijn 
B: 	ja dat zijn P 
A: 	bij mij staan die aan de rechterkant van het scherm 
B: 	ja 
A: 	ik denken net iets boven de middellijn ja net iets boven de middellijn 
A: 	en hij staat wel redelijk in het midden van de rechterkant 
A: 	er toepassen nog twee boven en er past er sowieso nog één naast 
B: 	hoe zeker zijn je dat die net iets boven de middellijn zitten ? ik zullen hem er echt op plaats 
A: 	ja zullen ook wel kunnen 
B: 	even kijken 
A: 	even kijken als ik het scherm kijken 
A: 	ja laten dat de onderkant van de ja nee hij lopen erdoorheen of hij zitten er net iets boven 
B: 	ja ik weten niet 
B: 	ik denken dat het wel dezelfde plek zijn ja 
B: 	ik hebben die een met de tafel eromheen 
B: 	en dat ding erop 
A: 	en die poot ja 
B: 	ja 
A: 	dat zijn bij mij nummer veertien 
B: 	en hij staan ja onder helemaal onderaan het scherm en dan misschien net iets link van de middellijn 
A: 	ja hebben ik ook 
A: 	ik hebben diegene met die tafel met die poot laten maar zeggen 
B: 	oké 
B: 	dat zijn N 
A: 	bij mij staan die horizontaal laten maar zeggen net boven de middellijn 
A: 	en dan wel redelijk in het midden van de linkerkant van het scherm 
B: 	ja hebben ik ook 
B: 	ik hebben die een met de tafel eromheen 
B: 	en die twee poot 
A: 	ja 
A: 	nummer tien 
B: 	en hij staan net iets link van de middellijn 
B: 	en net boven de middellijn 
A: 	nee staan die bij mij niet 
A: 	ik hebben die met dat tafel met die twee poot 
B: 	dat zijn D 
A: 	bij mij staan die helemaal rechts van het scherm 
B: 	nee bij mij passen er nog wel bijna één naast 
A: 	nee wachten er zullen ja er past er nog sowieso één boven 
B: 	nee 
