B: 	nou dit zijn dan weer gewoon zo'n soort emmercupding en het lijken alsof daarvoor een schap zijn ophangen waar de poo nog onder staan en daarop staan een bak 
A: 	ja ja ja 
A: 	inderdaad ja zestien 
B: 	en dit plaat staan een beetje in het midden 
B: 	of ja in het midden 
B: 	en dan twee stap naar rechts 
A: 	nee bij mij staan die bijna helemaal rechtsboven 
B: 	nee 
A: 	dus dan zijn het geel 
B: 	ja 
A: 	overgaan bijna op rood duwen 
A: 	dit zijn dat schap waar jij het over hebben zo'n zo'n cupje met een schap en daar staan dan nog iets op 
B: 	met een een bak erop 
A: 	ja 
B: 	dat zijn P 
A: 	ja 
A: 	en hij staan midden rechts 
A: 	bijna helemaal rechts 
B: 	in het midden 
B: 	in het midden en dan rechts 
A: 	ja 
B: 	past er nog een figuurt 
A: 	best wel nog één figuurtje daar rechts van denken ik ja 
B: 	ja en dan zijn het denken ik wel dezelfde 
B: 	dan zijn het rood toch 
B: 	als het hetzelfde zijn 
A: 	ja 
B: 	dit zijn het emmer met het schap ervoor 
A: 	ja 
A: 	even kijken waar staan die 
A: 	veertien 
B: 	en staan eigenlijk in het midden onder 
A: 	helemaal onder 
B: 	helemaal op de onderste rij staan die 
A: 	ja dan zijn het dezelfde plek 
A: 	het schap met het cupje erop 
B: 	ja dat zijn N 
A: 	en hij staan links qua of ja links en dan in het midden 
A: 	heel klein beetje omhoog 
B: 	ja dat zijn hetzelfde dus rood 
A: 	ja 
B: 	dit zijn het schap 
B: 	aan de voorkant een schap met een bak erop 
A: 	ja tien 
B: 	en deze staan in het midden 
B: 	misschien een tik naar links 
B: 	en iets omhoog 
A: 	iets omhoog 
A: 	hij staan bij mij bijna helemaal omhoog 
B: 	nee nee dat zijn niet hetzelfde 
A: 	geel 
A: 	het schap 
B: 	het schap 
B: 	dat zijn D 
A: 	en het staan bijna helemaal naar rechts 
A: 	tik omhoog zijn niet het veel rechter figuurtje 
B: 	staan die zijn het wel het veel hoog figuurt 
A: 	nee ook niet 
B: 	dan kloppen het niet dan zijn het geel 
A: 	geel 
