A: 	ik hebben er nu één met een soort punt Erboven 
A: 	zo'n soort driehoekig punt en aan de voorkant ja niet helemaal een blok maar lijken wel een beetje op een blok aan de Rechtervoorkant 
B: 	ja 
A: 	of ja 
B: 	dan links hebben je dan nog een 
A: 	zo'n vaag uitsteeksel 
B: 	ja en dan onderin nog een rond zeggen maar 
A: 	ja 
B: 	ja dat zijn bij mij dan J 
A: 	bij mij staan die rechts hij staan helemaal onderin 
B: 	ja 
A: 	en ongeveer op drie vier van het midden 
A: 	of ja van drie vier aan de rechterkant dan zeggen maar 
B: 	ja bij mij staan die ook helemaal rechts onderin en er zitten ook eigenlijk niet echt plaat in de buurt zeggen maar hij staan daar een beetje 
A: 	ja bij mij staan die een beetje los hij zitten daar wel helemaal onderin en dan ongeveer op drie vier als van het scherm zeggen maar 
B: 	ja 
B: 	ja dan staan die denken ik wel op dezelfde plek 
B: 	ik hebben nu die een met die ja piramide zeggen maar aan de bovenkant en dan ja ook weer een kubus die aan de voorkant uitsteken en 
B: 	ja ook weer zo zeggen maar een naaldding aan de 
A: 	dat dat soort driehoekig ding Erboven en dan zo'n kubus ervoor en dan zo'n uitsteeksel hier en zo'n rond 
B: 	ja 
B: 	en nog zo'n rond aan de 
A: 	ja dat zijn bij mij nummer zes 
B: 	bij mij staan die zeggen maar je hebben dat plaat dan helemaal rechts onderin en dan 
A: 	onderin 
B: 	staan die daar dus schuin link schuin Erboven 
A: 	ja gewoon dat er net echt net één plaat rechts eronder past zeggen maar schuin 
B: 	ja 
A: 	ja daar staan die bij mij ook 
B: 	oké 
A: 	staan die op dezelfde plek 
A: 	ik hebben nu die met die driehoek erboven zeggen maar en dat raar blok en dat ervoor en dat rond eronder 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	bij mij liggen die zeggen maar net rechts van het midden ongeveer 
A: 	en even kijken hij liggen ja hij liggen zeggen maar onder de middellijn zeggen maar net eronder 
A: 	ja zeggen maar ja ik denken op op twee drie of zo van het scherm 
B: 	aan de onderkant en dan 
A: 	en net aan de onderkant 
B: 	en dan rechts of 
A: 	net rechts van het midden 
B: 	net rechts van het midden 
A: 	ja zeggen maar de lijn de middellijn zullen je ernaast kunnen trekken en dan liggen hij er net rechts van 
B: 	ja bij mij 
B: 	ja bij mij staan die echt zijn het het veel rechts onderin plaat zeggen maar die je hebben dus 
A: 	nee dan zullen het niet dezelfde zijn 
B: 	nee 
B: 	nou hebben we weer die een met die met die driehoek bovenop zeggen maar en dat rond dan aan de onderkant en die kubus die uitsteken 
A: 	ja 
A: 	nummer tien 
B: 	en bij mij zijn het plaat veel link onderin 
A: 	bij mij staan die wel onder maar niet naar links zeggen maar 
A: 	er staan nog een plaat naast bij mij en er zullen er nog één naast kunnen 
B: 	nee het zijn bij mij het veel links plaat onderin 
A: 	oké 
B: 	kunnen nog wel één plaat naast maar twee zullen niet veel passen dus 
A: 	nee 
A: 	oké dan zijn die omgeruild zijn die niet op dezelfde plek 
A: 	ik hebben die een bij mij staan die helemaal of Linksboven bedoelen ik 
A: 	met dat driehoekig ding 
A: 	erboven zo'n rond aan kant en zo'n blok ervoor 
B: 	ja 
B: 	bij mij zijn dat G 
B: 	en dan helemaal links bovenin zeggen je ? want daar staan die bij mij ook dus 
A: 	ja 
A: 	dat zijn dezelfde plek 
B: 	weer met die ja driehoek erboven zeggen maar en dan die kubus die uitsteken en dat rond zeggen maar links onderin 
A: 	die driehoek 
B: 	met die driehoek aan de bovenkant 
A: 	ja 
A: 	nummer tien 
B: 	en bij mij zijn die qua hoogte net onder de middellijn zeggen maar 
B: 	en 
A: 	er staan één plaat naast 
B: 	ja er kunnen aan de rechterkant staan inderdaad nog een plaat ernaast 
A: 	ja dan staan die op dezelfde plek 
