B: 	ik hebben het rood vierkant 
B: 	bij mij hebben die een soort traanvormig afronden uitsteeksel op het bovenste gedeelte 
B: 	daarachter zijn een cirkel die half Verscholen zijn 
B: 	lijken op een soort voe te staan 
B: 	en dan hebben die een cilindervormig uitsteeksel 
A: 	ja 
A: 	dat zijn hier nummer dertien 
B: 	ja 
B: 	ik hebben weer het rood vierkant 
B: 	in principe het geen wat ik net hebben beschrijven gaan gelijk op 
B: 	het zijn weer hetzelfde object 
B: 	cirkel half Verscholen achter het kelkvormig deel met een voe uitsteeksel 
B: 	en aan de bovenkant dat gek traanvormig dinge 
A: 	dus het zijn eigenlijk gewoon dezelfde 
B: 	ja precies wat ik zeggen 
A: 	dit zijn de koffiemok die rechtsboven een lepeltje hebben dat uitsteken 
A: 	hij staan op een klein balk 
B: 	ja 
A: 	en 
B: 	dat zijn bij mij denken ik O hij hebben een een een rond erachter toch 
A: 	ja 
B: 	ja O 
A: 	ja en die staan best wel gemeen 
A: 	als je het scherm in vier deel indeellen dan zitten die eigenlijk net boven de kruising in het midden 
B: 	boven de kruising 
A: 	zeggen maar 
A: 	ja boven dat punt waar die twee lijn snijden 
B: 	ja 
B: 	en bij mij zitten die dan in principe eronder rechtsonder dus dan 
A: 	ongeveer 
A: 	oké 
A: 	oké 
B: 	ik hebben het de basisvorm daarachter zitten een soort cirkel 
B: 	op een voe 
B: 	met een cilinder of hoekigvormig cilinder uitstekend en dan een soort van nog dat dat ja dat lepel wat je 
B: 	dus de hij staan op een voe 
A: 	ja 
B: 	en 
A: 	en hij hebben links één handvat 
B: 	ja en dan 
A: 	en rechtsboven een lepeltje 
B: 	ja 
A: 	ja nummer acht 
B: 	en bij mij staan die dan rechtsboven 
B: 	vrijwel dicht tegen de rand aan 
B: 	van het scherm denken dan 
A: 	zullen er nog iets naast passen bij jou 
B: 	ik denken het niet nee 
A: 	oké bij mij wel dan staan die hier ander 
A: 	dit zijn de mok die op een plateautje staan 
A: 	die waar rechtsboven een lepel uit opsteken en aan de linkerkant een handvat zitten 
A: 	en aan de achterkant een rond 
B: 	ja C 
A: 	oké 
A: 	die staan in het vlak rechtsboven en dan eigenlijk op de twee plek naast de middellijn dus er kunnen nog één naast 
B: 	dus als je een kruis tekenen 
A: 	of aan de verticaal 
B: 	ja als je een kruis tekenen dan zitten die tegen de verticaal lijn aan 
B: 	aan de bovenkant van de horizontaal lijn denken en er kunnen nog kunnen nog een vorm aan links 
A: 	ja 
A: 	link kunnen er nog één naast en rechts ook zeker wel 
B: 	en als je één link plaatsen staan die dan over zijn zeggen maar dat object wat je ernaast plaatsen dan weer aan de linkerkant van de horizontaal lijn 
A: 	wel twee 
A: 	nee die staan er nog aan de rechterkant daarvan 
B: 	dan zijn dat anders 
A: 	top 
B: 	ik hebben degeen op een voe 
B: 	cirkelvorm erachter en dan een soort gek cilinder 
A: 	ja 
A: 	een lepeltje rechtsboven 
B: 	ja 
A: 	ja 
A: 	nummer zeven zijn dat 
B: 	bij mij zitten die dan linksonder in het midden 
A: 	ja er zitten 
B: 	dus kwart linksonder 
A: 	ja 
B: 	yes 
A: 	die zitten hier ander 
A: 	dit zijn de mok die op een klein blok staan 
A: 	waar rechtsboven een koffielepel uit komen 
A: 	op links een een een handvat en daarachter een cirkel 
B: 	ja dat zijn C 
A: 	en die staan in het vak rechtsboven en dan in het midden daarvan dus tegen de bovenkant van het scherm aan 
B: 	tegen de er kunnen dus ook niks boven veel 
A: 	nee 
B: 	nee dan zitten die ergens ander 
