B: 	we kijken naar een plaat met bovenop zeggen maar het centraal figuur zeggen maar dat ding zitten een half half schijf 
B: 	en er zitten ook nog een soort ja uiteinde van een lepel op 
A: 	uiteinde van een lepel 
B: 	ook hebben dit plaat zeggen maar aan de linkerkant nog één ja een soort staaf aan de zijkant 
A: 	zijn hebben die zo'n soort dienblad of zo'n soort horizontaal schijf eraan zitten 
B: 	nee hij hebben geen horizontaal schijf eraan zitten 
A: 	daarbovenop zitten 
B: 	de helft van één van een cirkel van een muntje 
B: 	echt heel plat 
B: 	en daar rechts naast nog een een soort staaf 
A: 	ja 
A: 	ja ja ja ja ik 
B: 	wat een ja wat me aan een lepel doen denken 
A: 	nummer dertien denken ik 
B: 	bij mij staan dit plaat als we kijken zeggen maar in zeggen maar in dit vlak staan die in het midden 
B: 	en dan niet de onderste maar de op éénnalaagste 
A: 	ja bij mij staan die ook precies in het midden 
A: 	en hij staat ongeveer op vier vijf vanaf onderen zien dus ongeveer hier 
B: 	dus je zullen er nog één plaat in principe onder kunnen bijzetten 
A: 	ja je zullen er nog één onder kunnen plakken 
B: 	ja dan staan die op dezelfde plek 
A: 	nu hebben ik een soort Pinokkio hij hebben een lang cilinder link 
A: 	een rond erachter en zo'n lepel erbovenop ook nog 
A: 	en daaronder zitten een soort breed nek 
B: 	ja die waar we mee beginnen zijn 
A: 	ja zijn we mee beginnen 
B: 	ja 
B: 	O 
A: 	zitten bij mij zo'n beetje in het midden iets naar boven en heel iets naar rechts 
B: 	bij mij zitten die net iets onder het midden 
B: 	en wel iets naar rechts 
B: 	ik hebben ze zijn weer wisselen 
A: 	ja 
B: 	waar we de allereer keer mee beginnen dus met die half cirkel 
B: 	erop 
B: 	die schijf 
B: 	dan de zo'n staaf daarlangs 
B: 	aan de linkerkant een soort uitstekend buisje en hij staan op een soort nek 
B: 	volgens mij noemen jij hem net Pinokkio 
A: 	ja ja ja 
A: 	ja dat zijn nummer acht 
B: 	bij mij staan die vrij bovenin er zullen zo'n half figuur tussen kunnen een beetje dood ruimte en er kunnen er nog één naast 
A: 	hebben ik ook 
A: 	ik hebben die met die één die we deden een soort van Pinokkio 
B: 	ja ja dat zijn bij mij C 
A: 	en die staan kunnen nog één boven en nog twee of drie rechts 
B: 	ja 
B: 	zijn ik wel met je eens 
B: 	ik hebben die allereer Pinokkio 
A: 	nummer zeven 
B: 	en die staan bij mij één stap onder het midden 
B: 	en nee 
A: 	nee bij mij staan die helemaal links onderin 
B: 	oké 
B: 	ze zijn goed husselen nu denken ik 
A: 	ja 
A: 	ik hebben Pinokkio 
B: 	dat zijn met dit half rond erop toch ? met die 
A: 	ja een half rond erop ja 
B: 	C 
A: 	en die staan bijna helemaal boven en een goed twee stap naar rechts drie stap naar rechts misschien wel 
B: 	nee bij mij passen er nog een figuur boven dat kunnen niet of wel 
A: 	nee dat kunnen niet 
B: 	nee 
