A: 	we moeten hem gaan raad 
B: 	ja 
A: 	ja 
B: 	ik hebben een rood vierkant 
A: 	oké 
A: 	hebben het een onderkant 
B: 	ja 
A: 	een een vierkant onderkant bedoelen ik 
A: 	dat bedoelen ik 
B: 	die ondergrond nee dat niet 
A: 	nee 
A: 	hebben het rond voorwerp daarin 
B: 	ja aan de achterkant 
A: 	aan de achterkant 
A: 	hebben het lijken het op twee armp 
A: 	wat aan de zijkant zitten 
B: 	nee hij hebben één armp 
A: 	één 
B: 	en zo'n dinge op zijn hoofd 
A: 	het zitten rond 
B: 	mij doen het een beetje aan een boogschutter denken 
A: 	nou moeten ik even gaan zoeken 
A: 	en een een soort lepel aan aan de aan in in het beker 
B: 	ja 
A: 	en één armp aan de zijkant 
B: 	ja 
A: 	dan denken ik dat het nummer dertien zijn 
B: 	en nu waar die staan 
A: 	ja 
A: 	links of rechts 
B: 	in het midden 
B: 	aan de onderkant 
B: 	een beetje aan de onderkant 
A: 	zijn het dezelfde weer als net 
B: 	ja 
A: 	ja ? 
B: 	ja je moeten nou alleen raden nou je moeten alleen raden waar die staan nu 
A: 	ja ja onderaan dan 
A: 	ja dat zijn dus nummer zeven 
B: 	ja 
B: 	ja ik hebben letter ja voor jou nummer zeven oké 
A: 	voor ja voor mij zijn het ja voor mij zijn het nummer zeven 
A: 	deze hebben weer een lepeltje 
A: 	met een koekje of een citroen aan de achterkant en zo'n blok aan de onderkant 
B: 	en dan zo'n armp naar de 
A: 	ja 
B: 	ja 
B: 	O 
B: 	waar staan die 
A: 	in het midden een beetje naar rechts en 
B: 	en dan een beetje naar onder 
A: 	nee 
B: 	nee 
B: 	beetje naar rechts beetje naar onder 
A: 	nee 
A: 	nee naar rechts naar boven 
B: 	nee nee oké 
B: 	dan staan die ergens 
B: 	deze zijn die weer met dat lepel met dat rond plateau aan de achterkant en dan zo'n armp naar de zijkant toe en dan zo'n voe eronder 
A: 	ja 
A: 	dat zijn acht 
B: 	en die staan helemaal rechts bovenin 
A: 	helemaal alleen 
B: 	ja 
A: 	ja 
A: 	het het lepel weer met het schijf citroen en die onderkant 
B: 	en het armp aan de 
A: 	ja en die ja 
B: 	C 
A: 	en hij staan rechts 
A: 	als je drie op een rij zullen hebben zullen hij de middel zijn 
B: 	oké 
B: 	deze zijn met dat schijf citroen en dat lepel en die met dat voe eronder 
A: 	ja 
A: 	zeven 
B: 	en hij staan links onderin en er staan er nog één naast aan de linkerkant 
A: 	nee 
A: 	het lepel met het citroen 
B: 	C 
A: 	en hij zitten rechtsboven in de hoek ver naar boven 
B: 	nee 
