A: 	deze hebben twee uitsteeksel met aan het einde van de uitsteeksel een soort 
A: 	ja knop of knoopje erop 
A: 	en aan de achterkant zitten een soort plank schuin omhoog met een dinge eraan vast nog 
B: 	ja ik weten welk je bedoelen 
B: 	dat zijn K 
A: 	en hij zitten bij mij Linksboven 
B: 	ja bij mij ook 
B: 	deze hebben weer zo'n doorlopen staaf met aan het einde een bol en aan de ander kant ook het einde een bol 
B: 	en een soort schuin plaat link 
A: 	een schuin plaat zo erachter 
B: 	ja 
A: 	ja dat zijn bij mij negen 
B: 	bij mij zitten die helemaal rechts bovenaan hebben je een soort van drie op een rij 
B: 	en daar de middel van 
A: 	ja ja dat zijn bij mij ook 
A: 	deze hebben twee die twee uitsteekselt met een rond aan het einde 
A: 	en dat vierkantje zo schuin achter 
B: 	ja 
B: 	ik zijn hem even aan het zoeken 
B: 	ja dat zijn bij mij F 
A: 	en je hebben links ongeveer drie op dezelfde zelfde nou ja wat zeggen hoe noemen ik dat ? hoogte 
A: 	en dan hebben je nog een rij met drie 
A: 	daar rechts van 
B: 	ja 
A: 	en daar zijn het de middel van 
B: 	nee het zijn bij mij die daar rechts van 
A: 	oké 
B: 	dus nee 
B: 	die doorlopen staaf met die bollen aan de zijkant 
B: 	en die plank schuin 
A: 	ja ja 
A: 	dat zijn bij mij drie 
B: 	en je hebben onderaan drie op een rij en daar de middel van 
A: 	nee bij mij zitten die helemaal linksonder 
A: 	dus dat zijn niet dezelfde 
A: 	deze zijn die met die soort staaf erdoorheen en die rond dinge aan de uiteinde en die plank zo schuin 
B: 	L 
A: 	ja 
A: 	nou je hebben er zeggen drie best wel in het midden 
A: 	twee aan de linkerkant en dan nog één 
B: 	drie best wel in het midden 
A: 	ja je hebben een soort van driehoek in het midden van je scherm 
B: 	ja ik weten welk je bedoelen zitten er nog één boven dan 
A: 	ja zitten er nog één boven 
B: 	ja 
A: 	dan van die dat driehoek zeggen maar zijn het de rechter 
B: 	nee ander plek 
B: 	die met die strokk staaf met die twee bollen aan de zijkant 
A: 	ja dat zijn nummer vijf 
B: 	je hebben er ja hij zijn eigenlijk gewoon het veel je hebben er twee ongeveer rechtsonder daar de linksboven van degeen die het veel in het midden zijn 
A: 	ja dat zijn dezelfde plek 
