B: 	ik hebben in principe de basisvorm met daarboven met daarvoor een soort ei vormig object dan een gleuf 
B: 	en twee uitsteeksel boven één balk en één ja veel paalvormig met een ronde 
A: 	ja 
A: 	dat zijn nummer veertien hier 
B: 	en bij mij staan die als je hem in het verdeelen in de onderste kwart aan de 
B: 	rechterkant van het geheel scherm en dan het veel richting het midden denken 
A: 	en dan ook nog bovenin dat kwart of de 
B: 	ja 
B: 	ja 
A: 	ja dat zijn hetzelfde 
A: 	ik hebben de koffiemok met twee verschillend koffielepel 
A: 	ja zo hebben ik dat maar bedenken eigenlijk 
A: 	één gewoon rechthoek 
B: 	ja 
A: 	en één veel met twee soort van rond 
B: 	ja 
A: 	en aan de linkerkant zitten een driehoekig handvat en aan de rechterkant een een bol rond 
B: 	en er steken twee ding in 
A: 	ja 
A: 	als je daarop letlen twee verschillend lepelt 
B: 	en in principe dan een cilinder die naar voren lijken te gaan en dan een een vlak wat op zeggen maar een drie van de onderkant van de basisvorm zitten 
B: 	en dan een hoek in de linker 
A: 	ja het zijn een soort van uitstekend driehoek inderdaad op links 
B: 	ja 
A: 	en op rechts eigenlijk een beetje zo'n soort van rond neus waar je in zullen kunnen knijpen 
B: 	even zien 
A: 	maar eigenlijk vooral als je op die stok letlen of die twee staaf die daaruit steken zijn er één recht omhoog en één een beetje naar linksboven en die hebben zeggen maar een beetje ronder vorm 
B: 	ja 
B: 	ja 
A: 	en die recht omhooggaan zijn eigenlijk een soort van staafdiagram 
B: 	ja 
B: 	nee ah wachten dan weten ik dat zijn bij mij nummer N 
A: 	ja 
A: 	en hij staan bij mij weer als je die vier vlak pakt 
A: 	in het vlak Linksboven 
B: 	ja 
A: 	en daarvan linksonder 
B: 	ja veel richting de horizontaal middellijn denken of 
A: 	ja richting de horizontaal middellijn en aan de linkerkant 
B: 	ja 
B: 	ja dat zijn bij mij hetzelfde 
A: 	richting het scherm 
B: 	ik hebben een soort eivormig voording zitten het lijken een beetje veel richting de ruimte het zijn iets veel 3D 
B: 	dan hebben je aan de linkerkant een soort gleuf 
B: 	driehoekig gleuf en dan een cilinderblok aan de rechterkant boven en dan ja dat dat lepeltjeachtig 
A: 	zijn dat die mok met die staafdiagram 
B: 	ja 
A: 	die ja 
A: 	oké 
A: 	nummer negen zijn dat 
B: 	hij staan bij mij de horizontaal lijn denken aan de linkerkant van het scherm en er zullen niks links veel kunnen maar wel 
B: 	denken ik nog zeker twee object naast aan de rechterkant 
B: 	dus je hebben de linkerboven kwart 
B: 	en dan staan die richting de horizontaal middellijn aan de linkerkant van het scherm 
A: 	ja 
A: 	nee dat zijn anders hier 
A: 	hetzelfde 
A: 	dit zijn dat kop waar één staafdiagram uit komen 
A: 	en link een veel rond koffielepel 
B: 	ja dat zijn nummer G bij mij 
A: 	oké 
A: 	en die zitten in het vak linksonder 
A: 	en dan rechtsboven dus tegen de middellijn en de verticaal lijn aan 
B: 	en de middellijn yes 
B: 	ik hebben degeen met een rond voor 
B: 	een soort gleuf driehoekig gleuf en een cilindervormig of een balk 
B: 	rechtsboven en dan linksonder een soort van dat ja koffielepeltjeidee 
A: 	en link zitten nog zo'n uitstekend driehoekstaaf 
B: 	ja 
B: 	ja 
A: 	ja nummer vijf 
B: 	en bij mij staan die dan in de rechterbovenkwart aan de onderkant 
B: 	dus bij de horizontaal lijn 
A: 	ja 
A: 	ja en 
A: 	ja 
A: 	en dan weer aan de richting de rechterkant van het scherm 
B: 	ja 
A: 	dit zijn de mok met een staafdiagram die eruit komen en op links die ronder theelepel 
B: 	ja 
A: 	op rechts 
B: 	even denken waar staan ? ja dat zijn bij mij J 
A: 	ja 
A: 	oké 
A: 	en die staan in het vlak rechts bovenin 
A: 	en dan veel een beetje richting linksonder maar niet helemaal 
B: 	ja maar wel nog op die lijn de horizontaal lijn 
A: 	hij staan iets boven die horizontaal lijn en ook iets aan de rechterkant van de verticaal lijn 
B: 	ja 
