A: 	ja ik vinden deze op een op een kat lijken die hebben zo'n soort aan de achterkant zo'n 
A: 	zo'n hoe noemen je dat een een ruit met twee van die telescoopachtig ding aan de zijkant die naar links en rechts eruit steken 
A: 	en aan de voorkant hebben hij gewoon een soort recht staaf en dan onderaan het kop een haak en rechts aan het kop ook een haak 
A: 	dus je hebben één je hebben één kop die op de achterkant zo'n niet een volledig ruit hebben maar een deel die er zo half achterin zitten 
B: 	ja 
B: 	ja 
A: 	en dan aan de zijkant steken er twee van die ding uit die ruit uit 
B: 	en waarom zijn dat een kat 
A: 	ja ik vinden dat je die ruit op een kat lijken ik weten het niet dat zijn het één wat in me opkwam 
B: 	ok nou met die ruit snapen ik het en dan hebben je dus onderaan dus nog een uitsteeksel en zo'n 
A: 	ja ja 
A: 	ja gewoon helemaal precies aan de onderkant zo'n 
B: 	en zo'n zelfde zitten eigenlijk rechts 
A: 	ja en een soort staaf die er recht uitkomen ja 
B: 	okan ja dat zijn dan M van Martin 
A: 	okan ja 
A: 	en hij zitten in het linksonder vak en dan een beetje 
A: 	in het linksonder groot vak dan zitten hij in het rechtsgroot bovenvak maar dan wel tegen de middengren aan tussen zegmaar links en rechtsbof 
A: 	ongeveer 
B: 	ok Mijne zitten eigenlijk veel in het linksbovenvak 
A: 	okan ja die van mij zitten wel echt duidelijk in het in het groot vak linksboven of in het klein vak 
B: 	in het groot vak Linksboven 
A: 	ja nee deze zitten echt duidelijk linksonder 
B: 	ok 
A: 	dus dan zitten hij op een ander plek ja 
B: 	dan zijn het rood 
B: 	ok dit zijn 
B: 	met die ruit bovenin waar je dan ook nog twee ding aan vast hebben zitten 
A: 	ja die kat 
B: 	zijn dat die kat 
A: 	ja denken het wel 
B: 	nou dat zullen best kunnen maar ik zien het nog steeds niet en dan onderaan zitten nog zo'n slurf en aan de zijkant ook 
A: 	ja ja en aan de zijkant en recht vooruit zo'n 
B: 	wat zijn dan de kat die 
A: 	ja alleen dat alleen die ruit met die ja ik weten waarom ik gewoon die ruit dat vinden ik op een kattenhoofd lijken zeggen maar maken niet die ding die er uit komen niet eens maar gewoon 
B: 	ok nou prima 
A: 	ok dat zijn negen 
B: 	en hij zijn liggen in het linker ondervak en binnen dat vak rechtsonder 
A: 	ja 
A: 	ja er kunnen niks veel onder en er zullen nog iets van drie of vier link van kunnen 
B: 	ja 
A: 	ja ok dan zitten hij 
B: 	nou twee of drie 
A: 	ja jaja ja drie of vier zijn over 
A: 	ja dit zijn die kat met dat met die ruit en die telescoop aan de zijkant 
B: 	ok 
B: 	ja dat zijn voor mij H 
A: 	en hij liggen in het linker boven vak 
A: 	en dan beetje rechtsonder maar wel in het midden zeggen maar tegen de middenlijn van het klein vak 
A: 	dus net net boven de horizontaal middenlijn van het groot vak 
B: 	ja 
A: 	en dan net tegen de verticaal middenlijn van het klein vak 
A: 	ongeveer 
A: 	er zullen er zeggen maar nog één boven kunnen en misschien net twee link 
B: 	maar je bedoelen dus de lijn de verticaal lijn in het klein vak 
A: 	ja 
B: 	niet het groot vak 
A: 	ja 
A: 	nee 
A: 	nee hij liggen veel naar de verticaal lijn in het klein vak dan naar de verticaal lijn in het groot vak 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	dan zijn het zelfde plek 
A: 	ok 
B: 	nou dit zijn de kat 
B: 	met de ruit blijbaar 
A: 	ja ja heel goed ja dat zijn elf 
B: 	en hij liggen Linksboven en dan eigenlijk in het midden 
A: 	kunnen er nog één boven 
B: 	ja net niet 
A: 	en link 
B: 	link sowieso wel één misschien twee 
A: 	ja 
A: 	ja ik denken dat we dan wel dezelfde plek hebben 
A: 	dit zijn weer die kat 
B: 	kat kten kat 
A: 	met de ruit en 
B: 	ja dat zijn voor mij d 
A: 	ja 
A: 	en die liggen linksonder en dan rechtsonder beetje 
A: 	tegen het midden aan van de klein vak 
B: 	ok bij mij liggen hij linksonder en linksonder 
A: 	ok nee 
B: 	dit zijn de kat 
A: 	ja zijn nummer veertien 
B: 	en hij liggen op de horizontaal middenlijn helemaal links 
A: 	nee die van mij liggen ja niet daar 
