B: 	ok deze beschrijfen ik eigenlijk gewoon als een balk bovenop horizontaal 
A: 	ja 
B: 	en wat daar er ver omheen zitten zijn allemaal een beetje vaag rechts zitten een 
A: 	ja 
B: 	klein pijp en daaronder zitten een driehoek achtig en link zitten een soort beker alleen op zijn kop 
A: 	jaja 
A: 	ja 
A: 	ja soort zo'n ding zijn wat aan de zijkant van een raket zitten 
B: 	ja 
A: 	zo'n soort ja ok dat zijn nummer acht bij mij 
B: 	en als je dan weer dat kruis maken zitten hij redelijk in het midden 
A: 	maar dan net links van de middenlijn 
B: 	ja net links van de middenlijn en dan ook net links boven 
A: 	ja 
A: 	ja 
A: 	ja jaja ja nee dan zitten hij op dezelfde plek 
A: 	ja dit zijn met die balk bovenop en die twee omgekeeren beker aan de zijkant 
A: 	en zo'n v' met een soort klein buisje er bovenop 
B: 	ja dat zijn voor mij E 
A: 	en die liggen in rechtonder in het groot vak en dan weer 
A: 	Linksboven en dan zullen hij dus zeggen maar 
A: 	anderhalf centimeter naar boven en dan twee centimeter naar links om precies in het midden te komen liggen of tegen het midden weer aan 
B: 	ok mijn liggen hoog want ik zullen zeggen rechtsboven en dan linksonder in de hoek 
A: 	ok 
A: 	ja deze zitten wel echt rechtsonder 
B: 	dan zitten hij weer daar dat zijn rood 
B: 	dit zijn met die balk bovenop en dat beker aan de zijkant op zijn kop 
A: 	even zoeken ja en die driehoek aan met dat staaf er op aan de voorkant ja dat zijn nummer één 
B: 	ja 
B: 	en hij liggen op de verticaal middenlijn en er pasn niks boven 
A: 	ja 
A: 	past eigenlijk niks boven nee dan liggen hij op dezelfde plek 
A: 	dit zijn met die balk bovenop en die twee omgekeeren beker aan de zijkant 
B: 	ja dat zijn voor mij E 
A: 	en hij liggen linksonder en dan rechtsboven richting het middelpunt van de klein vak 
A: 	daar ongeveer 
B: 	dus stellen je verdeelen het klein vak weer in vier dan liggen hij rechtsboven 
A: 	ja dus zeggen maar je hebben vier en dan dat vak en die verdeel je weer in vier 
B: 	ja 
A: 	en dan zitten hij daar rechtsboven 
B: 	ja 
A: 	ja ja 
B: 	ok 
B: 	dit zijn met die balk bovenop en die kop op zijn kop 
A: 	ja zestien 
B: 	en hij liggen rechtsonder en dan helemaal onderaan 
B: 	beetje link er toepassen er denken ik twee rechts van of drie ja twee 
A: 	twee 
B: 	liggen er ook aan welk je pakken 
A: 	ja jajaja nou als je die zestien of ja 
A: 	ik weten niet hoe die bij jou heten maar in ieder geval die met die omgekeerde kop zelf pakken dan passen er wel één twee drie en een klein beetje van 
B: 	ja 
B: 	ja dat wel 
A: 	ok 
A: 	dit zijn met die twee omgekeerde kop en die balk bovenop 
B: 	twee mooi kop 
B: 	dat zijn voor mij O 
A: 	en hij liggen linksonderin en dan weer linksonderin 
B: 	ja 
A: 	past net niks link van hem net wel net niet en niks onder hem 
B: 	ja 
